,SOLVA FP Equity_DX_SI_QTY,SOLVA FP Equity_DX_SHORT_INTEREST_VALUE,SOLVA FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,SOLVA FP Equity_DX_SI_MV,SOLVA FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,SOLVA FP Equity_DX_SUPPLY_SI_QTY,SOLVA FP Equity_DX_BROKER_SI_QTY,SOLVA FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,SOLVA FP Equity_DX_SUPPLY_SI_MV,SOLVA FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,SOLVA FP Equity_DX_UTILIZATION_QUANTITY,SOLVA FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,SOLVA FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,SOLVA FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,SOLVA FP Equity_DX_ACTIVE_UTILIZATION_MV,SOLVA FP Equity_DX_BROKER_SI_CON_RATIO,SOLVA FP Equity_DX_DEMAND_SUPPLY_RATIO,SOLVA FP Equity_PX_LAST
2022-04-06,,,,,,,,,,,,,,,,,,10.68
2022-04-07,,,,,,,,,,,,,,,,,,10.28
2022-04-08,,,,,,,,,,,,,,,,,,10.87
2022-04-11,,,,,,,,,,,,,,,,,,9.34
2022-04-12,,,,,,,,,,,,,,,,,,9.76
2022-04-13,,,,,,,,,,,,,,,,,,9.68
2022-04-14,,,,,,,,,,,,,,,,,,9.4
2022-04-19,,,,,,,,,,,,,,,,,,9.43
2022-04-20,,,,,,,,,,,,,,,,,,9.69
2022-04-21,,,,,,,,,,,,,,,,,,9.93
2022-04-25,,,,,,,,,,,,,,,,,,9.09
2022-04-26,,,,,,,,,,,,,,,,,,9.11
2022-04-27,,,,,,,,,,,,,,,,,,9.27
2022-04-28,,,,,,,,,,,,,,,,,,9.23
2022-04-29,,,,,,,,,,,,,,,,,,9.1
2022-05-02,,,,,,,,,,,,,,,,,,8.29
2022-05-03,,,,,,,,,,,,,,,,,,8.23
2022-05-04,,,,,,,,,,,,,,,,,,8.15
2022-05-05,,,,,,,,,,,,,,,,,,8.72
2022-05-06,,,,,,,,,,,,,,,,,,7.73
2022-05-09,,,,,,,,,,,,,,,,,,6.58
2022-05-10,,,,,,,,,,,,,,,,,,6.51
2022-05-11,,,,,,,,,,,,,,,,,,5.92
2022-05-18,,,,,,,,,,,,,,,,,,4.81
2022-05-19,,,,,,,,,,,,,,,,,,4.91
2022-05-20,,,,,,,,,,,,,,,,,,4.78
2022-05-25,,,,,,,,,,,,,,,,,,4.47
2022-05-27,,,,,,,,,,,,,,,,,,3.95
2022-05-30,,,,,,,,,,,,,,,,,,4.21
