,XFAB FP Equity_DX_SI_QTY,XFAB FP Equity_DX_SHORT_INTEREST_VALUE,XFAB FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,XFAB FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,XFAB FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,XFAB FP Equity_DX_SI_MV,XFAB FP Equity_DX_DSS,XFAB FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,XFAB FP Equity_DX_SUPPLY_SI_QTY,XFAB FP Equity_DX_BROKER_SI_QTY,XFAB FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,XFAB FP Equity_DX_BROKER_SI_MV_NEW_x,XFAB FP Equity_DX_SUPPLY_SI_QTY_NEW_x,XFAB FP Equity_DX_SUPPLY_SI_QTY_INC_x,XFAB FP Equity_DX_BROKER_SI_MV_INC_x,XFAB FP Equity_DX_SUPPLY_SI_MV_NEW,XFAB FP Equity_DX_BROKER_SI_QTY_ADD,XFAB FP Equity_DX_BROKER_SI_QTY_NEW,XFAB FP Equity_DX_SUPPLY_SI_MV_DEC,XFAB FP Equity_DX_BROKER_SI_QTY_INC,XFAB FP Equity_DX_SUPPLY_SI_QTY_DEC,XFAB FP Equity_DX_BROKER_SI_MV_NEW_y,XFAB FP Equity_DX_SUPPLY_SI_QTY_NEW_y,XFAB FP Equity_DX_BROKER_SI_MV_INC_y,XFAB FP Equity_DX_SUPPLY_SI_QTY_INC_y,XFAB FP Equity_DX_BROKER_SI_MV_ADD,XFAB FP Equity_DX_SUPPLY_SI_QTY_ADD,XFAB FP Equity_DX_BROKER_SI_QTY_DEC,XFAB FP Equity_DX_SUPPLY_SI_MV,XFAB FP Equity_DX_BROKER_SI_MV_DEC,XFAB FP Equity_DX_SUPPLY_SI_MV_RMV,XFAB FP Equity_DX_BROKER_SI_MV_RMV,XFAB FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,XFAB FP Equity_DX_UTILIZATION_QUANTITY,XFAB FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,XFAB FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,XFAB FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,XFAB FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,XFAB FP Equity_DX_ACTIVE_UTILIZATION_MV,XFAB FP Equity_DX_BROKER_SI_MARKET_SHARE_2,XFAB FP Equity_DX_BROKER_SI_CON_RATIO,XFAB FP Equity_DX_BROKER_SI_MARKET_SHARE_1,XFAB FP Equity_DX_DEMAND_SUPPLY_RATIO
2017-04-05,0.0,0.0,,,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1858660.0,14869280.0,,14.87,0.0,0.0,0.0,0.0,0.0
2017-04-06,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,2595028.0,21123527.92,,20.71,0.0,,0.0,,0.0
2017-04-07,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,3358426.0,28177194.14,,27.04,0.0,,0.0,,0.0
2017-04-10,5000.0,42000.0,0.01,0.01,0.0,0.04,0.0,42000.0,0.0,5000.0,0.0,,,,,,5000.0,,,,,,,,,0.04,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0011
2017-04-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,2731247.0,22997099.74,,23.49,0.0,0.0,0.0,100.0,0.0
2017-04-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,2926402.0,24435456.7,,24.73,0.0,,0.0,100.0,0.0
2017-04-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,2950627.0,24195141.4,,24.73,0.0,,0.0,100.0,0.0
2017-04-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,2950627.0,24195141.4,,24.73,0.0,,0.0,100.0,0.0
2017-04-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,2950627.0,24195141.4,,24.77,0.0,,0.0,100.0,0.0
2017-04-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,2950627.0,24136128.86,,24.4,0.0,,0.0,100.0,0.0
2017-04-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,2950627.0,24047610.05,,24.48,0.0,,0.0,100.0,0.0
