,AI FP Equity_x,AI FP Equity_x,AI FP Equity_x,AI FP Equity_x,AI FP Equity_x,AI FP Equity_x,AI FP Equity_x,AI FP Equity_x,AI FP Equity_x,AI FP Equity_x,AI FP Equity_x,AI FP Equity_x,AI FP Equity_x,AI FP Equity_x,AI FP Equity_x,AI FP Equity_x,AI FP Equity_x,AI FP Equity_x,AI FP Equity_x,AI FP Equity_x,AI FP Equity_x,AI FP Equity_y,AI FP Equity,AI FP Equity,AI FP Equity,AI FP Equity,AI FP Equity,AI FP Equity,AI FP Equity,AI FP Equity,AI FP Equity,AI FP Equity,AI FP Equity,AI FP Equity,AI FP Equity,AI FP Equity,AI FP Equity,AI FP Equity,AI FP Equity,AI FP Equity,AI FP Equity,AI FP Equity,AI FP Equity
,DX_SI_QTY,DX_SHORT_INTEREST_VALUE,DX_SHORT_INTEREST_PCT_FREE_FLOAT,DX_SHORT_INT_RATIO_DAYS_TO_COVER,DX_SHORT_INTEREST_PCT_SHARES_OUT,DX_SI_MV,DX_DSS,DX_BROKER_SHORT_INTEREST_VALUE,DX_SUPPLY_SI_QTY,DX_BROKER_SI_QTY,DX_SUPPLY_SIDE_SHORT_INT_VAL,DX_BROKER_SI_MV_NEW,DX_SUPPLY_SI_QTY_NEW,DX_SUPPLY_SI_QTY_INC,DX_BROKER_SI_MV_INC,DX_SUPPLY_SI_MV_NEW,DX_BROKER_SI_QTY_ADD,DX_BROKER_SI_QTY_NEW,DX_SUPPLY_SI_MV_DEC,DX_BROKER_SI_QTY_INC,DX_SUPPLY_SI_QTY_DEC,DX_BROKER_SI_MV_NEW,DX_SUPPLY_SI_QTY_NEW,DX_BROKER_SI_MV_INC,DX_SUPPLY_SI_QTY_INC,DX_BROKER_SI_MV_ADD,DX_SUPPLY_SI_QTY_ADD,DX_BROKER_SI_QTY_DEC,DX_SUPPLY_SI_MV,DX_BROKER_SI_MV_DEC,DX_SUPPLY_SI_MV_RMV,DX_BROKER_SI_MV_RMV,DX_ACTIVE_UTILIZATION_QUANTITY,DX_UTILIZATION_QUANTITY,DX_ACTIVE_AVAIL_SUPPLY_QTY,DX_ACTIVE_AVAILABILITY_VALUE,DX_SUPPLY_SI_QTY_MV_RMV,DX_ACTIVE_AVAIL_SUPPLY_MV,DX_ACTIVE_UTILIZATION_MV,DX_BROKER_SI_MARKET_SHARE_2,DX_BROKER_SI_CON_RATIO,DX_BROKER_SI_MARKET_SHARE_1,DX_DEMAND_SUPPLY_RATIO
2006-01-04,7163431.0,887268796.53,6.63,21.45,6.54,1192.99,2.0,573245818.91,4179290.0,4628143.0,517650495.78,182.77,,179138.0,3.48,,,1093032.0,9.35,20000.0,62590.0,182.77,,3.48,179138.0,,25122.0,200793.0,696.74,29.8,3.25,,37.77,37.77,6884845.0,852762892.17,19622.0,1148.81,37.75,16.26,0.1246,21.67,0.6474
2006-01-11,6527987.0,796990598.45,6.04,19.56,5.96,1079.45,2.0,475346137.55,4277820.0,3893463.0,522271616.33,,19921.0,175729.0,4.27,3.29,,,19.41,31814.0,100347.0,,19921.0,4.27,175729.0,,3227.0,766494.0,706.3,128.23,,,37.95,37.95,6995228.0,854035240.89,,1155.82,37.93,15.24,0.1128,16.98,0.5791
2006-01-18,7086117.0,854140936.97,6.55,22.24,6.47,1153.54,2.0,534282009.17,4308384.0,4432506.0,519320686.72,,,55717.0,95.05,,,,5.96,598607.0,31196.0,,,95.05,55717.0,,6043.0,59564.0,700.9,10.91,,,37.14,37.14,7293430.0,879129872.39,,1186.38,37.14,15.33,0.1259,22.21,0.6108
2006-01-25,6752235.0,850301599.42,6.24,19.11,6.16,1147.71,2.0,520174048.38,4256011.0,4130696.0,535954829.84,,360503.0,15802.0,8.78,60.38,,,2.17,47022.0,130655.0,,360503.0,8.78,15802.0,,66321.0,348832.0,719.57,34.81,59.17,,37.4,37.4,7122666.0,896949571.8,364345.0,1207.27,37.34,16.18,0.1308,23.2,0.5934
2006-02-01,6649631.0,830013803.04,6.15,17.51,6.07,1136.85,2.0,523518130.86,4098965.0,4194150.0,511637040.94,,5000.0,62146.0,32.09,0.84,,,44.95,175891.0,271859.0,,5000.0,32.09,62146.0,,83540.0,112437.0,697.7,17.92,6.09,,37.28,37.28,6895810.0,860742119.84,35872.0,1172.97,37.3,16.86,0.1297,22.48,0.6048
2006-02-08,6840483.0,844742033.81,6.32,17.62,6.24,1162.96,2.0,530408055.35,4050046.0,4295095.0,500146567.88,,,135685.0,59.54,,268418.0,,28.97,366837.0,190940.0,,,59.54,135685.0,40.48,6336.0,534310.0,688.46,92.97,,,36.89,36.89,6929965.0,855792307.11,,1163.52,37.17,17.64,0.124,20.73,0.623
2006-02-15,6738977.0,844152451.34,6.23,16.74,6.15,1151.2,2.0,523037466.48,4130407.0,4175475.0,517392060.26,136.11,24413.0,77888.0,78.28,4.05,,802235.0,4.41,454957.0,34107.0,136.11,24413.0,78.28,77888.0,,12166.0,21313.0,704.73,3.51,,226.98,37.76,37.76,6808873.0,852907916.71,,1149.61,38.0,14.35,0.1215,22.59,0.616
2006-02-22,6886348.0,879397087.78,6.36,16.87,6.28,1193.07,2.0,551250671.85,4116474.0,4316712.0,525679975.44,,,26080.0,25.32,,35000.0,,4.8,116515.0,49388.0,,,25.32,26080.0,6.05,29877.0,10278.0,712.25,0.0,3.49,,37.8,37.77,6772323.0,864835922.27,20502.0,1166.35,37.91,14.04,0.119,22.12,0.6318
2006-03-01,7015708.0,869489867.58,6.48,15.57,6.4,1185.52,2.0,543001919.3,4247062.0,4381354.0,526358476.72,,97962.0,70403.0,8.93,16.49,,,12.55,94894.0,35163.0,,97962.0,8.93,70403.0,,11887.0,30252.0,715.82,11.16,2.35,,37.97,37.97,6938747.0,859951726.92,14500.0,1162.49,38.11,13.72,0.117,21.58,0.6272
