,ALVU FP Equity_DX_SI_QTY,ALVU FP Equity_DX_SHORT_INTEREST_VALUE,ALVU FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALVU FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALVU FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALVU FP Equity_DX_SI_MV,ALVU FP Equity_DX_DSS,ALVU FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALVU FP Equity_DX_SUPPLY_SI_QTY,ALVU FP Equity_DX_BROKER_SI_QTY,ALVU FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALVU FP Equity_DX_BROKER_SI_MV_NEW_x,ALVU FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALVU FP Equity_DX_BROKER_SI_MV_INC_x,ALVU FP Equity_DX_BROKER_SI_QTY_ADD,ALVU FP Equity_DX_BROKER_SI_QTY_NEW,ALVU FP Equity_DX_SUPPLY_SI_MV_DEC,ALVU FP Equity_DX_BROKER_SI_QTY_INC,ALVU FP Equity_DX_SUPPLY_SI_QTY_DEC,ALVU FP Equity_DX_BROKER_SI_MV_NEW_y,ALVU FP Equity_DX_BROKER_SI_MV_INC_y,ALVU FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALVU FP Equity_DX_BROKER_SI_MV_ADD,ALVU FP Equity_DX_SUPPLY_SI_QTY_ADD,ALVU FP Equity_DX_BROKER_SI_QTY_DEC,ALVU FP Equity_DX_SUPPLY_SI_MV,ALVU FP Equity_DX_BROKER_SI_MV_DEC,ALVU FP Equity_DX_SUPPLY_SI_MV_RMV,ALVU FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALVU FP Equity_DX_UTILIZATION_QUANTITY,ALVU FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALVU FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALVU FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,ALVU FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALVU FP Equity_DX_ACTIVE_UTILIZATION_MV,ALVU FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALVU FP Equity_DX_BROKER_SI_CON_RATIO,ALVU FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALVU FP Equity_DX_DEMAND_SUPPLY_RATIO,ALVU FP Equity_PX_LAST
2018-04-02,0.0,,,,,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,54675.0,,,0.59,0.0,,0.0,,,
2018-04-03,0.0,,,,,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,54675.0,,,0.59,0.0,,0.0,,,
2018-04-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.38
2018-04-05,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,54675.0,584475.75,,0.57,0.0,,0.0,,0.0,10.69
2018-04-06,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,54675.0,581742.0,,0.58,0.0,,0.0,,0.0,10.64
2018-04-09,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,54675.0,582835.5,,0.58,0.0,,0.0,,0.0,10.66
2018-04-10,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,54675.0,586662.75,,0.58,0.0,,0.0,,0.0,10.73
2018-04-11,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,54675.0,587756.25,,0.59,0.0,,0.0,,0.0,10.75
2018-04-12,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,54675.0,582288.75,,0.59,0.0,,0.0,,0.0,10.65
2018-04-13,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,54675.0,585022.5,,0.58,0.0,,0.0,,0.0,10.7
2018-04-16,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,54675.0,598144.5,,0.59,0.0,,0.0,,0.0,10.94
2018-04-17,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,54675.0,590490.0,,0.6,0.0,,0.0,,0.0,10.8
2018-04-18,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,54675.0,585022.5,,0.59,0.0,,0.0,,0.0,10.7
2018-04-19,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,54675.0,590380.65,,0.59,0.0,,0.0,,0.0,10.798
2018-04-20,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,54675.0,582288.75,,0.59,0.0,,0.0,,0.0,10.65
2018-04-23,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,54675.0,595957.5,,0.58,0.0,,0.0,,0.0,10.9
2018-04-24,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,54675.0,595410.75,,0.6,0.0,,0.0,,0.0,10.89
2018-04-25,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,54675.0,590490.0,,0.6,0.0,,0.0,,0.0,10.8
2018-04-26,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,54675.0,582835.5,,0.59,0.0,,0.0,,0.0,10.66
2018-04-27,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,54675.0,579555.0,,0.58,0.0,,0.0,,0.0,10.6
2018-04-30,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,54675.0,579555.0,,0.58,0.0,,0.0,,0.0,10.6
2018-05-01,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,54675.0,579555.0,,0.58,0.0,,0.0,,0.0,
2018-05-02,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,54675.0,579555.0,,0.58,0.0,,0.0,,0.0,10.6
2018-05-03,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,2376.0,24948.0,,0.03,0.0,,0.0,,0.0,10.5
2018-05-04,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,616.0,6344.8,,0.01,0.0,,0.0,,0.0,10.3
2018-05-07,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,551.0,5676.4,,0.01,0.0,,0.0,,0.0,10.302
2018-05-08,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,551.0,5787.7,,0.01,0.0,,0.0,,0.0,10.504
2018-05-09,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,541.0,5841.72,,0.01,0.0,,0.0,,0.0,10.798
2018-05-10,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,531.0,5724.18,,0.01,0.0,,0.0,,0.0,10.78
2018-05-11,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,498.0,5367.44,,0.01,0.0,,0.0,,0.0,10.778
2018-05-14,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,490.0,5243.0,,0.01,0.0,,0.0,,0.0,10.7
2018-05-15,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,490.0,5194.0,,0.01,0.0,,0.0,,0.0,10.6
2018-05-16,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,490.0,5169.5,,0.01,0.0,,0.0,,0.0,10.55
2018-05-17,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,428.0,4536.8,,0.0,0.0,,0.0,,0.0,10.6
