,DFND FP Equity_DX_SI_QTY,DFND FP Equity_DX_SHORT_INTEREST_VALUE,DFND FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,DFND FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,DFND FP Equity_DX_SI_MV,DFND FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,DFND FP Equity_DX_SUPPLY_SI_QTY,DFND FP Equity_DX_BROKER_SI_QTY,DFND FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,DFND FP Equity_DX_SUPPLY_SI_QTY_INC_x,DFND FP Equity_DX_BROKER_SI_MV_INC_x,DFND FP Equity_DX_BROKER_SI_QTY_ADD,DFND FP Equity_DX_SUPPLY_SI_MV_DEC,DFND FP Equity_DX_BROKER_SI_QTY_INC,DFND FP Equity_DX_SUPPLY_SI_QTY_DEC,DFND FP Equity_DX_BROKER_SI_MV_INC_y,DFND FP Equity_DX_SUPPLY_SI_QTY_INC_y,DFND FP Equity_DX_BROKER_SI_MV_ADD,DFND FP Equity_DX_SUPPLY_SI_QTY_ADD,DFND FP Equity_DX_BROKER_SI_QTY_DEC,DFND FP Equity_DX_SUPPLY_SI_MV,DFND FP Equity_DX_BROKER_SI_MV_DEC,DFND FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,DFND FP Equity_DX_UTILIZATION_QUANTITY,DFND FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,DFND FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,DFND FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,DFND FP Equity_DX_ACTIVE_UTILIZATION_MV,DFND FP Equity_DX_BROKER_SI_MARKET_SHARE_2,DFND FP Equity_DX_BROKER_SI_CON_RATIO,DFND FP Equity_DX_BROKER_SI_MARKET_SHARE_1,DFND FP Equity_DX_DEMAND_SUPPLY_RATIO,DFND FP Equity_PX_LAST
2024-07-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.069
2024-07-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.091
2024-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.082
2024-07-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.089
2024-07-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.157
2024-07-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.134
2024-07-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.134
2024-07-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.068
2024-07-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.095
2024-07-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.202
2024-07-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.162
2024-07-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.221
2024-07-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.28
2024-07-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.272
2024-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.353
2024-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.414
2024-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.341
2024-08-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.169
2024-08-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.082
2024-08-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.161
2024-08-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.246
2024-08-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.244
