,ALMIB FP Equity_DX_SI_QTY,ALMIB FP Equity_DX_SHORT_INTEREST_VALUE,ALMIB FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALMIB FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALMIB FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALMIB FP Equity_DX_SI_MV,ALMIB FP Equity_DX_DSS,ALMIB FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALMIB FP Equity_DX_SUPPLY_SI_QTY,ALMIB FP Equity_DX_BROKER_SI_QTY,ALMIB FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALMIB FP Equity_DX_BROKER_SI_MV_NEW_x,ALMIB FP Equity_DX_SUPPLY_SI_QTY_NEW_x,ALMIB FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALMIB FP Equity_DX_BROKER_SI_MV_INC_x,ALMIB FP Equity_DX_SUPPLY_SI_MV_NEW,ALMIB FP Equity_DX_BROKER_SI_QTY_ADD,ALMIB FP Equity_DX_BROKER_SI_QTY_NEW,ALMIB FP Equity_DX_SUPPLY_SI_MV_DEC,ALMIB FP Equity_DX_BROKER_SI_QTY_INC,ALMIB FP Equity_DX_SUPPLY_SI_QTY_DEC,ALMIB FP Equity_DX_BROKER_SI_MV_NEW_y,ALMIB FP Equity_DX_SUPPLY_SI_QTY_NEW_y,ALMIB FP Equity_DX_BROKER_SI_MV_INC_y,ALMIB FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALMIB FP Equity_DX_BROKER_SI_MV_ADD,ALMIB FP Equity_DX_SUPPLY_SI_QTY_ADD,ALMIB FP Equity_DX_BROKER_SI_QTY_DEC,ALMIB FP Equity_DX_SUPPLY_SI_MV,ALMIB FP Equity_DX_BROKER_SI_MV_DEC,ALMIB FP Equity_DX_SUPPLY_SI_MV_RMV,ALMIB FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALMIB FP Equity_DX_UTILIZATION_QUANTITY,ALMIB FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALMIB FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALMIB FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,ALMIB FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALMIB FP Equity_DX_ACTIVE_UTILIZATION_MV,ALMIB FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALMIB FP Equity_DX_BROKER_SI_CON_RATIO,ALMIB FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALMIB FP Equity_DX_DEMAND_SUPPLY_RATIO
2016-01-08,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,1993.0,69475.98,,0.07,0.0,0.0,0.0,0.0,0.0
2016-01-11,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,4800.0,176544.0,,0.18,0.0,,0.0,,0.0
2016-01-12,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,9300.0,355446.0,,0.36,0.0,,0.0,,0.0
2016-01-13,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,9300.0,339171.0,,0.34,0.0,,0.0,,0.0
2016-01-14,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,9300.0,312480.0,,0.31,0.0,,0.0,,0.0
2016-01-15,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,9300.0,279000.0,,0.28,0.0,,0.0,,0.0
2016-01-18,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,9300.0,243660.0,,0.24,0.0,,0.0,,0.0
2016-01-19,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,9300.0,277698.0,,0.28,0.0,,0.0,,0.0
2016-01-20,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,9300.0,255843.0,,0.26,0.0,,0.0,,0.0
2016-01-21,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,9300.0,269700.0,,0.27,0.0,,0.0,,0.0
2016-01-22,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,9300.0,296856.0,,0.3,0.0,,0.0,,0.0
2016-01-25,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,9300.0,309318.0,,0.31,0.0,,0.0,,0.0
2016-01-26,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,9300.0,303366.0,,0.3,0.0,,0.0,,0.0
2016-01-27,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,9300.0,295089.0,,0.3,0.0,,0.0,,0.0
2016-01-28,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,9300.0,286905.0,,0.29,0.0,,0.0,,0.0
