,URW FP Equity_DX_SI_QTY,URW FP Equity_DX_SHORT_INTEREST_VALUE,URW FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,URW FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,URW FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,URW FP Equity_DX_SI_MV,URW FP Equity_DX_DSS,URW FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,URW FP Equity_DX_SUPPLY_SI_QTY,URW FP Equity_DX_BROKER_SI_QTY,URW FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,URW FP Equity_DX_BROKER_SI_MV_NEW_x,URW FP Equity_DX_SUPPLY_SI_QTY_NEW_x,URW FP Equity_DX_SUPPLY_SI_QTY_INC_x,URW FP Equity_DX_BROKER_SI_MV_INC_x,URW FP Equity_DX_SUPPLY_SI_MV_NEW,URW FP Equity_DX_BROKER_SI_QTY_ADD,URW FP Equity_DX_BROKER_SI_QTY_NEW,URW FP Equity_DX_SUPPLY_SI_MV_DEC,URW FP Equity_DX_BROKER_SI_QTY_INC,URW FP Equity_DX_SUPPLY_SI_QTY_DEC,URW FP Equity_DX_BROKER_SI_MV_NEW_y,URW FP Equity_DX_SUPPLY_SI_QTY_NEW_y,URW FP Equity_DX_BROKER_SI_MV_INC_y,URW FP Equity_DX_SUPPLY_SI_QTY_INC_y,URW FP Equity_DX_BROKER_SI_MV_ADD,URW FP Equity_DX_SUPPLY_SI_QTY_ADD,URW FP Equity_DX_BROKER_SI_QTY_DEC,URW FP Equity_DX_SUPPLY_SI_MV,URW FP Equity_DX_BROKER_SI_MV_DEC,URW FP Equity_DX_SUPPLY_SI_MV_RMV,URW FP Equity_DX_BROKER_SI_MV_RMV,URW FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,URW FP Equity_DX_UTILIZATION_QUANTITY,URW FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,URW FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,URW FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,URW FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,URW FP Equity_DX_ACTIVE_UTILIZATION_MV,URW FP Equity_DX_BROKER_SI_MARKET_SHARE_2,URW FP Equity_DX_BROKER_SI_CON_RATIO,URW FP Equity_DX_BROKER_SI_MARKET_SHARE_1,URW FP Equity_DX_DEMAND_SUPPLY_RATIO,URW FP Equity_PX_LAST
2007-06-22,8776595.0,886021075.07,,,,1734.21,4.0,473392407.9,6583545.0,4689249.0,664626728.09,,,30169.0,13.36,,,,4.38,73129.0,17325.0,,,13.36,30169.0,,32224.0,236294.0,1277.71,50.31,,,48.86,48.85,6891192.0,695684527.35,,1336.45,48.88,13.81,0.1036,21.51,0.6513,196.69
2007-06-25,8774209.0,874521619.84,,3787.32,,1753.64,3.0,465648646.42,6747079.0,4671924.0,672478448.63,,,169828.0,5.06,,,,4.07,11731.0,36748.0,,,5.06,169828.0,,30454.0,29056.0,1335.25,9.19,,,49.33,49.33,6930717.0,690781568.74,,1361.25,49.52,13.98,0.1034,21.6,0.6415,194.19
2007-06-26,126580.0,12454403.1,,29.65,,24.62,0.0,0.0,126580.0,0.0,12454403.1,,,309124.0,31.43,,,,20.3,166694.0,98305.0,,,31.43,309124.0,,126580.0,3866.0,24.62,2.77,,,9.65,9.65,1185294.0,116622920.43,,230.2,9.66,42.27,0.512,57.73,0.0965,191.7
2007-06-27,73876.0,7314275.49,,10.93,,14.21,0.0,0.0,73876.0,0.0,7314275.49,,,796.0,94.85,,,,10.4,417704.0,53500.0,,,94.85,796.0,,122999.0,,14.21,,,,6.48,6.48,1066284.0,105570075.93,,204.87,6.48,13.03,1.0,100.0,0.0648,192.9
2007-06-28,205718.0,20517550.41,,23.11,,39.65,0.0,0.0,205718.0,0.0,20517550.41,,,86933.0,57.98,,71098.0,,0.48,293148.0,2638.0,,,57.98,86933.0,13.74,134480.0,11949.0,39.65,1.73,,,14.72,14.72,1191595.0,118845266.22,,226.76,14.88,34.63,0.3425,39.35,0.1472,194.32
2007-06-29,1091787.0,106694142.33,,101.97,,170.67,1.0,0.0,1091787.0,0.0,106694142.33,,,16952.0,22.6,,25000.0,,169.74,128677.0,865110.0,,,22.6,16952.0,4.92,869117.0,179871.0,170.67,37.7,0.77,,39.99,39.99,1638249.0,160096769.77,3973.0,301.86,36.12,20.86,0.2331,36.02,0.3999,190.4
2007-07-02,393376.0,37860920.45,,30.36,,74.21,0.0,0.0,393376.0,0.0,37860920.45,,,173277.0,40.36,,,,96.04,218790.0,698410.0,,,40.36,173277.0,,1074139.0,100000.0,74.21,20.87,,,19.87,19.87,1586491.0,152693630.39,,299.22,19.87,20.59,0.4372,60.14,0.1987,187.52
2007-07-03,393744.0,37926652.87,,26.74,,73.94,0.0,0.0,393744.0,0.0,37926652.87,,,368.0,27.82,,12100.0,,4.73,164424.0,22160.0,,,27.82,368.0,2.27,645882.0,18498.0,73.94,4.83,,,20.23,20.23,1552883.0,149578544.66,,291.11,20.25,20.57,0.4368,60.09,0.2023,187.67
2007-07-04,422292.0,41311547.56,0.57,24.4,0.57,83.22,0.0,3195909.34,389623.0,32669.0,38115638.22,,15000.0,198310.0,17.87,2.81,32669.0,,0.14,102536.0,4121.0,,15000.0,17.87,198310.0,9.37,5525.0,61101.0,73.85,12.7,,,19.91,19.91,1567695.0,153362854.48,,296.05,19.97,18.26,0.3577,53.47,0.2158,190.6
2007-07-05,423456.0,40349574.4,0.57,22.39,0.57,84.43,0.0,3261651.58,389226.0,34230.0,37087922.81,,,341.0,39.15,,1561.0,,0.0,183530.0,749.0,,,39.15,341.0,0.29,11.0,679342.0,74.78,128.28,,,20.1,20.1,1547536.0,147459048.78,,295.68,20.19,18.31,0.3565,53.37,0.2186,185.65
