,DSY FP Equity_x,DSY FP Equity_x,DSY FP Equity_x,DSY FP Equity_x,DSY FP Equity_x,DSY FP Equity_x,DSY FP Equity_x,DSY FP Equity_x,DSY FP Equity_x,DSY FP Equity_x,DSY FP Equity_x,DSY FP Equity_x,DSY FP Equity_x,DSY FP Equity_x,DSY FP Equity_x,DSY FP Equity_x,DSY FP Equity_x,DSY FP Equity_x,DSY FP Equity_x,DSY FP Equity_x,DSY FP Equity_x,DSY FP Equity_y,DSY FP Equity,DSY FP Equity,DSY FP Equity,DSY FP Equity,DSY FP Equity,DSY FP Equity,DSY FP Equity,DSY FP Equity,DSY FP Equity,DSY FP Equity,DSY FP Equity,DSY FP Equity,DSY FP Equity,DSY FP Equity,DSY FP Equity,DSY FP Equity,DSY FP Equity,DSY FP Equity,DSY FP Equity,DSY FP Equity,DSY FP Equity
,DX_SI_QTY,DX_SHORT_INTEREST_VALUE,DX_SHORT_INTEREST_PCT_FREE_FLOAT,DX_SHORT_INT_RATIO_DAYS_TO_COVER,DX_SHORT_INTEREST_PCT_SHARES_OUT,DX_SI_MV,DX_DSS,DX_BROKER_SHORT_INTEREST_VALUE,DX_SUPPLY_SI_QTY,DX_BROKER_SI_QTY,DX_SUPPLY_SIDE_SHORT_INT_VAL,DX_BROKER_SI_MV_NEW,DX_SUPPLY_SI_QTY_NEW,DX_SUPPLY_SI_QTY_INC,DX_BROKER_SI_MV_INC,DX_SUPPLY_SI_MV_NEW,DX_BROKER_SI_QTY_ADD,DX_BROKER_SI_QTY_NEW,DX_SUPPLY_SI_MV_DEC,DX_BROKER_SI_QTY_INC,DX_SUPPLY_SI_QTY_DEC,DX_BROKER_SI_MV_NEW,DX_SUPPLY_SI_QTY_NEW,DX_BROKER_SI_MV_INC,DX_SUPPLY_SI_QTY_INC,DX_BROKER_SI_MV_ADD,DX_SUPPLY_SI_QTY_ADD,DX_BROKER_SI_QTY_DEC,DX_SUPPLY_SI_MV,DX_BROKER_SI_MV_DEC,DX_SUPPLY_SI_MV_RMV,DX_BROKER_SI_MV_RMV,DX_ACTIVE_UTILIZATION_QUANTITY,DX_UTILIZATION_QUANTITY,DX_ACTIVE_AVAIL_SUPPLY_QTY,DX_ACTIVE_AVAILABILITY_VALUE,DX_SUPPLY_SI_QTY_MV_RMV,DX_ACTIVE_AVAIL_SUPPLY_MV,DX_ACTIVE_UTILIZATION_MV,DX_BROKER_SI_MARKET_SHARE_2,DX_BROKER_SI_CON_RATIO,DX_BROKER_SI_MARKET_SHARE_1,DX_DEMAND_SUPPLY_RATIO
2006-01-04,4525989.0,197124062.51,8.24,13.17,3.99,213.19,1.0,104530362.2,3081027.0,2400028.0,134190462.89,,,7010.0,0.1,,,,1.76,4811.0,32576.0,,,0.1,7010.0,,1398.0,26130.0,146.2,1.29,,,27.73,27.73,8029098.0,349697804.41,,382.69,27.64,16.82,0.1584,28.68,0.4074
2006-01-11,3966174.0,172635289.95,7.16,15.28,3.48,190.03,1.0,81635803.72,2992941.0,1875525.0,130273466.91,,,33195.0,0.01,,,,5.55,38.0,121282.0,,,0.01,33195.0,,,524542.0,144.96,23.61,,,27.66,27.66,7829399.0,340789528.27,,380.61,27.58,19.44,0.1487,23.4,0.3665
2006-01-18,4541970.0,196068754.76,8.2,19.88,3.99,217.51,1.0,106839960.15,3120404.0,2474968.0,134702282.63,,,215091.0,29.15,,,,7.75,599671.0,160235.0,,,29.15,215091.0,,72606.0,228.0,150.5,0.01,,,28.23,28.23,7933254.0,342464444.49,,383.14,28.2,16.7,0.1545,28.19,0.4109
2006-01-25,3736836.0,160541845.99,6.74,15.42,3.28,178.1,1.0,84113484.79,2657791.0,1957859.0,114183944.22,,189213.0,6042.0,0.17,8.99,,,23.11,8175.0,464538.0,,189213.0,0.17,6042.0,,,525284.0,126.54,24.43,9.27,,24.67,24.67,8116524.0,348701882.01,193330.0,386.7,24.66,16.26,0.199,37.39,0.3468
2006-02-01,3937120.0,174759942.91,7.11,15.23,3.46,194.68,1.0,88850094.11,2794222.0,2001680.0,124029259.26,,260000.0,11600.0,7.23,12.93,,,5.79,97003.0,145169.0,,260000.0,7.23,11600.0,,10000.0,53183.0,138.15,1.78,,,25.34,25.34,8232680.0,365430235.0,,406.81,25.35,20.94,0.1946,35.16,0.357
2006-02-08,4345760.0,183156206.31,7.84,14.92,3.82,206.02,1.0,102123316.17,2763853.0,2423087.0,116485224.74,,,63795.0,0.0,,626760.0,,7.88,12905.0,121519.0,,,0.0,63795.0,29.02,27354.0,218258.0,130.9,12.68,,,25.43,25.43,8103818.0,341543150.45,,383.67,25.44,19.23,0.1542,28.21,0.3999
2006-02-15,4653646.0,189455509.72,8.4,12.83,4.09,214.48,1.0,96284591.83,3091728.0,2365064.0,125867954.75,,26817.0,342020.0,7.72,1.24,,,5.64,189738.0,95655.0,,26817.0,7.72,342020.0,,54693.0,177681.0,141.46,9.38,,3.3,28.54,28.54,7742343.0,315200068.82,,353.77,28.56,18.71,0.1694,29.56,0.4295
2006-02-22,4696377.0,197722727.35,8.48,12.93,4.12,219.39,1.0,99155545.24,3127234.0,2355176.0,131660051.04,,,205284.0,2.73,,,,9.01,38132.0,196430.0,,,2.73,205284.0,,53470.0,48020.0,145.63,2.19,1.24,,29.31,29.31,7540877.0,317479360.59,26817.0,351.36,29.3,19.61,0.1723,29.69,0.4402
2006-03-01,5737284.0,242832264.76,10.36,15.56,5.04,289.92,2.0,120138246.93,3648263.0,2838450.0,154413824.86,,9283.0,598723.0,40.66,0.47,,,0.0,602635.0,86552.0,,9283.0,40.66,598723.0,,,119361.0,175.86,0.0,0.02,,34.01,34.01,7080313.0,299676369.69,424.0,342.83,33.9,20.93,0.1401,22.15,0.5348
2006-03-08,6227029.0,258032791.12,11.29,16.7,5.47,308.48,2.0,122511177.61,4322114.0,2956526.0,179097791.09,,,452146.0,5.05,,,,4.33,128385.0,82884.0,,,5.05,452146.0,,304588.0,10308.0,203.97,0.87,,,40.43,40.43,6367402.0,263849503.55,,303.56,40.19,18.45,0.1232,20.48,0.5825
2006-03-15,6110175.0,254231683.21,11.08,16.77,5.37,302.79,2.0,127143282.03,4106639.0,3055747.0,170868714.12,,,22554.0,1.63,,106066.0,,11.48,33618.0,247551.0,,,1.63,22554.0,4.9,9522.0,40463.0,194.69,2.59,,,38.99,38.99,6425672.0,267358857.69,,307.01,38.81,15.43,0.1177,20.92,0.5801
2006-03-22,6876667.0,281622305.32,12.47,20.14,6.04,336.11,2.0,137508411.2,4569988.0,3357687.0,187156155.13,,25383.0,350419.0,15.71,1.24,,,3.95,333091.0,80733.0,,25383.0,15.71,350419.0,,168281.0,31151.0,214.03,2.46,,,43.67,43.67,5894484.0,241398656.17,,277.35,43.56,17.53,0.1198,18.31,0.6571
2006-03-29,6967031.0,289946155.53,12.63,22.92,6.12,343.65,2.0,142819216.48,4566300.0,3431761.0,190035200.07,,,49501.0,4.35,,,,1.31,77482.0,29463.0,,,4.35,49501.0,,1656.0,3408.0,216.58,0.1,1.24,,44.6,44.6,5673103.0,236096897.62,25383.0,270.2,44.49,17.33,0.1194,18.23,0.6804
2006-04-05,7054422.0,295923664.75,12.79,22.95,6.19,350.18,2.0,143235978.4,4797331.0,3414553.0,201241685.08,,,142003.0,13.55,,,,2.1,274241.0,44748.0,,,13.55,142003.0,,133776.0,9331.0,229.75,0.43,,13.71,47.28,47.28,5350276.0,224436995.88,,256.58,47.24,17.07,0.1299,20.49,0.6952
2006-04-12,7967947.0,325527884.14,14.45,27.82,7.0,386.17,2.0,173122420.18,4919846.0,4237518.0,200998708.78,19.96,,168005.0,21.86,,,423190.0,5.38,477641.0,71300.0,19.96,,21.86,168005.0,,87786.0,67867.0,228.64,4.85,3.06,0.47,52.55,52.55,4442236.0,181486107.52,61977.0,207.18,52.46,15.99,0.1135,17.05,0.8511
2006-04-19,7960048.0,320422744.05,14.43,28.42,6.99,360.57,2.0,162419659.12,5124574.0,4034883.0,206283939.89,,27307.0,205326.0,0.0,1.24,,,2.19,97689.0,27967.0,,27307.0,0.0,205326.0,,62.0,300324.0,229.36,26.89,,,53.2,53.2,4508621.0,181489447.39,,202.06,53.16,17.63,0.1147,17.92,0.8263
