,HDF FP Equity_DX_SI_QTY,HDF FP Equity_DX_SHORT_INTEREST_VALUE,HDF FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,HDF FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,HDF FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,HDF FP Equity_DX_SI_MV,HDF FP Equity_DX_DSS,HDF FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,HDF FP Equity_DX_SUPPLY_SI_QTY,HDF FP Equity_DX_BROKER_SI_QTY,HDF FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,HDF FP Equity_DX_BROKER_SI_MV_NEW_x,HDF FP Equity_DX_SUPPLY_SI_QTY_INC_x,HDF FP Equity_DX_BROKER_SI_MV_INC_x,HDF FP Equity_DX_BROKER_SI_QTY_ADD,HDF FP Equity_DX_BROKER_SI_QTY_NEW,HDF FP Equity_DX_SUPPLY_SI_MV_DEC,HDF FP Equity_DX_BROKER_SI_QTY_INC,HDF FP Equity_DX_SUPPLY_SI_QTY_DEC,HDF FP Equity_DX_BROKER_SI_MV_NEW_y,HDF FP Equity_DX_BROKER_SI_MV_INC_y,HDF FP Equity_DX_SUPPLY_SI_QTY_INC_y,HDF FP Equity_DX_BROKER_SI_MV_ADD,HDF FP Equity_DX_SUPPLY_SI_QTY_ADD,HDF FP Equity_DX_BROKER_SI_QTY_DEC,HDF FP Equity_DX_SUPPLY_SI_MV,HDF FP Equity_DX_BROKER_SI_MV_DEC,HDF FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,HDF FP Equity_DX_UTILIZATION_QUANTITY,HDF FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,HDF FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,HDF FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,HDF FP Equity_DX_ACTIVE_UTILIZATION_MV,HDF FP Equity_DX_BROKER_SI_MARKET_SHARE_2,HDF FP Equity_DX_BROKER_SI_CON_RATIO,HDF FP Equity_DX_BROKER_SI_MARKET_SHARE_1,HDF FP Equity_DX_DEMAND_SUPPLY_RATIO
2021-06-28,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,200.0,6560.0,0.01,0.0,,0.0,,0.0
2021-06-29,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,200.0,6260.0,0.01,0.0,,0.0,,0.0
2021-06-30,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,200.0,6320.0,0.01,0.0,,0.0,,0.0
2021-07-01,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,200.0,6320.0,0.01,0.0,,0.0,,0.0
2021-07-02,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,200.0,6300.0,0.01,0.0,,0.0,,0.0
2021-07-05,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,200.0,6220.0,0.01,0.0,,0.0,,0.0
2021-07-06,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,200.0,6080.0,0.01,0.0,,0.0,,0.0
2021-07-07,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,200.0,6040.0,0.01,0.0,,0.0,,0.0
2021-07-08,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,200.0,6170.0,0.01,0.0,,0.0,,0.0
2021-07-09,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,200.0,6100.0,0.01,0.0,,0.0,,0.0
