,MLDYX FP Equity_DX_SI_QTY,MLDYX FP Equity_DX_SHORT_INTEREST_VALUE,MLDYX FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,MLDYX FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,MLDYX FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,MLDYX FP Equity_DX_SI_MV,MLDYX FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,MLDYX FP Equity_DX_SUPPLY_SI_QTY,MLDYX FP Equity_DX_BROKER_SI_QTY,MLDYX FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,MLDYX FP Equity_DX_SUPPLY_SI_MV,MLDYX FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,MLDYX FP Equity_DX_UTILIZATION_QUANTITY,MLDYX FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,MLDYX FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,MLDYX FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,MLDYX FP Equity_DX_ACTIVE_UTILIZATION_MV,MLDYX FP Equity_DX_BROKER_SI_MARKET_SHARE_2,MLDYX FP Equity_DX_BROKER_SI_CON_RATIO,MLDYX FP Equity_DX_BROKER_SI_MARKET_SHARE_1,MLDYX FP Equity_DX_DEMAND_SUPPLY_RATIO
2014-02-21,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,139888.0,,4.45,0.0,0.0,0.0,0.0,
2014-02-24,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,139888.0,,4.46,0.0,,0.0,,
2014-02-25,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,139888.0,,4.45,0.0,,0.0,,
2014-02-26,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,139888.0,,4.45,0.0,,0.0,,
2014-02-27,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,139888.0,,4.45,0.0,,0.0,,
2014-02-28,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,139888.0,,4.45,0.0,,0.0,,
2014-03-03,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,139888.0,,4.45,0.0,,0.0,,
2014-03-04,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,139888.0,,4.45,0.0,,0.0,,
2014-03-05,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,139888.0,,4.45,0.0,,0.0,,
2014-03-06,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,139888.0,,4.45,0.0,,0.0,,
2014-03-07,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,139888.0,,4.45,0.0,,0.0,,
2014-03-10,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,139888.0,,4.43,0.0,,0.0,,
2014-03-11,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,139888.0,,4.45,0.0,,0.0,,
2014-03-12,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,139888.0,,4.45,0.0,,0.0,,
2014-03-13,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,139888.0,,4.45,0.0,,0.0,,
2014-03-14,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,139888.0,,4.45,0.0,,0.0,,
2014-03-17,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,139888.0,,4.45,0.0,,0.0,,
2014-03-18,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,139888.0,,4.43,0.0,,0.0,,
2014-03-19,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,139888.0,,4.45,0.0,,0.0,,
2014-03-20,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,139888.0,,4.45,0.0,,0.0,,
2014-03-21,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,139888.0,,4.45,0.0,,0.0,,
2014-03-24,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,139888.0,,4.44,0.0,,0.0,,
2014-03-25,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,139888.0,,4.45,0.0,,0.0,,
2014-03-26,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,139888.0,,4.45,0.0,,0.0,,
2014-03-27,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,139888.0,,4.45,0.0,,0.0,,
2014-03-28,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,139888.0,,4.45,0.0,,0.0,,
