,ALI2S FP Equity_DX_SI_QTY,ALI2S FP Equity_DX_SHORT_INTEREST_VALUE,ALI2S FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALI2S FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALI2S FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALI2S FP Equity_DX_SI_MV,ALI2S FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALI2S FP Equity_DX_SUPPLY_SI_QTY,ALI2S FP Equity_DX_BROKER_SI_QTY,ALI2S FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALI2S FP Equity_DX_SUPPLY_SI_MV,ALI2S FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALI2S FP Equity_DX_UTILIZATION_QUANTITY,ALI2S FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALI2S FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALI2S FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALI2S FP Equity_DX_ACTIVE_UTILIZATION_MV,ALI2S FP Equity_DX_BROKER_SI_CON_RATIO,ALI2S FP Equity_DX_DEMAND_SUPPLY_RATIO,ALI2S FP Equity_PX_LAST
2007-10-30,,,,,,,,,,,,,,,,,,,,12.99
2007-10-31,,,,,,,,,,,,,,,,,,,,12.52
2007-11-01,,,,,,,,,,,,,,,,,,,,12.32
2007-11-02,,,,,,,,,,,,,,,,,,,,12.5
2007-11-05,,,,,,,,,,,,,,,,,,,,12.73
2007-11-06,,,,,,,,,,,,,,,,,,,,12.44
2007-11-07,,,,,,,,,,,,,,,,,,,,12.55
2007-11-08,,,,,,,,,,,,,,,,,,,,12.29
2007-11-09,,,,,,,,,,,,,,,,,,,,12.0
2007-11-12,,,,,,,,,,,,,,,,,,,,12.14
2007-11-13,,,,,,,,,,,,,,,,,,,,11.68
2007-11-14,,,,,,,,,,,,,,,,,,,,11.63
2007-11-15,,,,,,,,,,,,,,,,,,,,12.2
2007-11-16,,,,,,,,,,,,,,,,,,,,12.19
2007-11-19,,,,,,,,,,,,,,,,,,,,11.78
2007-11-20,,,,,,,,,,,,,,,,,,,,11.86
2007-11-21,,,,,,,,,,,,,,,,,,,,11.47
2007-11-22,,,,,,,,,,,,,,,,,,,,11.3
2007-11-23,,,,,,,,,,,,,,,,,,,,11.45
2007-11-26,,,,,,,,,,,,,,,,,,,,11.2
2007-11-27,,,,,,,,,,,,,,,,,,,,11.45
2007-11-28,,,,,,,,,,,,,,,,,,,,11.5
2007-11-29,,,,,,,,,,,,,,,,,,,,11.43
2007-11-30,,,,,,,,,,,,,,,,,,,,11.5
2007-12-03,,,,,,,,,,,,,,,,,,,,11.5
2007-12-04,,,,,,,,,,,,,,,,,,,,11.45
2007-12-05,,,,,,,,,,,,,,,,,,,,11.67
2007-12-06,,,,,,,,,,,,,,,,,,,,11.95
2007-12-07,,,,,,,,,,,,,,,,,,,,11.63
2007-12-10,,,,,,,,,,,,,,,,,,,,11.6
2007-12-11,,,,,,,,,,,,,,,,,,,,11.6
2007-12-12,,,,,,,,,,,,,,,,,,,,11.8
2007-12-13,,,,,,,,,,,,,,,,,,,,11.85
2007-12-14,,,,,,,,,,,,,,,,,,,,11.5
2007-12-17,,,,,,,,,,,,,,,,,,,,11.51
2007-12-18,,,,,,,,,,,,,,,,,,,,11.51
2007-12-19,,,,,,,,,,,,,,,,,,,,11.5
2007-12-20,,,,,,,,,,,,,,,,,,,,11.4
2007-12-21,,,,,,,,,,,,,,,,,,,,11.5
2007-12-24,,,,,,,,,,,,,,,,,,,,11.4
2007-12-27,,,,,,,,,,,,,,,,,,,,11.55
