,PAEJ FP Equity_DX_SI_QTY,PAEJ FP Equity_DX_SHORT_INTEREST_VALUE,PAEJ FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,PAEJ FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,PAEJ FP Equity_DX_SI_MV,PAEJ FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,PAEJ FP Equity_DX_SUPPLY_SI_QTY,PAEJ FP Equity_DX_BROKER_SI_QTY,PAEJ FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,PAEJ FP Equity_DX_BROKER_SI_MV_NEW_x,PAEJ FP Equity_DX_BROKER_SI_QTY_ADD,PAEJ FP Equity_DX_BROKER_SI_QTY_NEW,PAEJ FP Equity_DX_BROKER_SI_MV_NEW_y,PAEJ FP Equity_DX_BROKER_SI_MV_ADD,PAEJ FP Equity_DX_BROKER_SI_QTY_DEC,PAEJ FP Equity_DX_SUPPLY_SI_MV,PAEJ FP Equity_DX_BROKER_SI_MV_DEC,PAEJ FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,PAEJ FP Equity_DX_UTILIZATION_QUANTITY,PAEJ FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,PAEJ FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,PAEJ FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,PAEJ FP Equity_DX_ACTIVE_UTILIZATION_MV,PAEJ FP Equity_DX_BROKER_SI_MARKET_SHARE_2,PAEJ FP Equity_DX_BROKER_SI_CON_RATIO,PAEJ FP Equity_DX_BROKER_SI_MARKET_SHARE_1,PAEJ FP Equity_DX_DEMAND_SUPPLY_RATIO
2016-06-16,9000.0,95850.0,10.34,2.1,0.1,95850.0,0.0,9000.0,0.0,,9000.0,,,0.1,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0
2016-06-17,9000.0,95670.0,10.34,2.1,0.1,95670.0,0.0,9000.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2016-06-20,9000.0,97650.0,10.55,2.1,0.1,97650.0,0.0,9000.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2016-06-21,9000.0,97920.0,12.21,2.1,0.1,97920.0,0.0,9000.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2016-06-22,9000.0,98910.0,12.31,2.1,0.1,98910.0,0.0,9000.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2016-06-23,9000.0,99000.0,12.2,2.1,0.1,99000.0,0.0,9000.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2016-06-24,9000.0,97290.0,12.2,2.1,0.1,97290.0,0.0,9000.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2016-06-27,9000.0,95760.0,11.5,2.1,0.1,95760.0,0.0,9000.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2016-06-28,9000.0,97560.0,11.0,2.1,0.1,97560.0,0.0,9000.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2016-06-29,9000.0,99540.0,10.56,2.1,0.1,99540.0,0.0,9000.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2016-06-30,9000.0,100170.0,10.38,2.1,0.1,100170.0,0.0,9000.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2016-07-01,18000.0,202320.0,20.94,4.19,0.2,202320.0,0.0,18000.0,0.0,0.1,,9000.0,0.1,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,49.75,0.5,50.25,0.0
2016-07-04,18000.0,202860.0,20.95,4.19,0.2,202860.0,0.0,18000.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,49.93,0.5,50.07,0.0
2016-07-05,18000.0,200520.0,20.94,4.19,0.2,200520.0,0.0,18000.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,49.71,0.5,50.29,0.0
2016-07-06,18000.0,198900.0,20.48,4.19,0.2,198900.0,0.0,18000.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,49.8,0.5,50.2,0.0
2016-07-07,18000.0,200340.0,20.72,4.19,0.2,200340.0,0.0,18000.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,49.82,0.5,50.18,0.0
2016-07-08,18000.0,203580.0,20.64,4.19,0.2,203580.0,0.0,18000.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,49.6,0.5,50.4,0.0
2016-07-11,18000.0,206820.0,17.03,4.19,0.21,206820.0,0.0,18000.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,49.61,0.5,50.39,0.0
