,USHY FP Equity_DX_DSS,USHY FP Equity_PX_LAST
2016-10-12,,96.01
2016-10-14,,96.23
2016-10-17,,96.25
2016-10-18,,96.4
2016-10-19,,96.71
2016-10-20,,97.12
2016-10-21,,97.81
2016-10-24,,97.78
2016-10-25,,97.75
2016-10-26,,97.42
2016-10-27,,97.38
2016-10-28,,97.35
2016-11-01,,95.55
2016-11-02,,92.87
2016-11-03,,94.8
2016-11-04,,94.47
2016-11-07,,95.25
2016-11-08,,95.28
2016-11-09,,95.56
2016-11-10,,96.07
2016-11-11,,96.24
2016-11-14,,96.88
2016-11-15,,96.64
2016-11-16,,97.2
2016-11-17,,97.45
2016-11-18,,98.07
2016-11-21,,97.81
2016-11-22,,98.26
2016-11-23,,98.69
2016-11-24,,98.89
2016-11-25,,98.64
2016-11-28,,98.69
2016-11-29,,98.81
2016-11-30,,99.27
2016-12-01,,98.86
2016-12-02,,98.37
2016-12-05,,98.06
2016-12-06,,98.21
2016-12-07,,98.73
2016-12-08,,100.2
2016-12-09,,100.99
2016-12-12,,100.45
2016-12-13,,100.05
2016-12-14,,100.17
2016-12-15,,101.29
2016-12-29,,101.81
2016-12-30,,101.23
2017-01-02,,102.34
2017-01-03,,102.87
2017-01-04,,102.6
2017-01-05,,101.73
2017-01-06,,102.15
2017-01-09,,102.13
2017-01-10,,102.19
2017-01-11,,102.98
2017-01-12,,101.45
2017-01-13,,101.73
2017-01-16,,102.07
2017-01-17,,101.05
2017-01-18,,101.32
2017-01-19,,101.76
2017-01-20,,101.3
2017-01-23,,100.76
2017-01-24,,100.64
2017-01-25,,100.87
2017-01-26,,101.7
2017-01-27,,101.46
2017-01-30,,101.44
2017-01-31,,100.47
2017-02-01,,101.09
2017-02-02,,100.68
2017-02-03,,100.96
2017-02-06,,101.54
2017-02-07,,102.11
2017-02-08,,101.98
2017-02-09,,102.2
2017-02-10,1.0,102.41
2017-02-13,1.0,102.87
2017-02-14,1.0,103.14
2017-02-15,1.0,103.18
2017-02-16,1.0,102.45
2017-02-17,1.0,102.9
2017-02-20,,102.94
2017-02-21,,103.75
2017-02-22,,103.97
2017-02-23,,103.68
2017-02-24,,103.7
2017-02-27,,103.37
2017-02-28,,103.44
2017-03-01,,104.14
2017-03-02,,104.86
2017-03-03,,104.57
2017-03-06,,103.97
2017-03-07,1.0,103.86
2017-03-08,1.0,103.86
2017-03-09,1.0,102.58
2017-03-10,1.0,102.15
2017-03-13,1.0,101.89
