,CU9 FP Equity_DX_SI_QTY,CU9 FP Equity_DX_SHORT_INTEREST_VALUE,CU9 FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,CU9 FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,CU9 FP Equity_DX_SI_MV,CU9 FP Equity_DX_DSS,CU9 FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,CU9 FP Equity_DX_SUPPLY_SI_QTY,CU9 FP Equity_DX_BROKER_SI_QTY,CU9 FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,CU9 FP Equity_DX_SUPPLY_SI_QTY_INC_x,CU9 FP Equity_DX_BROKER_SI_MV_INC_x,CU9 FP Equity_DX_BROKER_SI_QTY_ADD,CU9 FP Equity_DX_SUPPLY_SI_MV_DEC,CU9 FP Equity_DX_BROKER_SI_QTY_INC,CU9 FP Equity_DX_SUPPLY_SI_QTY_DEC,CU9 FP Equity_DX_BROKER_SI_MV_INC_y,CU9 FP Equity_DX_SUPPLY_SI_QTY_INC_y,CU9 FP Equity_DX_BROKER_SI_MV_ADD,CU9 FP Equity_DX_SUPPLY_SI_QTY_ADD,CU9 FP Equity_DX_BROKER_SI_QTY_DEC,CU9 FP Equity_DX_SUPPLY_SI_MV,CU9 FP Equity_DX_BROKER_SI_MV_DEC,CU9 FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,CU9 FP Equity_DX_UTILIZATION_QUANTITY,CU9 FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,CU9 FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,CU9 FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,CU9 FP Equity_DX_ACTIVE_UTILIZATION_MV,CU9 FP Equity_DX_BROKER_SI_MARKET_SHARE_2,CU9 FP Equity_DX_BROKER_SI_CON_RATIO,CU9 FP Equity_DX_BROKER_SI_MARKET_SHARE_1,CU9 FP Equity_DX_DEMAND_SUPPLY_RATIO,CU9 FP Equity_PX_LAST
2010-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.63
2010-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.76
2010-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.88
2010-01-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.83
2010-01-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.72
2010-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.3
2010-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.73
2010-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.5
2010-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.99
2010-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.72
2010-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.81
2010-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.17
2010-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.02
2010-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.64
2010-02-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.08
2010-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.32
2010-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.84
2010-02-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.51
2010-02-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.45
2010-02-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.05
2010-02-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.59
2010-02-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.36
2010-02-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.48
2010-02-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.9
2010-02-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.51
2010-02-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.9
2010-02-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.59
2010-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.98
2010-02-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.41
2010-02-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.45
2010-02-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.4
2010-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.17
2010-03-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.14
2010-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.73
2010-03-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.18
2010-03-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.12
2010-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.88
2010-03-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.54
2010-03-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.91
2010-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.62
2010-03-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.1
2010-03-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.58
2010-03-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.42
2010-03-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.85
2010-03-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.19
2010-03-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.78
2010-03-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.99
2010-03-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.66
2010-03-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.95
