,EGRI FP Equity_DX_SI_QTY,EGRI FP Equity_DX_SHORT_INTEREST_VALUE,EGRI FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,EGRI FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,EGRI FP Equity_DX_SI_MV,EGRI FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,EGRI FP Equity_DX_SUPPLY_SI_QTY,EGRI FP Equity_DX_BROKER_SI_QTY,EGRI FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,EGRI FP Equity_DX_SUPPLY_SI_QTY_INC_x,EGRI FP Equity_DX_BROKER_SI_MV_INC_x,EGRI FP Equity_DX_BROKER_SI_QTY_ADD,EGRI FP Equity_DX_SUPPLY_SI_MV_DEC,EGRI FP Equity_DX_BROKER_SI_QTY_INC,EGRI FP Equity_DX_SUPPLY_SI_QTY_DEC,EGRI FP Equity_DX_BROKER_SI_MV_INC_y,EGRI FP Equity_DX_SUPPLY_SI_QTY_INC_y,EGRI FP Equity_DX_BROKER_SI_MV_ADD,EGRI FP Equity_DX_SUPPLY_SI_QTY_ADD,EGRI FP Equity_DX_BROKER_SI_QTY_DEC,EGRI FP Equity_DX_SUPPLY_SI_MV,EGRI FP Equity_DX_BROKER_SI_MV_DEC,EGRI FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,EGRI FP Equity_DX_UTILIZATION_QUANTITY,EGRI FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,EGRI FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,EGRI FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,EGRI FP Equity_DX_ACTIVE_UTILIZATION_MV,EGRI FP Equity_DX_BROKER_SI_MARKET_SHARE_2,EGRI FP Equity_DX_BROKER_SI_CON_RATIO,EGRI FP Equity_DX_BROKER_SI_MARKET_SHARE_1,EGRI FP Equity_DX_DEMAND_SUPPLY_RATIO
2021-03-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,17999.0,908409.53,0.91,0.0,,0.0,,0.0
2021-03-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,210999.0,10628019.63,10.64,0.0,,0.0,,0.0
2021-03-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,210999.0,10602699.75,10.63,0.0,,0.0,,0.0
2021-03-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,210999.0,10617469.68,10.59,0.0,,0.0,,0.0
2021-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,210999.0,10640679.57,10.64,0.0,,0.0,,0.0
2021-04-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,210999.0,10640679.57,10.65,0.0,,0.0,,0.0
2021-04-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,210999.0,10640679.57,10.64,0.0,,0.0,,0.0
2021-04-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,210999.0,10630129.62,10.66,0.0,,0.0,,0.0
2021-04-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,210999.0,10632239.61,10.62,0.0,,0.0,,0.0
2021-04-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,210999.0,10642789.56,10.63,0.0,,0.0,,0.0
