,TKTT FP Equity_DX_SI_QTY,TKTT FP Equity_DX_SHORT_INTEREST_VALUE,TKTT FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,TKTT FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,TKTT FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,TKTT FP Equity_DX_SI_MV,TKTT FP Equity_DX_DSS,TKTT FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,TKTT FP Equity_DX_SUPPLY_SI_QTY,TKTT FP Equity_DX_BROKER_SI_QTY,TKTT FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,TKTT FP Equity_DX_BROKER_SI_MV_NEW_x,TKTT FP Equity_DX_SUPPLY_SI_QTY_NEW_x,TKTT FP Equity_DX_SUPPLY_SI_QTY_INC_x,TKTT FP Equity_DX_BROKER_SI_MV_INC_x,TKTT FP Equity_DX_SUPPLY_SI_MV_NEW,TKTT FP Equity_DX_BROKER_SI_QTY_ADD,TKTT FP Equity_DX_BROKER_SI_QTY_NEW,TKTT FP Equity_DX_SUPPLY_SI_MV_DEC,TKTT FP Equity_DX_BROKER_SI_QTY_INC,TKTT FP Equity_DX_SUPPLY_SI_QTY_DEC,TKTT FP Equity_DX_BROKER_SI_MV_NEW_y,TKTT FP Equity_DX_SUPPLY_SI_QTY_NEW_y,TKTT FP Equity_DX_BROKER_SI_MV_INC_y,TKTT FP Equity_DX_SUPPLY_SI_QTY_INC_y,TKTT FP Equity_DX_BROKER_SI_MV_ADD,TKTT FP Equity_DX_SUPPLY_SI_QTY_ADD,TKTT FP Equity_DX_BROKER_SI_QTY_DEC,TKTT FP Equity_DX_SUPPLY_SI_MV,TKTT FP Equity_DX_BROKER_SI_MV_DEC,TKTT FP Equity_DX_SUPPLY_SI_MV_RMV,TKTT FP Equity_DX_BROKER_SI_MV_RMV,TKTT FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,TKTT FP Equity_DX_UTILIZATION_QUANTITY,TKTT FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,TKTT FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,TKTT FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,TKTT FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,TKTT FP Equity_DX_ACTIVE_UTILIZATION_MV,TKTT FP Equity_DX_BROKER_SI_MARKET_SHARE_2,TKTT FP Equity_DX_BROKER_SI_CON_RATIO,TKTT FP Equity_DX_BROKER_SI_MARKET_SHARE_1,TKTT FP Equity_DX_DEMAND_SUPPLY_RATIO
2013-11-22,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,663840.0,16870541.53,,19.1,0.0,,0.0,,0.0
2013-11-25,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,50260.0,1314578.83,,1.41,0.0,,0.0,,0.0
2013-11-26,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1107067.0,29058646.63,,30.49,0.0,,0.0,,0.0
2013-11-27,50000.0,1328183.44,0.08,0.2,0.08,1.41,0.0,0.0,50000.0,0.0,1328183.44,,,,,,,,,,,,,,,,50000.0,,1.41,,,,40.0,2.78,75000.0,1992275.16,,2.12,40.0,,1.0,100.0,0.0278
2013-11-28,50000.0,1341632.22,0.08,0.2,0.08,1.43,0.0,1341632.22,50000.0,50000.0,1341632.22,,,,,,50000.0,,,,,,,,,1.43,,,1.41,,,,40.0,1.3,75000.0,2012448.34,,2.12,40.0,,1.0,100.0,0.013
2013-11-29,100000.0,2680481.94,0.16,0.39,0.16,2.89,0.0,1340240.97,50000.0,50000.0,1340240.97,,,,,,,,,,,,,,,,,,1.45,,,,40.0,1.29,75000.0,2010361.46,,2.17,40.0,,1.0,100.0,0.0259
2013-12-02,100000.0,2661931.89,0.16,0.39,0.16,2.9,0.0,1330965.95,50000.0,50000.0,1330965.95,,,,,,,,,,,,,,,,,,1.45,,,,40.0,1.29,75000.0,1996448.92,,2.18,40.0,,1.0,100.0,0.0259
2013-12-03,50000.0,1330502.2,0.08,0.19,0.08,1.44,0.0,1330502.2,50000.0,50000.0,1330502.2,,,,,,,,,,,,,,,,,,1.43,,,,40.0,1.29,75000.0,1995753.29,,2.15,40.0,,1.0,100.0,0.0129
2013-12-04,50000.0,1321690.92,0.08,0.19,0.08,1.43,0.0,1321690.92,50000.0,50000.0,1321690.92,,,,,,,,,,,,,,,,,,1.43,,,,40.0,1.3,75000.0,1982536.38,,2.15,40.0,,1.0,100.0,0.013
2013-12-05,57100.0,1498778.96,0.09,0.21,0.09,1.63,0.0,1498778.96,57100.0,57100.0,1498778.96,,,,,,7100.0,,,,,,,,,0.2,7100.0,,1.61,,,,5.08,2.0,1067900.0,28030578.76,,30.22,5.07,12.36,0.7834,87.64,0.02
2013-12-06,80600.0,2058051.77,0.13,0.3,0.13,2.28,0.0,1457999.46,80600.0,57100.0,2058051.77,,,,,,,,,,,,,,,,23500.0,,2.27,,,,2.82,2.82,2775884.0,70879813.79,,75.81,2.9,8.56,0.8434,91.44,0.0282
2013-12-09,7100.0,181094.84,0.01,0.03,0.01,0.2,0.0,181094.84,7100.0,7100.0,181094.84,,,,,,,,2.07,,73500.0,,,,,,,50000.0,0.2,1.43,,,0.71,0.25,992900.0,25325221.2,,27.3,0.71,,1.0,100.0,0.0025
2013-12-10,7100.0,181753.37,0.01,0.03,0.01,0.2,0.0,181753.37,7100.0,7100.0,181753.37,,,,,,,,,,,,,,,,23500.0,,0.2,,,,0.71,0.25,992900.0,25417312.92,,27.4,0.71,23.26,1.0,100.0,0.0025
2013-12-11,7100.0,184387.48,0.01,0.03,0.01,0.2,0.0,0.0,7100.0,0.0,184387.48,,,,,,,,,,,,,,,,23500.0,7100.0,0.2,0.2,,,0.7,0.25,1000000.0,25970067.25,,28.0,0.7,23.12,1.0,100.0,0.0025
2013-12-12,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,0.2,,7100.0,,,,,,,,0.0,,,,0.0,0.0,2869704.0,74100540.68,,78.37,0.0,,0.0,,0.0
