,ALTXC FP Equity_DX_SI_QTY,ALTXC FP Equity_DX_SHORT_INTEREST_VALUE,ALTXC FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALTXC FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALTXC FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALTXC FP Equity_DX_SI_MV,ALTXC FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALTXC FP Equity_DX_SUPPLY_SI_QTY,ALTXC FP Equity_DX_BROKER_SI_QTY,ALTXC FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALTXC FP Equity_DX_SUPPLY_SI_MV,ALTXC FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALTXC FP Equity_DX_UTILIZATION_QUANTITY,ALTXC FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALTXC FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALTXC FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALTXC FP Equity_DX_ACTIVE_UTILIZATION_MV,ALTXC FP Equity_DX_BROKER_SI_CON_RATIO,ALTXC FP Equity_DX_DEMAND_SUPPLY_RATIO,ALTXC FP Equity_PX_LAST
2009-01-07,,,,,,,,,,,,,,,,,,,,8.0
2009-01-08,,,,,,,,,,,,,,,,,,,,8.8
2009-08-19,,,,,,,,,,,,,,,,,,,,8.0
2010-12-07,,,,,,,,,,,,,,,,,,,,8.0
2010-12-08,,,,,,,,,,,,,,,,,,,,8.01
2010-12-09,,,,,,,,,,,,,,,,,,,,8.0
2010-12-10,,,,,,,,,,,,,,,,,,,,8.01
2010-12-13,,,,,,,,,,,,,,,,,,,,8.01
2010-12-14,,,,,,,,,,,,,,,,,,,,8.0
2010-12-16,,,,,,,,,,,,,,,,,,,,8.0
2010-12-17,,,,,,,,,,,,,,,,,,,,8.0
2010-12-20,,,,,,,,,,,,,,,,,,,,8.01
2010-12-21,,,,,,,,,,,,,,,,,,,,8.01
2010-12-22,,,,,,,,,,,,,,,,,,,,8.01
2010-12-23,,,,,,,,,,,,,,,,,,,,8.01
2010-12-24,,,,,,,,,,,,,,,,,,,,8.01
2010-12-27,,,,,,,,,,,,,,,,,,,,8.01
2010-12-28,,,,,,,,,,,,,,,,,,,,8.01
2010-12-29,,,,,,,,,,,,,,,,,,,,8.01
2010-12-30,,,,,,,,,,,,,,,,,,,,8.01
2010-12-31,,,,,,,,,,,,,,,,,,,,8.01
2011-01-03,,,,,,,,,,,,,,,,,,,,8.01
2011-01-04,,,,,,,,,,,,,,,,,,,,8.01
2011-01-05,,,,,,,,,,,,,,,,,,,,8.01
2011-01-06,,,,,,,,,,,,,,,,,,,,8.01
2011-01-07,,,,,,,,,,,,,,,,,,,,8.01
2011-01-10,,,,,,,,,,,,,,,,,,,,8.01
2011-01-11,,,,,,,,,,,,,,,,,,,,8.01
2011-01-12,,,,,,,,,,,,,,,,,,,,8.01
2011-01-13,,,,,,,,,,,,,,,,,,,,8.01
2011-01-14,,,,,,,,,,,,,,,,,,,,8.01
2011-01-17,,,,,,,,,,,,,,,,,,,,8.01
2011-01-18,,,,,,,,,,,,,,,,,,,,8.01
2011-01-19,,,,,,,,,,,,,,,,,,,,8.01
2011-01-20,,,,,,,,,,,,,,,,,,,,8.01
2011-01-21,,,,,,,,,,,,,,,,,,,,8.01
2011-01-24,,,,,,,,,,,,,,,,,,,,8.01
2011-01-25,,,,,,,,,,,,,,,,,,,,8.01
2011-01-26,,,,,,,,,,,,,,,,,,,,8.01
2011-01-27,,,,,,,,,,,,,,,,,,,,8.01
2011-01-28,,,,,,,,,,,,,,,,,,,,8.01
2011-01-31,,,,,,,,,,,,,,,,,,,,8.01
2011-02-01,,,,,,,,,,,,,,,,,,,,8.01
2011-02-02,,,,,,,,,,,,,,,,,,,,8.01
2011-02-03,,,,,,,,,,,,,,,,,,,,8.01
2011-02-04,,,,,,,,,,,,,,,,,,,,8.01
2011-02-07,,,,,,,,,,,,,,,,,,,,8.01
2011-02-08,,,,,,,,,,,,,,,,,,,,8.01
2011-02-09,,,,,,,,,,,,,,,,,,,,8.01
2011-02-10,,,,,,,,,,,,,,,,,,,,8.01
2011-02-11,,,,,,,,,,,,,,,,,,,,8.01
2011-02-14,,,,,,,,,,,,,,,,,,,,8.0
2011-02-15,,,,,,,,,,,,,,,,,,,,8.01
