,ALCHI FP Equity_DX_SI_QTY,ALCHI FP Equity_DX_SHORT_INTEREST_VALUE,ALCHI FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALCHI FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALCHI FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALCHI FP Equity_DX_SI_MV,ALCHI FP Equity_DX_DSS,ALCHI FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALCHI FP Equity_DX_SUPPLY_SI_QTY,ALCHI FP Equity_DX_BROKER_SI_QTY,ALCHI FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALCHI FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALCHI FP Equity_DX_BROKER_SI_MV_INC_x,ALCHI FP Equity_DX_BROKER_SI_QTY_ADD,ALCHI FP Equity_DX_SUPPLY_SI_MV_DEC,ALCHI FP Equity_DX_BROKER_SI_QTY_INC,ALCHI FP Equity_DX_SUPPLY_SI_QTY_DEC,ALCHI FP Equity_DX_BROKER_SI_MV_INC_y,ALCHI FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALCHI FP Equity_DX_BROKER_SI_MV_ADD,ALCHI FP Equity_DX_SUPPLY_SI_QTY_ADD,ALCHI FP Equity_DX_BROKER_SI_QTY_DEC,ALCHI FP Equity_DX_SUPPLY_SI_MV,ALCHI FP Equity_DX_BROKER_SI_MV_DEC,ALCHI FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALCHI FP Equity_DX_UTILIZATION_QUANTITY,ALCHI FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALCHI FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALCHI FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALCHI FP Equity_DX_ACTIVE_UTILIZATION_MV,ALCHI FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALCHI FP Equity_DX_BROKER_SI_CON_RATIO,ALCHI FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALCHI FP Equity_DX_DEMAND_SUPPLY_RATIO,ALCHI FP Equity_PX_LAST
2020-11-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.7
2020-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.7
2020-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.6
2020-12-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.25
2020-12-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.15
2020-12-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.3
2020-12-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.5
2020-12-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.7
2020-12-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.1
2020-12-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.1
2020-12-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.2
2020-12-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.7
2020-12-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.7
2020-12-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.3
2020-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5
2020-12-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.2
2020-12-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.2
2020-12-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.9
2020-12-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.95
2020-12-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.25
2020-12-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.2
2020-12-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.1
2020-12-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.1
2020-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.05
