,ITP FP Equity_DX_SI_QTY,ITP FP Equity_DX_SHORT_INTEREST_VALUE,ITP FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ITP FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ITP FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ITP FP Equity_DX_SI_MV,ITP FP Equity_DX_DSS,ITP FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ITP FP Equity_DX_SUPPLY_SI_QTY,ITP FP Equity_DX_BROKER_SI_QTY,ITP FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ITP FP Equity_DX_BROKER_SI_MV_NEW_x,ITP FP Equity_DX_SUPPLY_SI_QTY_NEW_x,ITP FP Equity_DX_SUPPLY_SI_QTY_INC_x,ITP FP Equity_DX_BROKER_SI_MV_INC_x,ITP FP Equity_DX_SUPPLY_SI_MV_NEW,ITP FP Equity_DX_BROKER_SI_QTY_ADD,ITP FP Equity_DX_BROKER_SI_QTY_NEW,ITP FP Equity_DX_SUPPLY_SI_MV_DEC,ITP FP Equity_DX_BROKER_SI_QTY_INC,ITP FP Equity_DX_SUPPLY_SI_QTY_DEC,ITP FP Equity_DX_BROKER_SI_MV_NEW_y,ITP FP Equity_DX_SUPPLY_SI_QTY_NEW_y,ITP FP Equity_DX_BROKER_SI_MV_INC_y,ITP FP Equity_DX_SUPPLY_SI_QTY_INC_y,ITP FP Equity_DX_BROKER_SI_MV_ADD,ITP FP Equity_DX_SUPPLY_SI_QTY_ADD,ITP FP Equity_DX_BROKER_SI_QTY_DEC,ITP FP Equity_DX_SUPPLY_SI_MV,ITP FP Equity_DX_BROKER_SI_MV_DEC,ITP FP Equity_DX_SUPPLY_SI_MV_RMV,ITP FP Equity_DX_BROKER_SI_MV_RMV,ITP FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ITP FP Equity_DX_UTILIZATION_QUANTITY,ITP FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ITP FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ITP FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,ITP FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ITP FP Equity_DX_ACTIVE_UTILIZATION_MV,ITP FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ITP FP Equity_DX_BROKER_SI_CON_RATIO,ITP FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ITP FP Equity_DX_DEMAND_SUPPLY_RATIO
2006-01-04,9451.0,257370.58,0.36,0.82,0.1,0.3,0.0,236946.51,1648.0,8701.0,44878.5,,,,,,,,0.0,,27.0,,,,,,,,0.05,,,,1.49,1.49,109024.0,2968952.55,,3.49,1.49,42.41,0.5115,57.59,0.0854
2006-01-11,9467.0,256749.1,0.36,0.84,0.1,0.3,0.0,235974.85,1666.0,8701.0,45182.63,,,19.0,,,,,,,,,,,19.0,,,,0.05,,,,1.5,1.5,109066.0,2957916.64,,3.49,1.5,42.37,0.5117,57.63,0.0855
2006-01-18,9469.0,253026.82,0.36,1.55,0.1,0.3,0.0,232504.63,1663.0,8701.0,44438.02,,,,,,,,0.0,,3.0,,,,,,,,0.05,,,,1.5,1.5,108886.0,2909607.98,,3.48,1.5,42.3,0.5119,57.7,0.0857
2006-01-25,4185.0,110160.79,0.16,0.63,0.04,0.14,0.0,91155.75,1565.0,3463.0,41195.13,,,,,,,,0.0,,99.0,,,,,,,5238.0,0.05,0.16,,,1.5,1.5,102740.0,2704401.26,,3.39,1.5,,1.0,100.0,0.0401
2006-02-01,4188.0,110206.35,0.16,0.81,0.04,0.14,0.0,91128.13,1572.0,3463.0,41366.85,,,7.0,,,,,,,,,,,7.0,,,,0.05,,,,1.5,1.5,103430.0,2721738.95,,3.4,1.5,,1.0,100.0,0.0399
2006-02-08,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.03,,1572.0,,,,,,,3463.0,0.02,0.11,,,0.0,0.0,0.0,0.0,,3.41,0.7,,0.0,,0.0
2006-02-15,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.02,,,,0.0,0.0,0.0,0.0,,3.4,0.69,,0.0,,0.0
2006-02-22,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.02,,,,0.0,0.0,0.0,0.0,,3.39,0.7,,0.0,,0.0
2006-03-01,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.03,,,,0.0,0.0,0.0,0.0,,3.63,0.69,,0.0,,0.0
2006-03-08,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.03,,,,0.0,0.0,0.0,0.0,,4.22,0.62,,0.0,,0.0
