,QCEU FP Equity_DX_SI_QTY,QCEU FP Equity_DX_SHORT_INTEREST_VALUE,QCEU FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,QCEU FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,QCEU FP Equity_DX_SI_MV,QCEU FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,QCEU FP Equity_DX_SUPPLY_SI_QTY,QCEU FP Equity_DX_BROKER_SI_QTY,QCEU FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,QCEU FP Equity_DX_SUPPLY_SI_QTY_NEW_x,QCEU FP Equity_DX_SUPPLY_SI_QTY_INC_x,QCEU FP Equity_DX_BROKER_SI_MV_INC_x,QCEU FP Equity_DX_SUPPLY_SI_MV_NEW,QCEU FP Equity_DX_BROKER_SI_QTY_ADD,QCEU FP Equity_DX_SUPPLY_SI_MV_DEC,QCEU FP Equity_DX_BROKER_SI_QTY_INC,QCEU FP Equity_DX_SUPPLY_SI_QTY_DEC,QCEU FP Equity_DX_SUPPLY_SI_QTY_NEW_y,QCEU FP Equity_DX_BROKER_SI_MV_INC_y,QCEU FP Equity_DX_SUPPLY_SI_QTY_INC_y,QCEU FP Equity_DX_BROKER_SI_MV_ADD,QCEU FP Equity_DX_SUPPLY_SI_QTY_ADD,QCEU FP Equity_DX_BROKER_SI_QTY_DEC,QCEU FP Equity_DX_SUPPLY_SI_MV,QCEU FP Equity_DX_BROKER_SI_MV_DEC,QCEU FP Equity_DX_SUPPLY_SI_MV_RMV,QCEU FP Equity_DX_BROKER_SI_MV_RMV,QCEU FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,QCEU FP Equity_DX_UTILIZATION_QUANTITY,QCEU FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,QCEU FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,QCEU FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,QCEU FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,QCEU FP Equity_DX_ACTIVE_UTILIZATION_MV,QCEU FP Equity_DX_BROKER_SI_MARKET_SHARE_2,QCEU FP Equity_DX_BROKER_SI_CON_RATIO,QCEU FP Equity_DX_BROKER_SI_MARKET_SHARE_1,QCEU FP Equity_DX_DEMAND_SUPPLY_RATIO
2018-10-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,12000.0,726840.0,,0.73,0.0,,0.0,,0.0
2018-10-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,12000.0,717360.0,,0.73,0.0,,0.0,,0.0
2018-10-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,12000.0,718080.0,,0.72,0.0,,0.0,,0.0
2018-10-25,4000.0,240640.0,19.34,0.2,0.24,120320.0,2000.0,2000.0,120320.0,,,,,2000.0,,,,,,,0.12,2000.0,,0.12,,,,0.76,0.76,260000.0,15641600.0,,15.57,0.76,49.98,0.5,50.02,0.0153
2018-10-26,4000.0,238720.0,19.34,0.2,0.24,119360.0,2000.0,2000.0,119360.0,,,,,,,,,,,,,,,0.12,,,,0.76,0.76,260000.0,15516800.0,,15.67,0.76,50.0,0.5,50.0,0.0153
2018-10-29,4000.0,239640.0,19.42,0.2,0.24,119820.0,2000.0,2000.0,119820.0,,,,,,,,,,,,,,,0.12,,,,0.76,0.76,260000.0,15576600.0,,15.5,0.76,49.94,0.5,50.06,0.0153
2018-10-30,4000.0,240240.0,19.46,0.2,0.24,120120.0,2000.0,2000.0,120120.0,,,,,,,,,,,,,,,0.12,,,,0.76,0.76,260000.0,15615600.0,,15.57,0.76,49.99,0.5,50.01,0.0153
2018-10-31,4000.0,244520.0,19.46,0.2,0.24,122260.0,2000.0,2000.0,122260.0,,,,,,,,,,,,,,,0.12,,,,0.76,0.76,260000.0,15893800.0,,15.63,0.76,49.97,0.5,50.03,0.0153
2018-11-01,4000.0,245680.0,19.58,0.2,0.24,122840.0,2000.0,2000.0,122840.0,,,,,,,,,,,,,,,0.12,,,,0.76,0.76,260000.0,15969200.0,,15.9,0.76,49.96,0.5,50.04,0.0153
2018-11-02,4000.0,246160.0,19.58,0.2,0.25,123080.0,2000.0,2000.0,123080.0,,,,,,,,,,,,,,,0.12,,,,0.76,0.76,260000.0,16000400.0,,15.98,0.76,49.96,0.5,50.04,0.0153
