,SFPI FP Equity_DX_SI_QTY,SFPI FP Equity_DX_SHORT_INTEREST_VALUE,SFPI FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,SFPI FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,SFPI FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,SFPI FP Equity_DX_SI_MV,SFPI FP Equity_DX_DSS,SFPI FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,SFPI FP Equity_DX_SUPPLY_SI_QTY,SFPI FP Equity_DX_BROKER_SI_QTY,SFPI FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,SFPI FP Equity_DX_BROKER_SI_MV_NEW_x,SFPI FP Equity_DX_SUPPLY_SI_QTY_INC_x,SFPI FP Equity_DX_BROKER_SI_MV_INC_x,SFPI FP Equity_DX_BROKER_SI_QTY_ADD,SFPI FP Equity_DX_BROKER_SI_QTY_NEW,SFPI FP Equity_DX_SUPPLY_SI_MV_DEC,SFPI FP Equity_DX_BROKER_SI_QTY_INC,SFPI FP Equity_DX_SUPPLY_SI_QTY_DEC,SFPI FP Equity_DX_BROKER_SI_MV_NEW_y,SFPI FP Equity_DX_BROKER_SI_MV_INC_y,SFPI FP Equity_DX_SUPPLY_SI_QTY_INC_y,SFPI FP Equity_DX_BROKER_SI_MV_ADD,SFPI FP Equity_DX_SUPPLY_SI_QTY_ADD,SFPI FP Equity_DX_BROKER_SI_QTY_DEC,SFPI FP Equity_DX_SUPPLY_SI_MV,SFPI FP Equity_DX_BROKER_SI_MV_DEC,SFPI FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,SFPI FP Equity_DX_UTILIZATION_QUANTITY,SFPI FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,SFPI FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,SFPI FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,SFPI FP Equity_DX_ACTIVE_UTILIZATION_MV,SFPI FP Equity_DX_BROKER_SI_MARKET_SHARE_2,SFPI FP Equity_DX_BROKER_SI_CON_RATIO,SFPI FP Equity_DX_BROKER_SI_MARKET_SHARE_1,SFPI FP Equity_DX_DEMAND_SUPPLY_RATIO
2024-04-19,39200.0,74676.0,0.16,5.61,0.04,0.08,0.0,37338.0,19600.0,19600.0,37338.0,,,,,,,,,,,,,,,0.04,,100.0,5.59,0.0,0.0,0.0,100.0,,1.0,100.0,0.1118
2024-04-22,39200.0,73696.0,0.16,5.02,0.04,0.07,0.0,36848.0,19600.0,19600.0,36848.0,,,,,,,,,,,,,,,0.04,,100.0,5.59,0.0,0.0,0.0,100.0,,1.0,100.0,0.1118
2024-04-23,39200.0,74872.0,0.16,4.69,0.04,0.07,0.0,37436.0,19600.0,19600.0,37436.0,,,,,,,,,,,,,,,0.04,,100.0,5.65,0.0,0.0,0.0,100.0,,1.0,100.0,0.1129
2024-04-24,39200.0,74088.0,0.16,3.79,0.04,0.07,0.0,37044.0,19600.0,19600.0,37044.0,,,,,,,,,,,,,,,0.04,,100.0,5.65,0.0,0.0,0.0,100.0,,1.0,100.0,0.1129
2024-04-25,39200.0,73304.0,0.16,1.15,0.04,0.07,0.0,36652.0,19600.0,19600.0,36652.0,,,,,,,,,,,,,,,0.04,,100.0,5.65,0.0,0.0,0.0,100.0,,1.0,100.0,0.1129
2024-04-26,39200.0,74284.0,0.16,1.15,0.04,0.07,0.0,37142.0,19600.0,19600.0,37142.0,,,,,,,,,,,,,,,0.04,,100.0,5.65,0.0,0.0,0.0,100.0,,1.0,100.0,0.1129
2024-04-29,39200.0,74676.0,0.16,1.15,0.04,0.07,0.0,37338.0,19600.0,19600.0,37338.0,,,,,,,,,,,,,,,0.04,,100.0,5.65,0.0,0.0,0.0,100.0,,1.0,100.0,0.1129
2024-04-30,39200.0,74872.0,0.16,1.05,0.04,0.07,0.0,37436.0,19600.0,19600.0,37436.0,,,,,,,,,,,,,,,0.04,,100.0,5.65,0.0,0.0,0.0,100.0,,1.0,100.0,0.1129
2024-05-01,39200.0,74872.0,0.16,1.06,0.04,0.07,0.0,37436.0,19600.0,19600.0,37436.0,,,,,,,,,,,,,,,0.04,,100.0,5.65,0.0,0.0,0.0,100.0,,1.0,100.0,0.1129
2024-05-02,39200.0,74872.0,0.16,1.06,0.04,0.07,0.0,37436.0,19600.0,19600.0,37436.0,,,,,,,,,,,,,,,0.04,,100.0,5.65,0.0,0.0,0.0,100.0,,1.0,100.0,0.1129
