,UST FP Equity_DX_SI_QTY,UST FP Equity_DX_SHORT_INTEREST_VALUE,UST FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,UST FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,UST FP Equity_DX_SI_MV,UST FP Equity_DX_DSS,UST FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,UST FP Equity_DX_SUPPLY_SI_QTY,UST FP Equity_DX_BROKER_SI_QTY,UST FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,UST FP Equity_DX_BROKER_SI_MV_NEW_x,UST FP Equity_DX_SUPPLY_SI_QTY_NEW_x,UST FP Equity_DX_SUPPLY_SI_QTY_INC_x,UST FP Equity_DX_BROKER_SI_MV_INC_x,UST FP Equity_DX_SUPPLY_SI_MV_NEW,UST FP Equity_DX_BROKER_SI_QTY_ADD,UST FP Equity_DX_BROKER_SI_QTY_NEW,UST FP Equity_DX_SUPPLY_SI_MV_DEC,UST FP Equity_DX_BROKER_SI_QTY_INC,UST FP Equity_DX_SUPPLY_SI_QTY_DEC,UST FP Equity_DX_BROKER_SI_MV_NEW_y,UST FP Equity_DX_SUPPLY_SI_QTY_NEW_y,UST FP Equity_DX_BROKER_SI_MV_INC_y,UST FP Equity_DX_SUPPLY_SI_QTY_INC_y,UST FP Equity_DX_BROKER_SI_MV_ADD,UST FP Equity_DX_SUPPLY_SI_QTY_ADD,UST FP Equity_DX_BROKER_SI_QTY_DEC,UST FP Equity_DX_SUPPLY_SI_MV,UST FP Equity_DX_BROKER_SI_MV_DEC,UST FP Equity_DX_SUPPLY_SI_MV_RMV,UST FP Equity_DX_BROKER_SI_MV_RMV,UST FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,UST FP Equity_DX_UTILIZATION_QUANTITY,UST FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,UST FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,UST FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,UST FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,UST FP Equity_DX_ACTIVE_UTILIZATION_MV,UST FP Equity_DX_BROKER_SI_MARKET_SHARE_2,UST FP Equity_DX_BROKER_SI_CON_RATIO,UST FP Equity_DX_BROKER_SI_MARKET_SHARE_1,UST FP Equity_DX_DEMAND_SUPPLY_RATIO,UST FP Equity_PX_LAST
2001-12-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.2
2001-12-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.92
2001-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.15
2001-12-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.09
2001-12-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.12
2001-12-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.81
2001-12-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.01
2001-12-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.01
2001-12-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.09
2001-12-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.16
2002-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.74
2002-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.3
2002-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.45
2002-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.53
2002-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.55
2002-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.82
2002-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.48
2002-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.49
2002-01-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.17
2002-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.34
2002-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.18
2002-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.24
