,ALECO FP Equity_DX_SI_QTY,ALECO FP Equity_DX_SHORT_INTEREST_VALUE,ALECO FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALECO FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALECO FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALECO FP Equity_DX_SI_MV,ALECO FP Equity_DX_DSS,ALECO FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALECO FP Equity_DX_SUPPLY_SI_QTY,ALECO FP Equity_DX_BROKER_SI_QTY,ALECO FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALECO FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALECO FP Equity_DX_BROKER_SI_MV_INC_x,ALECO FP Equity_DX_BROKER_SI_QTY_ADD,ALECO FP Equity_DX_SUPPLY_SI_MV_DEC,ALECO FP Equity_DX_BROKER_SI_QTY_INC,ALECO FP Equity_DX_SUPPLY_SI_QTY_DEC,ALECO FP Equity_DX_BROKER_SI_MV_INC_y,ALECO FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALECO FP Equity_DX_BROKER_SI_MV_ADD,ALECO FP Equity_DX_SUPPLY_SI_QTY_ADD,ALECO FP Equity_DX_BROKER_SI_QTY_DEC,ALECO FP Equity_DX_SUPPLY_SI_MV,ALECO FP Equity_DX_BROKER_SI_MV_DEC,ALECO FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALECO FP Equity_DX_UTILIZATION_QUANTITY,ALECO FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALECO FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALECO FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALECO FP Equity_DX_ACTIVE_UTILIZATION_MV,ALECO FP Equity_DX_BROKER_SI_CON_RATIO,ALECO FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALECO FP Equity_DX_DEMAND_SUPPLY_RATIO
2022-10-11,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,350.0,1778.0,0.0,0.0,0.0,,0.0
2022-10-12,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,350.0,1750.0,0.0,0.0,0.0,,0.0
2022-10-13,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,350.0,1725.5,0.0,0.0,0.0,,0.0
2022-10-14,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,350.0,1725.5,0.0,0.0,0.0,,0.0
2022-10-17,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,350.0,1736.0,0.0,0.0,0.0,,0.0
2022-10-18,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,350.0,1732.5,0.0,0.0,0.0,,0.0
2022-10-19,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,350.0,1711.5,0.0,0.0,0.0,,0.0
2022-10-20,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,350.0,1722.0,0.0,0.0,0.0,,0.0
2022-10-21,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,350.0,1729.0,0.0,0.0,0.0,,0.0
2022-10-24,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,350.0,1732.5,0.0,0.0,0.0,,0.0
2022-10-25,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,350.0,1725.5,0.0,0.0,0.0,,0.0
2022-10-26,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,350.0,1820.0,0.0,0.0,0.0,,0.0
2022-10-27,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,350.0,1820.0,0.0,0.0,0.0,,0.0
2022-10-28,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,350.0,1750.0,0.0,0.0,0.0,,0.0
2022-10-31,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,350.0,1757.0,0.0,0.0,0.0,,0.0
2022-11-01,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,350.0,1771.0,0.0,0.0,0.0,,0.0
2022-11-02,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,350.0,1732.5,0.0,0.0,0.0,,0.0
2022-11-03,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,350.0,1697.5,0.0,0.0,0.0,,0.0
2022-11-04,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,350.0,1711.5,0.0,0.0,0.0,,0.0
2022-11-07,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,350.0,1645.0,0.0,0.0,0.0,,0.0
2022-11-08,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,350.0,1662.5,0.0,0.0,0.0,,0.0
2022-11-09,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,350.0,1676.5,0.0,0.0,0.0,,0.0
2022-11-10,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,350.0,1711.5,0.0,0.0,0.0,,0.0
2022-11-11,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,350.0,1736.0,0.0,0.0,0.0,,0.0
2022-11-14,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,350.0,1736.0,0.0,0.0,0.0,,0.0
2022-11-15,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,350.0,1729.0,0.0,0.0,0.0,,0.0
2022-11-16,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,350.0,1743.0,0.0,0.0,0.0,,0.0
2022-11-17,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,350.0,1746.5,0.0,0.0,0.0,,0.0
2022-11-18,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,350.0,1694.0,0.0,0.0,0.0,,0.0
2022-11-21,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,350.0,1690.5,0.0,0.0,0.0,,0.0
2022-11-22,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,350.0,1669.5,0.0,0.0,0.0,,0.0
