,NK FP Equity_DX_SI_QTY,NK FP Equity_DX_SHORT_INTEREST_VALUE,NK FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,NK FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,NK FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,NK FP Equity_DX_SI_MV,NK FP Equity_DX_DSS,NK FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,NK FP Equity_DX_SUPPLY_SI_QTY,NK FP Equity_DX_BROKER_SI_QTY,NK FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,NK FP Equity_DX_BROKER_SI_MV_NEW_x,NK FP Equity_DX_SUPPLY_SI_QTY_NEW_x,NK FP Equity_DX_SUPPLY_SI_QTY_INC_x,NK FP Equity_DX_BROKER_SI_MV_INC_x,NK FP Equity_DX_SUPPLY_SI_MV_NEW,NK FP Equity_DX_BROKER_SI_QTY_ADD,NK FP Equity_DX_BROKER_SI_QTY_NEW,NK FP Equity_DX_SUPPLY_SI_MV_DEC,NK FP Equity_DX_BROKER_SI_QTY_INC,NK FP Equity_DX_SUPPLY_SI_QTY_DEC,NK FP Equity_DX_BROKER_SI_MV_NEW_y,NK FP Equity_DX_SUPPLY_SI_QTY_NEW_y,NK FP Equity_DX_BROKER_SI_MV_INC_y,NK FP Equity_DX_SUPPLY_SI_QTY_INC_y,NK FP Equity_DX_BROKER_SI_MV_ADD,NK FP Equity_DX_SUPPLY_SI_QTY_ADD,NK FP Equity_DX_BROKER_SI_QTY_DEC,NK FP Equity_DX_SUPPLY_SI_MV,NK FP Equity_DX_BROKER_SI_MV_DEC,NK FP Equity_DX_SUPPLY_SI_MV_RMV,NK FP Equity_DX_BROKER_SI_MV_RMV,NK FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,NK FP Equity_DX_UTILIZATION_QUANTITY,NK FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,NK FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,NK FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,NK FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,NK FP Equity_DX_ACTIVE_UTILIZATION_MV,NK FP Equity_DX_BROKER_SI_MARKET_SHARE_2,NK FP Equity_DX_BROKER_SI_CON_RATIO,NK FP Equity_DX_BROKER_SI_MARKET_SHARE_1,NK FP Equity_DX_DEMAND_SUPPLY_RATIO
2006-01-04,3081256.0,139661589.12,4.86,33.46,4.86,191.94,1.0,53805403.46,2472849.0,1187071.0,112084818.98,30.67,,18846.0,1.23,,,485065.0,0.51,16932.0,25233.0,30.67,,1.23,18846.0,,94799.0,26131.0,153.51,1.36,,,45.72,45.72,2936188.0,133086209.66,,183.1,45.6,16.83,0.183,33.59,0.5697
2006-01-11,3044399.0,143109847.17,4.8,30.66,4.8,200.05,1.0,53533930.97,2476182.0,1138836.0,116399337.8,,,25765.0,12.93,,,,1.22,161208.0,22433.0,,,12.93,25765.0,,,209443.0,162.99,12.45,,,45.81,45.81,2929436.0,137705714.09,,192.69,45.82,17.1,0.187,34.52,0.5632
2006-01-18,3136640.0,144752798.57,4.94,30.99,4.94,203.43,1.0,64842298.18,2417469.0,1405064.0,111563776.27,,15019.0,30589.0,15.6,0.97,20000.0,,11.9,250844.0,177606.0,,15019.0,15.6,30589.0,1.38,73285.0,4616.0,156.79,0.5,,,44.54,44.54,3010426.0,138928148.72,,195.06,44.56,16.83,0.1573,28.36,0.5779
2006-01-25,2918051.0,135082701.18,4.6,31.03,4.6,189.01,1.0,54887428.9,2397383.0,1185676.0,110979887.39,,409382.0,112.0,1.67,26.5,,,0.57,29335.0,7154.0,,409382.0,1.67,112.0,,1800.0,248723.0,155.15,15.91,27.52,,44.16,44.16,3031510.0,140334956.26,424226.0,196.3,44.14,18.47,0.1706,30.57,0.5375
2006-02-01,2886811.0,144686852.4,4.55,29.71,4.55,198.7,1.0,55875686.3,2435179.0,1114839.0,122051074.54,,,50706.0,,,12.0,,0.0,,12909.0,,,,50706.0,0.0,,70849.0,166.47,2.46,,,44.82,44.82,2998199.0,150269614.53,,206.31,44.66,19.11,0.1717,30.69,0.5313
2006-02-08,3115381.0,155585516.99,4.91,28.25,4.91,240.86,1.0,71107269.88,2337263.0,1423823.0,116725457.4,,,2804.0,14.79,,284934.0,,0.0,213885.0,101287.0,,,14.79,2804.0,18.8,567.0,189836.0,186.88,10.65,,,44.5,44.5,2914764.0,145566485.72,,193.8,49.09,21.01,0.1623,25.68,0.5932
2006-02-15,3148898.0,160075642.3,4.96,26.89,4.96,248.88,1.0,69319319.33,2443614.0,1363602.0,124222213.8,39.54,33159.0,71505.0,11.64,2.59,,555637.0,0.45,143284.0,21803.0,39.54,33159.0,11.64,71505.0,,28978.0,68643.0,198.45,4.57,0.42,48.29,45.77,45.77,2895478.0,147192922.93,5487.0,196.49,50.25,16.61,0.1492,25.23,0.5898
2006-02-22,3051395.0,157738918.72,4.81,29.86,4.81,242.6,1.0,69296370.32,2366730.0,1340510.0,122345822.51,,,3488.0,0.68,,,,3.33,8600.0,47213.0,,,0.68,3488.0,,,31692.0,192.76,2.14,2.59,,45.05,45.05,2887329.0,149257685.23,33159.0,196.43,49.53,17.34,0.1506,25.86,0.5808
2006-03-01,3108174.0,157338260.79,4.9,31.08,4.9,248.12,1.0,69657767.08,2394149.0,1376070.0,121193742.61,,49390.0,16738.0,3.24,3.89,,,1.07,38460.0,28821.0,,49390.0,3.24,16738.0,,112.0,2900.0,196.91,0.2,0.61,,44.37,44.37,3001204.0,151923353.6,10000.0,204.56,49.05,16.53,0.1522,27.02,0.5761
2006-03-08,3043834.0,149181205.79,4.8,30.68,4.8,240.53,1.0,67167403.92,2333225.0,1370457.0,114353581.33,,,131799.0,1.42,,,,22.16,18639.0,292787.0,,,1.42,131799.0,,100064.0,24251.0,190.28,2.04,,,42.88,42.88,3108432.0,152347215.34,,205.61,48.06,17.26,0.141,22.73,0.5594
2006-03-15,3297373.0,162787009.87,5.2,32.38,5.2,258.07,2.0,80128555.49,2703297.0,1623064.0,133458251.59,,,372236.0,22.94,,,,0.45,307179.0,6291.0,,,22.94,372236.0,,4126.0,54572.0,213.81,4.0,,,49.86,49.86,2718505.0,134209050.74,,177.78,54.6,15.7,0.1373,20.9,0.6082
2006-03-22,3302604.0,164463042.37,5.21,36.76,5.21,260.05,2.0,79411411.19,2735763.0,1594671.0,136235499.68,,33641.0,3266.0,1.82,2.59,,,0.63,25000.0,10696.0,,33641.0,1.82,3266.0,,6255.0,53393.0,216.97,3.35,,,50.88,50.88,2641002.0,131516592.31,,172.97,55.64,15.7,0.1357,20.83,0.6142
2006-03-29,3260801.0,162031377.2,5.14,38.36,5.14,256.63,2.0,78920307.7,2699153.0,1588232.0,134122713.37,,,2055.0,0.0,,,,0.41,16.0,5023.0,,,0.0,2055.0,,,6456.0,214.03,0.5,2.59,,50.83,50.83,2611028.0,129743723.32,33641.0,170.18,55.71,15.81,0.1364,21.06,0.6141
2006-04-05,3399399.0,168067123.64,5.36,37.93,5.36,264.19,2.0,79178356.6,2906303.0,1601496.0,143688335.98,,,62205.0,5.29,,40562.0,,1.47,86949.0,19383.0,,,5.29,62205.0,2.8,164328.0,260.0,226.64,0.06,,8.11,54.84,54.84,2393296.0,118325143.57,,153.35,59.64,17.32,0.1401,21.08,0.6414
2006-04-12,3750395.0,180322060.71,5.91,42.49,5.91,283.83,2.0,94129741.3,2906459.0,1957740.0,139744927.2,4.14,,50147.0,21.53,,,57941.0,0.48,343829.0,3895.0,4.14,,21.53,50147.0,,22294.0,45525.0,223.12,3.62,5.19,,63.0,63.0,1707082.0,82077899.54,68390.0,98.82,69.3,19.14,0.1422,22.52,0.8129
2006-04-19,3704724.0,180776848.58,5.84,43.15,5.84,281.9,2.0,98131519.83,2801657.0,2011044.0,136710514.27,,34924.0,222.0,9.26,2.59,,,10.21,91103.0,141752.0,,34924.0,9.26,222.0,,1803.0,37799.0,212.94,2.77,,,60.07,60.07,1862375.0,90877021.71,,109.21,66.1,15.77,0.1403,24.57,0.7943
2006-04-26,3686179.0,182641210.18,5.8,45.68,5.8,281.49,2.0,99208949.76,2749856.0,2002297.0,136248681.27,,,13676.0,3.9,,,,2.62,50377.0,35043.0,,,3.9,13676.0,,4490.0,59123.0,212.14,5.17,2.59,,60.95,60.95,1761620.0,87283989.38,34924.0,105.24,66.84,16.04,0.1349,23.36,0.8171
2006-05-03,4129679.0,205206504.71,6.5,45.69,6.5,318.07,2.0,118927754.56,2839080.0,2393362.0,141075779.35,,2996.0,91771.0,29.66,0.21,,,0.29,392896.0,17052.0,,2996.0,29.66,91771.0,,11926.0,1832.0,223.26,0.1,0.03,,84.98,61.15,501614.0,24925534.32,416.0,0.0,144.79,14.54,0.1223,20.59,0.8895
2006-05-10,5280078.0,264448407.45,8.31,54.27,8.31,401.04,2.0,159453623.26,3303411.0,3183712.0,165448650.21,,,417410.0,55.65,,21867.0,,3.67,768483.0,48521.0,,,55.65,417410.0,1.61,95442.0,,256.57,,,,84.87,70.66,589015.0,29500336.68,,0.0,132.94,11.29,0.1143,21.86,1.1293
2006-05-17,5978852.0,278263792.69,9.41,47.59,9.41,430.36,2.0,174399575.23,3663176.0,3747197.0,170489125.18,,127328.0,163620.0,26.76,8.24,59936.0,,12.58,574817.0,146309.0,,127328.0,26.76,163620.0,4.26,215125.0,71267.0,272.22,5.21,,,90.92,74.58,366030.0,17035527.23,,0.0,139.57,10.46,0.1154,23.58,1.2172
