,CNDF FP Equity_DX_SI_QTY,CNDF FP Equity_DX_SHORT_INTEREST_VALUE,CNDF FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,CNDF FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,CNDF FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,CNDF FP Equity_DX_SI_MV,CNDF FP Equity_DX_DSS,CNDF FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,CNDF FP Equity_DX_SUPPLY_SI_QTY,CNDF FP Equity_DX_BROKER_SI_QTY,CNDF FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,CNDF FP Equity_DX_BROKER_SI_MV_NEW_x,CNDF FP Equity_DX_SUPPLY_SI_QTY_NEW_x,CNDF FP Equity_DX_SUPPLY_SI_QTY_INC_x,CNDF FP Equity_DX_BROKER_SI_MV_INC_x,CNDF FP Equity_DX_SUPPLY_SI_MV_NEW,CNDF FP Equity_DX_BROKER_SI_QTY_ADD,CNDF FP Equity_DX_BROKER_SI_QTY_NEW,CNDF FP Equity_DX_SUPPLY_SI_MV_DEC,CNDF FP Equity_DX_BROKER_SI_QTY_INC,CNDF FP Equity_DX_SUPPLY_SI_QTY_DEC,CNDF FP Equity_DX_BROKER_SI_MV_NEW_y,CNDF FP Equity_DX_SUPPLY_SI_QTY_NEW_y,CNDF FP Equity_DX_BROKER_SI_MV_INC_y,CNDF FP Equity_DX_SUPPLY_SI_QTY_INC_y,CNDF FP Equity_DX_BROKER_SI_MV_ADD,CNDF FP Equity_DX_SUPPLY_SI_QTY_ADD,CNDF FP Equity_DX_BROKER_SI_QTY_DEC,CNDF FP Equity_DX_SUPPLY_SI_MV,CNDF FP Equity_DX_BROKER_SI_MV_DEC,CNDF FP Equity_DX_SUPPLY_SI_MV_RMV,CNDF FP Equity_DX_BROKER_SI_MV_RMV,CNDF FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,CNDF FP Equity_DX_UTILIZATION_QUANTITY,CNDF FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,CNDF FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,CNDF FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,CNDF FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,CNDF FP Equity_DX_ACTIVE_UTILIZATION_MV,CNDF FP Equity_DX_BROKER_SI_MARKET_SHARE_2,CNDF FP Equity_DX_BROKER_SI_CON_RATIO,CNDF FP Equity_DX_BROKER_SI_MARKET_SHARE_1,CNDF FP Equity_DX_DEMAND_SUPPLY_RATIO
2006-01-04,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,11062.0,162323.08,,0.3,0.0,,0.0,,0.0
2006-01-11,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.07,0.0,,0.0,,0.0
2006-02-01,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.07,0.0,,0.0,,0.0
2006-02-08,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.07,0.0,,0.0,,0.0
2006-02-15,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,3041.0,48355.58,,0.09,0.0,,0.0,,0.0
2006-02-22,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,3051.0,48514.59,,0.09,0.0,,0.0,,0.0
2006-03-01,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,3042.0,48209.16,,0.09,0.0,,0.0,,0.0
2006-03-08,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,3045.0,48256.71,,0.09,0.0,,0.0,,0.0
2006-03-15,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,4055.0,63830.29,,0.12,0.0,,0.0,,0.0
2006-03-22,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,3043.0,47737.89,,0.09,0.0,,0.0,,0.0
2006-03-29,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,3050.0,48156.92,,0.09,0.0,,0.0,,0.0
2006-04-05,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,3047.0,47963.23,,0.09,0.0,,0.0,,0.0
2006-04-12,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,3043.0,49361.63,,0.09,0.0,,0.0,,0.0
2006-04-19,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,3052.0,51299.01,,0.1,0.0,,0.0,,0.0
2006-04-26,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,3048.0,52474.93,,0.1,0.0,,0.0,,0.0
2006-05-03,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,3049.0,56736.97,,0.1,0.0,,0.0,,0.0
2006-05-10,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,3042.0,56523.35,,0.1,0.0,,0.0,,0.0
2006-05-17,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,3036.0,56911.08,,0.1,0.0,,0.0,,0.0
2006-05-24,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,3118.0,52825.56,,0.1,0.0,,0.0,,0.0
2006-05-31,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,3112.0,52706.85,,0.1,0.0,,0.0,,0.0
2006-06-07,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,3121.0,52910.6,,0.1,0.0,,0.0,,0.0
2006-06-14,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,3115.0,52928.39,,0.1,0.0,,0.0,,0.0
2006-06-21,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,3122.0,51558.59,,0.09,0.0,,0.0,,0.0
2006-06-28,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,3125.0,50614.68,,0.09,0.0,,0.0,,0.0
2006-07-03,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,3201.0,53161.5,,0.09,0.0,,0.0,,0.0
2006-07-04,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,3143.0,51681.44,,0.09,0.0,,0.0,,0.0
