,SRP FP Equity_DX_SI_QTY,SRP FP Equity_DX_SHORT_INTEREST_VALUE,SRP FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,SRP FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,SRP FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,SRP FP Equity_DX_SI_MV,SRP FP Equity_DX_DSS,SRP FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,SRP FP Equity_DX_SUPPLY_SI_QTY,SRP FP Equity_DX_BROKER_SI_QTY,SRP FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,SRP FP Equity_DX_BROKER_SI_MV_NEW_x,SRP FP Equity_DX_SUPPLY_SI_QTY_NEW_x,SRP FP Equity_DX_SUPPLY_SI_QTY_INC_x,SRP FP Equity_DX_BROKER_SI_MV_INC_x,SRP FP Equity_DX_SUPPLY_SI_MV_NEW,SRP FP Equity_DX_BROKER_SI_QTY_ADD,SRP FP Equity_DX_BROKER_SI_QTY_NEW,SRP FP Equity_DX_SUPPLY_SI_MV_DEC,SRP FP Equity_DX_BROKER_SI_QTY_INC,SRP FP Equity_DX_SUPPLY_SI_QTY_DEC,SRP FP Equity_DX_BROKER_SI_MV_NEW_y,SRP FP Equity_DX_SUPPLY_SI_QTY_NEW_y,SRP FP Equity_DX_BROKER_SI_MV_INC_y,SRP FP Equity_DX_SUPPLY_SI_QTY_INC_y,SRP FP Equity_DX_BROKER_SI_MV_ADD,SRP FP Equity_DX_SUPPLY_SI_QTY_ADD,SRP FP Equity_DX_BROKER_SI_QTY_DEC,SRP FP Equity_DX_SUPPLY_SI_MV,SRP FP Equity_DX_BROKER_SI_MV_DEC,SRP FP Equity_DX_SUPPLY_SI_MV_RMV,SRP FP Equity_DX_BROKER_SI_MV_RMV,SRP FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,SRP FP Equity_DX_UTILIZATION_QUANTITY,SRP FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,SRP FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,SRP FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,SRP FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,SRP FP Equity_DX_ACTIVE_UTILIZATION_MV,SRP FP Equity_DX_BROKER_SI_MARKET_SHARE_2,SRP FP Equity_DX_BROKER_SI_CON_RATIO,SRP FP Equity_DX_BROKER_SI_MARKET_SHARE_1,SRP FP Equity_DX_DEMAND_SUPPLY_RATIO
2015-11-02,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,117093.0,2049127.5,,2.06,0.0,0.0,0.0,0.0,0.0
2015-11-03,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,144093.0,2636901.9,,2.52,0.0,,0.0,,0.0
2015-11-04,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,183852.0,3493188.0,,3.36,0.0,,0.0,,0.0
2015-11-05,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,273548.0,5224766.8,,5.2,0.0,,0.0,,0.0
2015-11-06,100000.0,1930000.0,,0.68,0.3,1.92,0.0,1930000.0,0.0,100000.0,0.0,,,,,,100000.0,,,,,,,,,1.92,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.3422
2015-11-09,100000.0,1950000.0,,0.67,0.3,1.93,0.0,1950000.0,0.0,100000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.3656
2015-11-10,105000.0,2047500.0,,0.7,0.32,2.05,0.0,2047500.0,0.0,105000.0,0.0,,,,,,5000.0,,,,,,,,,0.1,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,4.75,0.9095,95.25,0.3838
2015-11-11,105000.0,2047500.0,0.74,0.69,0.32,2.04,0.0,2047500.0,0.0,105000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,4.78,0.909,95.22,0.3838
2015-11-12,105000.0,2031750.0,0.74,0.69,0.32,2.03,0.0,2031750.0,0.0,105000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,4.76,0.9094,95.24,0.3838
2015-11-13,105000.0,1979250.0,0.74,0.69,0.32,2.04,0.0,1979250.0,0.0,105000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,4.63,0.9117,95.37,0.3838
