,ALINV FP Equity_DX_SI_QTY,ALINV FP Equity_DX_SHORT_INTEREST_VALUE,ALINV FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALINV FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALINV FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALINV FP Equity_DX_SI_MV,ALINV FP Equity_DX_DSS,ALINV FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALINV FP Equity_DX_SUPPLY_SI_QTY,ALINV FP Equity_DX_BROKER_SI_QTY,ALINV FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALINV FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALINV FP Equity_DX_BROKER_SI_MV_INC_x,ALINV FP Equity_DX_BROKER_SI_QTY_ADD,ALINV FP Equity_DX_SUPPLY_SI_MV_DEC,ALINV FP Equity_DX_BROKER_SI_QTY_INC,ALINV FP Equity_DX_SUPPLY_SI_QTY_DEC,ALINV FP Equity_DX_BROKER_SI_MV_INC_y,ALINV FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALINV FP Equity_DX_BROKER_SI_MV_ADD,ALINV FP Equity_DX_SUPPLY_SI_QTY_ADD,ALINV FP Equity_DX_BROKER_SI_QTY_DEC,ALINV FP Equity_DX_SUPPLY_SI_MV,ALINV FP Equity_DX_BROKER_SI_MV_DEC,ALINV FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALINV FP Equity_DX_UTILIZATION_QUANTITY,ALINV FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALINV FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALINV FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALINV FP Equity_DX_ACTIVE_UTILIZATION_MV,ALINV FP Equity_DX_BROKER_SI_CON_RATIO,ALINV FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALINV FP Equity_DX_DEMAND_SUPPLY_RATIO,ALINV FP Equity_PX_LAST
2016-07-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0
2016-07-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0
2016-07-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0
2016-07-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4
2016-07-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4
2016-07-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4
2016-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.49
2016-08-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.49
2016-08-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5
2016-08-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.49
2016-08-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5
2016-08-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.65
2016-08-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.79
2016-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.99
2016-08-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.11
2016-08-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.11
2016-08-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.18
2016-08-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.2
2016-08-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.19
2016-08-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.19
2016-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.07
2016-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.95
2016-09-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.82
2016-09-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.72
2016-09-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.54
2016-09-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0
2016-09-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.25
2016-09-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.25
2016-09-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.17
2016-09-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.17
2016-09-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.05
2016-09-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.55
2016-09-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4
2016-09-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.17
2016-09-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.08
2016-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.28
2016-10-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.01
2016-10-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.99
2016-10-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.65
2016-11-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.45
2016-11-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.44
2016-11-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.41
2016-11-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.41
2016-12-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.01
2017-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5
2017-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5
2017-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.49
2017-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.48
2017-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.03
2017-02-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.03
2017-02-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.03
2017-02-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.03
2017-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.34
2017-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.39
2017-03-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.42
2017-03-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.02
2017-03-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7
2017-03-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.88
2017-03-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0
2017-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.95
2017-03-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.94
2017-03-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.94
2017-03-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.94
2017-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.95
2017-04-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.95
2017-04-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.95
2017-04-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1
2017-04-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.09
2017-04-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.09
2017-04-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.09
2017-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.09
2017-04-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.09
2017-04-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.09
2017-04-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.04
2017-04-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1
2017-04-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.09
2017-04-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.09
2017-04-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.09
2017-04-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.09
2017-04-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.08
2017-05-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.08
2017-05-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.08
2017-05-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.08
2017-05-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.08
2017-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.05
2017-05-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.05
2017-05-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.05
2017-05-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.05
2017-05-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.05
2017-05-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.05
2017-05-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.05
2017-05-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.05
2017-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.05
2017-05-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.05
2017-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5
2017-06-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5
2017-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5
2017-06-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.95
2017-06-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.95
2017-06-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.95
2017-06-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.95
2017-06-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.95
2017-06-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.95
2017-06-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.95
2017-06-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.95
2017-06-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.95
2017-06-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.95
2017-06-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.95
2017-06-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.95
2017-06-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.95
2017-06-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.95
2017-06-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.43
2017-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.43
2017-07-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.43
2017-07-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.43
2017-07-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.43
2017-07-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.43
2017-07-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.43
2017-07-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.43
2017-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.99
2017-07-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0
2017-07-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.99
2017-07-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.99
2017-07-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.99
2017-07-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.99
2017-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.99
2017-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.99
2017-07-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.99
2017-07-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.99
2017-07-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.99
2017-07-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.99
2017-07-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.99
2017-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.99
2017-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1
2017-08-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.95
2017-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.95
2017-08-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1
2017-08-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.11
2017-08-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2
2017-08-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9
2017-08-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.89
2017-08-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.89
2017-08-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.89
2017-08-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.89
2017-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8
2017-08-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.71
2017-08-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7
2017-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6
2017-08-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5
2017-08-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5
2017-08-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5
2017-08-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5
2017-08-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.51
2017-08-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.51
2017-08-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.51
2017-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.51
2017-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.51
2017-09-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4
2017-09-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.71
2017-09-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.14
2017-09-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.13
2017-09-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.12
2017-09-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1
2017-09-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.09
2017-09-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.09
2017-09-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.09
2017-09-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.09
2017-09-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.09
2017-09-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.09
2017-09-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.09
