,ALINV FP Equity_DX_SI_QTY,ALINV FP Equity_DX_SHORT_INTEREST_VALUE,ALINV FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALINV FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALINV FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALINV FP Equity_DX_SI_MV,ALINV FP Equity_DX_DSS,ALINV FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALINV FP Equity_DX_SUPPLY_SI_QTY,ALINV FP Equity_DX_BROKER_SI_QTY,ALINV FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALINV FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALINV FP Equity_DX_BROKER_SI_MV_INC_x,ALINV FP Equity_DX_BROKER_SI_QTY_ADD,ALINV FP Equity_DX_SUPPLY_SI_MV_DEC,ALINV FP Equity_DX_BROKER_SI_QTY_INC,ALINV FP Equity_DX_SUPPLY_SI_QTY_DEC,ALINV FP Equity_DX_BROKER_SI_MV_INC_y,ALINV FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALINV FP Equity_DX_BROKER_SI_MV_ADD,ALINV FP Equity_DX_SUPPLY_SI_QTY_ADD,ALINV FP Equity_DX_BROKER_SI_QTY_DEC,ALINV FP Equity_DX_SUPPLY_SI_MV,ALINV FP Equity_DX_BROKER_SI_MV_DEC,ALINV FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALINV FP Equity_DX_UTILIZATION_QUANTITY,ALINV FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALINV FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALINV FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALINV FP Equity_DX_ACTIVE_UTILIZATION_MV,ALINV FP Equity_DX_BROKER_SI_CON_RATIO,ALINV FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALINV FP Equity_DX_DEMAND_SUPPLY_RATIO,ALINV FP Equity_PX_LAST
2017-09-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.09
2017-09-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.09
2017-09-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.09
2017-09-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.09
2017-09-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.09
2017-09-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.09
2017-10-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.09
2017-10-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.09
2017-10-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.09
2017-10-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.09
2017-10-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.09
2017-10-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.09
2017-10-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.09
2017-10-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.09
2017-10-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.09
2017-10-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.09
2017-10-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.09
2017-10-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.09
2017-10-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.55
2017-10-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8
2017-10-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.69
2017-10-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.69
2017-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.69
2017-10-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.69
2017-10-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.69
2017-10-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.67
2017-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.65
2017-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.65
2017-11-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.65
2017-11-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.65
2017-11-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.64
2017-11-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.64
2017-11-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.64
2017-11-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.64
2017-11-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.65
2017-11-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3
2017-11-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3
2017-11-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2
2017-11-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.19
2017-11-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.19
2017-11-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.19
2017-11-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.19
2017-11-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.19
2017-11-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.19
2017-11-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.19
2017-11-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.19
2017-11-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.19
2017-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.19
2017-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.19
2017-12-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.19
2017-12-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.19
2017-12-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.19
2017-12-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.21
2017-12-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.21
2017-12-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.14
2017-12-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.09
2017-12-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0
2017-12-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6
2017-12-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.81
2017-12-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.81
2017-12-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.81
2017-12-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.81
2017-12-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.81
2017-12-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.81
2017-12-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.91
2017-12-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.91
2018-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.92
2018-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.92
2018-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.88
2018-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8
2018-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.92
2018-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.92
2018-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.92
2018-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.92
2018-02-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5
2018-03-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0
2018-03-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0
2018-03-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.25
2018-03-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.6
2018-03-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.6
2018-04-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.6
2018-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0
2018-04-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.9
2018-04-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.9
2018-04-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.9
2018-04-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.95
2018-04-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.05
2018-04-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.05
2018-04-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.05
2018-04-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1
2018-04-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.15
2018-04-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.95
2018-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0
2018-05-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.05
2018-05-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1
2018-05-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.15
2018-05-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.25
2018-05-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0
2018-05-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0
2018-05-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.9
2018-05-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.95
2018-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.95
