,LVC FP Equity_DX_SI_QTY,LVC FP Equity_DX_SHORT_INTEREST_VALUE,LVC FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,LVC FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,LVC FP Equity_DX_SI_MV,LVC FP Equity_DX_DSS,LVC FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,LVC FP Equity_DX_SUPPLY_SI_QTY,LVC FP Equity_DX_BROKER_SI_QTY,LVC FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,LVC FP Equity_DX_BROKER_SI_MV_NEW_x,LVC FP Equity_DX_SUPPLY_SI_QTY_INC_x,LVC FP Equity_DX_BROKER_SI_MV_INC_x,LVC FP Equity_DX_BROKER_SI_QTY_ADD,LVC FP Equity_DX_BROKER_SI_QTY_NEW,LVC FP Equity_DX_SUPPLY_SI_MV_DEC,LVC FP Equity_DX_BROKER_SI_QTY_INC,LVC FP Equity_DX_SUPPLY_SI_QTY_DEC,LVC FP Equity_DX_BROKER_SI_MV_NEW_y,LVC FP Equity_DX_BROKER_SI_MV_INC_y,LVC FP Equity_DX_SUPPLY_SI_QTY_INC_y,LVC FP Equity_DX_BROKER_SI_MV_ADD,LVC FP Equity_DX_SUPPLY_SI_QTY_ADD,LVC FP Equity_DX_BROKER_SI_QTY_DEC,LVC FP Equity_DX_SUPPLY_SI_MV,LVC FP Equity_DX_BROKER_SI_MV_DEC,LVC FP Equity_DX_BROKER_SI_MV_RMV,LVC FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,LVC FP Equity_DX_UTILIZATION_QUANTITY,LVC FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,LVC FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,LVC FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,LVC FP Equity_DX_ACTIVE_UTILIZATION_MV,LVC FP Equity_DX_BROKER_SI_MARKET_SHARE_2,LVC FP Equity_DX_BROKER_SI_CON_RATIO,LVC FP Equity_DX_BROKER_SI_MARKET_SHARE_1,LVC FP Equity_DX_DEMAND_SUPPLY_RATIO
2008-09-15,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,20000.0,225061.1,0.26,0.0,,0.0,,0.0
2008-09-16,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,20000.0,215698.0,0.25,0.0,,0.0,,0.0
2008-09-17,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,20000.0,206855.08,0.24,0.0,,0.0,,0.0
2008-09-18,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,22300.0,226390.14,0.26,0.0,,0.0,,0.0
2008-09-19,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,24760.0,298588.8,0.29,0.0,,0.0,,0.0
2008-09-22,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,24760.0,284206.74,0.32,0.0,,0.0,,0.0
2008-09-23,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,20000.0,220032.77,0.25,0.0,,0.0,,0.0
2008-09-24,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,20000.0,217431.91,0.25,0.0,,0.0,,0.0
2008-09-25,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,20000.0,229742.64,0.27,0.0,,0.0,,0.0
2008-09-26,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,20000.0,221940.06,0.26,0.0,,0.0,,0.0
2008-09-29,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,50000.0,505433.82,0.58,0.0,,0.0,,0.0
2008-09-30,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,50000.0,518438.12,0.6,0.0,,0.0,,0.0
