,MLINA FP Equity_PX_LAST
2025-08-15,3.82
2025-08-18,3.82
2025-08-19,3.82
2025-08-20,3.82
2025-08-21,3.82
2025-08-22,3.82
2025-08-25,3.82
2025-08-26,3.82
2025-08-27,3.82
2025-08-28,3.82
2025-08-29,3.82
