,EEMK FP Equity_DX_SI_QTY,EEMK FP Equity_DX_SHORT_INTEREST_VALUE,EEMK FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,EEMK FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,EEMK FP Equity_DX_SI_MV,EEMK FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,EEMK FP Equity_DX_SUPPLY_SI_QTY,EEMK FP Equity_DX_BROKER_SI_QTY,EEMK FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,EEMK FP Equity_DX_BROKER_SI_QTY_ADD,EEMK FP Equity_DX_SUPPLY_SI_MV_DEC,EEMK FP Equity_DX_SUPPLY_SI_QTY_DEC,EEMK FP Equity_DX_BROKER_SI_MV_ADD,EEMK FP Equity_DX_SUPPLY_SI_QTY_ADD,EEMK FP Equity_DX_BROKER_SI_QTY_DEC,EEMK FP Equity_DX_SUPPLY_SI_MV,EEMK FP Equity_DX_BROKER_SI_MV_DEC,EEMK FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,EEMK FP Equity_DX_UTILIZATION_QUANTITY,EEMK FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,EEMK FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,EEMK FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,EEMK FP Equity_DX_ACTIVE_UTILIZATION_MV,EEMK FP Equity_DX_BROKER_SI_MARKET_SHARE_2,EEMK FP Equity_DX_BROKER_SI_CON_RATIO,EEMK FP Equity_DX_BROKER_SI_MARKET_SHARE_1,EEMK FP Equity_DX_DEMAND_SUPPLY_RATIO
2018-10-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,1960.0,16480.46,0.0,0.0,,0.0,,0.0
2018-10-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,1960.0,16164.12,0.0,0.0,,0.0,,0.0
2018-10-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,1960.0,16307.0,0.0,0.0,,0.0,,0.0
2018-10-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,1960.0,16464.98,0.0,0.0,,0.0,,0.0
2018-10-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,1960.0,16099.64,0.0,0.0,,0.0,,0.0
2018-10-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,1960.0,16084.94,0.0,0.0,,0.0,,0.0
2018-10-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,1960.0,16225.27,0.0,0.0,,0.0,,0.0
2018-10-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,1960.0,15943.62,0.0,0.0,,0.0,,0.0
2018-10-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,1960.0,15871.1,0.0,0.0,,0.0,,0.0
2018-10-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,1960.0,15923.24,0.0,0.0,,0.0,,0.0
2018-10-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,1960.0,16269.76,0.0,0.0,,0.0,,0.0
2018-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,1960.0,16653.92,0.0,0.0,,0.0,,0.0
