,ISRA FP Equity_PX_LAST
2024-12-03,10.254
2024-12-04,10.294
2024-12-05,10.326
2024-12-06,10.36
2024-12-09,10.358
2024-12-10,10.33
2024-12-11,10.344
2024-12-12,10.342
2024-12-13,10.28
2024-12-16,10.296
2024-12-17,10.272
2024-12-18,10.27
2024-12-19,10.104
2024-12-20,10.02
2024-12-23,10.01
2024-12-24,10.078
2024-12-27,10.092
2024-12-30,10.042
2024-12-31,10.078
2025-01-02,10.158
2025-01-03,10.082
2025-01-06,10.194
2025-01-07,10.218
2025-01-08,10.196
2025-01-09,10.244
2025-01-10,10.162
2025-01-13,10.106
2025-01-14,10.084
2025-01-15,10.228
2025-01-16,10.284
2025-01-17,10.38
2025-01-20,10.378
2025-01-21,10.414
2025-01-22,10.452
2025-01-23,10.494
2025-01-24,10.504
2025-01-27,10.534
2025-01-28,10.55
2025-01-29,10.606
2025-01-30,10.688
2025-01-31,10.69
2025-02-03,10.598
2025-02-04,10.616
2025-02-05,10.656
2025-02-06,10.822
2025-02-07,10.742
2025-02-10,10.82
2025-02-11,10.838
2025-02-12,10.866
2025-02-13,10.962
2025-02-14,10.922
2025-02-17,10.988
2025-02-18,11.032
2025-02-19,10.92
2025-02-20,10.918
2025-02-21,10.98
2025-02-24,10.974
2025-02-25,10.994
2025-02-26,11.08
2025-02-27,11.024
2025-02-28,11.008
2025-03-03,11.132
2025-03-04,10.912
2025-03-05,11.004
2025-03-06,10.996
2025-03-07,10.94
2025-03-10,10.888
2025-03-11,10.552
2025-03-12,10.724
2025-03-13,10.624
2025-03-14,10.798
2025-03-17,10.808
2025-03-18,10.856
2025-03-19,10.9
2025-03-20,10.86
2025-03-21,10.71
2025-03-24,10.792
2025-03-25,10.844
2025-03-26,10.752
2025-03-27,10.81
2025-03-28,10.676
2025-03-31,10.514
2025-04-01,10.694
2025-04-02,10.648
2025-04-03,10.33
2025-04-04,9.868
2025-04-07,9.445
2025-04-08,9.669
2025-04-09,9.357
2025-04-10,9.775
2025-04-11,9.708
2025-04-14,9.944
2025-04-15,10.168
2025-04-16,10.07
2025-04-17,10.054
2025-04-22,10.1
2025-04-23,10.352
2025-04-24,10.27
2025-04-25,10.322
2025-04-28,10.448
2025-04-29,10.478
2025-04-30,10.52
2025-05-02,10.724
2025-05-05,10.766
2025-05-06,10.808
2025-05-07,10.684
2025-05-08,10.716
2025-05-09,10.686
2025-05-12,10.97
2025-05-13,10.892
2025-05-14,10.87
2025-05-15,10.95
2025-05-16,11.084
2025-05-19,11.01
2025-05-20,11.12
2025-05-21,11.22
2025-05-22,11.068
2025-05-23,10.928
2025-05-26,11.098
2025-05-27,11.2
2025-05-28,11.09
2025-05-29,11.018
2025-05-30,11.148
2025-06-02,10.964
2025-06-03,11.106
2025-06-04,11.174
2025-06-05,11.106
2025-06-06,11.124
2025-06-09,11.118
2025-06-10,11.118
2025-06-11,11.098
2025-06-12,11.032
2025-06-13,10.914
2025-06-16,10.968
2025-06-17,10.91
2025-06-18,10.834
2025-06-19,10.74
2025-06-20,10.764
2025-06-23,10.776
2025-06-24,10.754
2025-06-25,10.726
2025-06-26,10.782
2025-06-27,10.836
2025-06-30,10.818
2025-07-01,10.804
2025-07-02,10.806
2025-07-03,10.842
2025-07-04,10.8
2025-07-07,10.916
2025-07-08,10.88
2025-07-09,10.944
2025-07-10,11.1
2025-07-11,10.89
2025-07-14,10.886
2025-07-15,10.928
2025-07-16,10.85
2025-07-17,10.902
2025-07-18,10.808
2025-07-21,10.862
2025-07-22,10.828
2025-07-23,10.914
2025-07-24,10.986
2025-07-25,10.96
2025-07-28,10.912
2025-07-29,10.816
2025-07-30,10.92
2025-07-31,10.802
2025-08-01,10.544
2025-08-04,10.67
2025-08-05,10.688
2025-08-06,10.658
2025-08-07,10.792
2025-08-08,10.898
2025-08-11,10.812
2025-08-12,10.836
2025-08-13,10.896
2025-08-14,10.956
2025-08-15,10.968
2025-08-18,10.96
2025-08-19,11.056
2025-08-20,11.082
2025-08-21,11.07
2025-08-22,11.208
2025-08-25,10.968
2025-08-26,10.982
2025-08-27,10.972
2025-08-28,10.958
2025-08-29,10.9
