,ALMUN FP Equity_DX_SI_QTY,ALMUN FP Equity_DX_SHORT_INTEREST_VALUE,ALMUN FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALMUN FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALMUN FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALMUN FP Equity_DX_SI_MV,ALMUN FP Equity_DX_DSS,ALMUN FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALMUN FP Equity_DX_SUPPLY_SI_QTY,ALMUN FP Equity_DX_BROKER_SI_QTY,ALMUN FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALMUN FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALMUN FP Equity_DX_BROKER_SI_MV_INC_x,ALMUN FP Equity_DX_BROKER_SI_QTY_ADD,ALMUN FP Equity_DX_SUPPLY_SI_MV_DEC,ALMUN FP Equity_DX_BROKER_SI_QTY_INC,ALMUN FP Equity_DX_SUPPLY_SI_QTY_DEC,ALMUN FP Equity_DX_BROKER_SI_MV_INC_y,ALMUN FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALMUN FP Equity_DX_BROKER_SI_MV_ADD,ALMUN FP Equity_DX_SUPPLY_SI_QTY_ADD,ALMUN FP Equity_DX_BROKER_SI_QTY_DEC,ALMUN FP Equity_DX_SUPPLY_SI_MV,ALMUN FP Equity_DX_BROKER_SI_MV_DEC,ALMUN FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALMUN FP Equity_DX_UTILIZATION_QUANTITY,ALMUN FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALMUN FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALMUN FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALMUN FP Equity_DX_ACTIVE_UTILIZATION_MV,ALMUN FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALMUN FP Equity_DX_BROKER_SI_CON_RATIO,ALMUN FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALMUN FP Equity_DX_DEMAND_SUPPLY_RATIO
2020-05-11,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,21629.0,109875.32,0.02,0.0,,0.0,,0.0
2020-05-12,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,21629.0,110740.48,0.02,0.0,,0.0,,0.0
2020-05-13,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,21629.0,109442.74,0.02,0.0,,0.0,,0.0
2020-05-14,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,21629.0,109010.16,0.02,0.0,,0.0,,0.0
2020-05-15,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,21629.0,107928.71,0.02,0.0,,0.0,,0.0
2020-05-18,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,21629.0,108145.0,0.02,0.0,,0.0,,0.0
2020-05-19,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,21629.0,105549.52,0.02,0.0,,0.0,,0.0
2020-05-20,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,21629.0,105765.81,0.02,0.0,,0.0,,0.0
2020-05-21,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,21629.0,105765.81,0.02,0.0,,0.0,,0.0
2020-05-22,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,21629.0,104468.07,0.02,0.0,,0.0,,0.0
