,CG9 FP Equity_DX_SI_QTY,CG9 FP Equity_DX_SHORT_INTEREST_VALUE,CG9 FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,CG9 FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,CG9 FP Equity_DX_SI_MV,CG9 FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,CG9 FP Equity_DX_SUPPLY_SI_QTY,CG9 FP Equity_DX_BROKER_SI_QTY,CG9 FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,CG9 FP Equity_DX_SUPPLY_SI_QTY_INC_x,CG9 FP Equity_DX_BROKER_SI_MV_INC_x,CG9 FP Equity_DX_BROKER_SI_QTY_ADD,CG9 FP Equity_DX_SUPPLY_SI_MV_DEC,CG9 FP Equity_DX_BROKER_SI_QTY_INC,CG9 FP Equity_DX_SUPPLY_SI_QTY_DEC,CG9 FP Equity_DX_BROKER_SI_MV_INC_y,CG9 FP Equity_DX_SUPPLY_SI_QTY_INC_y,CG9 FP Equity_DX_BROKER_SI_MV_ADD,CG9 FP Equity_DX_SUPPLY_SI_QTY_ADD,CG9 FP Equity_DX_BROKER_SI_QTY_DEC,CG9 FP Equity_DX_SUPPLY_SI_MV,CG9 FP Equity_DX_BROKER_SI_MV_DEC,CG9 FP Equity_DX_BROKER_SI_MV_RMV,CG9 FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,CG9 FP Equity_DX_UTILIZATION_QUANTITY,CG9 FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,CG9 FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,CG9 FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,CG9 FP Equity_DX_ACTIVE_UTILIZATION_MV,CG9 FP Equity_DX_BROKER_SI_MARKET_SHARE_2,CG9 FP Equity_DX_BROKER_SI_CON_RATIO,CG9 FP Equity_DX_BROKER_SI_MARKET_SHARE_1,CG9 FP Equity_DX_DEMAND_SUPPLY_RATIO,CG9 FP Equity_PX_LAST
2009-04-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.71
2009-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.6
2009-04-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.21
2009-04-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.45
2009-04-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.33
2009-04-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.08
2009-04-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.31
2009-04-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.69
2009-04-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.78
2009-04-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.86
2009-04-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.18
2009-04-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.64
2009-04-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.82
2009-04-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.82
2009-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.7
2009-05-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.55
2009-05-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.02
2009-05-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.2
2009-05-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.83
2009-05-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.59
2009-05-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.78
2009-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.01
2009-05-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.01
2009-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.35
2009-05-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.71
2009-05-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.15
2009-05-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.05
2009-05-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.78
2009-05-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.84
2009-05-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.01
2009-05-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.32
2009-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.69
2009-05-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.17
2009-05-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.32
2009-05-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.44
2009-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.84
2009-06-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.33
2009-06-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.14
2009-06-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.86
2009-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.33
2009-06-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.82
2009-06-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.22
2009-06-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.06
2009-06-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.74
2009-06-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.61
2009-06-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.96
2009-06-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.95
2009-06-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.56
2009-06-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.81
2009-06-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.79
2009-06-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.01
2009-06-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.91
2009-06-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.48
2009-06-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.74
2009-06-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.72
2009-06-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.81
2009-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.19
2009-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.46
2009-07-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.92
2009-07-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.61
2009-07-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.98
2009-07-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.63
2009-07-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.03
2009-07-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.47
2009-07-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.85
2009-07-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.77
2009-07-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.58
2009-07-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.29
2009-07-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.54
2009-07-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.96
2009-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.63
2009-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.37
2009-07-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.65
2009-07-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.94
2009-07-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.81
2009-07-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.93
2009-07-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.53
2009-07-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.02
2009-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.67
2009-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.67
2009-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.37
2009-08-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.14
2009-08-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.46
2009-08-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.64
2009-08-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.41
2009-08-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.74
2009-08-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.84
2009-08-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.59
2009-08-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.98
2009-08-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.47
2009-08-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.01
2009-08-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.91
2009-08-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.71
2009-08-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.82
2009-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.32
2009-08-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.74
2009-08-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.74
2009-08-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.41
2009-08-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.84
2009-08-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.6
2009-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.95
2009-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.05
2009-09-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.91
2009-09-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.77
2009-09-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.58
2009-09-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.87
2009-09-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.19
2009-09-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.96
2009-09-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.24
2009-09-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.88
2009-09-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.67
2009-09-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.71
2009-09-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.78
2009-09-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.96
2009-09-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.42
2009-09-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.95
2009-09-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.37
2009-09-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.56
2009-09-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.99
2009-09-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.66
2009-09-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.69
2009-09-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.86
2009-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.51
2009-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.33
2009-10-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.11
2009-10-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.6
2009-10-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.17
2009-10-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.82
2009-10-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.97
2009-10-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.61
2009-10-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.31
2009-10-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.63
2009-10-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.09
2009-10-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.35
2009-10-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.97
2009-10-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.23
2009-10-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.83
2009-10-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.48
2009-10-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.54
2009-10-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.1
2009-10-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.42
2009-10-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.87
2009-10-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.27
2009-10-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.67
2009-10-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.21
2009-11-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.36
2009-11-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.8
2009-11-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.03
2009-11-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.55
2009-11-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.71
2009-11-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.17
2009-11-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.19
2009-11-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.33
2009-11-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.42
2009-11-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.85
2009-11-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.05
2009-11-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.06
2009-11-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.69
2009-11-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.29
2009-11-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.86
2009-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.42
2009-11-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.0
2009-11-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.5
2009-11-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.73
2009-11-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.67
2009-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.72
2009-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.87
2009-12-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.35
2009-12-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.12
2009-12-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.0
2009-12-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.81
2009-12-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.27
2009-12-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.53
2009-12-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.46
2009-12-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.21
2009-12-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.9
2009-12-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.94
2009-12-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.89
2009-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.9
2009-12-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.67
2009-12-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.82
2009-12-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.34
2009-12-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.51
2009-12-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.14
2009-12-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.23
2009-12-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.0
2010-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.61
2010-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.07
2010-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.41
2010-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.35
2010-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.73
2010-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.74
2010-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.63
2010-01-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.23
2010-01-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.32
2010-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.28
2010-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.08
2010-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.84
2010-01-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.62
2010-01-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.88
2010-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.01
2010-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.24
2010-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.05
2010-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.48
2010-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.46
2010-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.39
2010-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.7
2010-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.77
2010-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.26
2010-02-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.85
2010-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.92
2010-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.56
2010-02-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.47
2010-02-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.26
2010-02-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.12
2010-02-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.91
2010-02-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.28
2010-02-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.08
2010-02-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.29
2010-02-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.86
2010-02-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.28
2010-02-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.88
2010-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.19
2010-02-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.49
2010-02-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.82
2010-02-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.91
2010-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.32
2010-03-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.29
2010-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.68
2010-03-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.85
2010-03-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.45
2010-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.3
2010-03-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.15
2010-03-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.59
2010-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.1
2010-03-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.53
2010-03-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.03
2010-03-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.81
2010-03-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.66
2010-03-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.75
2010-03-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.54
2010-03-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.7
2010-03-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.38
2010-03-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.5
2010-03-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.45
2010-03-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.73
2010-03-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.77
2010-03-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.87
