,ALSIM FP Equity_PX_LAST
2006-10-17,5.95
2006-10-19,6.2
2006-10-20,6.2
2006-10-23,6.19
2006-10-25,6.0
2006-10-26,6.5
2006-10-27,6.5
2006-10-30,5.3
2006-10-31,6.36
2006-11-01,6.36
2006-11-03,6.4
2006-11-06,6.2
2006-11-07,5.8
2006-11-09,5.8
2006-11-10,5.8
2006-11-14,5.8
2006-11-15,5.99
2006-11-20,5.7
2006-11-22,5.7
2006-11-28,5.7
2006-11-30,5.7
2006-12-04,5.6
2006-12-05,5.6
2006-12-07,5.6
2006-12-08,5.6
2006-12-11,5.6
2006-12-12,6.0
2006-12-13,6.0
2006-12-14,6.0
2006-12-15,6.0
2006-12-18,6.21
2006-12-19,6.2
2006-12-20,6.2
2006-12-21,6.2
2006-12-22,6.2
2006-12-27,6.2
2006-12-28,6.14
2006-12-29,6.2
2007-01-03,6.0
2007-01-04,6.0
2007-01-05,6.0
2007-01-08,6.3
2007-01-18,6.2
2007-01-25,6.0
2007-02-01,6.2
2007-02-12,5.6
2007-02-13,6.15
2007-02-15,6.16
2007-02-19,6.2
2007-02-20,6.2
2007-02-21,6.2
2007-02-26,6.23
2007-02-28,6.18
2007-03-05,6.0
2007-03-09,6.01
2007-03-12,6.0
2007-03-13,6.0
2007-03-19,5.9
2007-03-21,5.85
2007-04-02,5.8
2007-04-10,5.0
2007-04-11,5.0
2007-04-12,5.48
2007-04-16,5.49
2007-04-25,5.0
2007-05-16,4.8
2007-05-17,4.8
2007-05-21,3.9
2007-05-22,4.68
2007-05-25,4.5
2007-05-29,3.96
2007-05-30,4.2
2007-06-04,4.49
2007-06-08,4.5
2007-06-14,4.5
2007-06-26,4.31
2007-06-28,4.8
2007-07-05,4.8
2007-07-19,4.8
2007-07-27,4.05
2007-07-30,4.25
2007-08-02,4.7
2007-08-03,4.7
2007-08-06,4.7
2007-08-13,4.3
2007-08-31,4.1
2007-09-05,4.3
2007-09-06,4.8
2007-09-27,4.8
2007-09-28,4.8
2007-10-01,4.7
2007-10-02,4.7
2007-10-05,4.7
2007-10-08,4.1
2007-10-11,4.59
2007-10-12,3.7
2007-10-16,3.55
2007-10-17,4.25
2007-10-23,3.94
2007-10-26,3.7
2007-10-31,3.98
2007-11-02,3.75
2007-11-05,3.75
2007-11-07,3.75
2007-11-08,3.96
2007-11-09,3.7
2007-11-12,3.93
2007-11-13,3.93
2007-11-14,3.93
2007-11-15,3.93
2007-11-16,3.94
2007-11-19,4.05
2007-11-21,4.08
2007-11-22,4.1
2007-11-23,4.1
2007-11-26,4.1
2007-11-28,4.02
2007-11-29,4.1
2007-11-30,4.15
2007-12-04,4.1
2007-12-05,4.1
2007-12-06,4.23
2007-12-07,4.2
2007-12-10,4.25
2007-12-11,4.25
2007-12-12,4.25
2007-12-13,4.89
2007-12-14,4.9
2007-12-17,5.1
2007-12-18,5.1
2007-12-19,5.4
2007-12-20,5.55
2007-12-21,5.55
2007-12-27,5.55
2007-12-28,5.59
2008-01-02,5.59
2008-01-03,5.59
2008-01-04,5.59
2008-01-07,5.59
