,MLCVG FP Equity_DX_SI_QTY,MLCVG FP Equity_DX_SHORT_INTEREST_VALUE,MLCVG FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,MLCVG FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,MLCVG FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,MLCVG FP Equity_DX_SI_MV,MLCVG FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,MLCVG FP Equity_DX_SUPPLY_SI_QTY,MLCVG FP Equity_DX_BROKER_SI_QTY,MLCVG FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,MLCVG FP Equity_DX_SUPPLY_SI_MV,MLCVG FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,MLCVG FP Equity_DX_UTILIZATION_QUANTITY,MLCVG FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,MLCVG FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,MLCVG FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,MLCVG FP Equity_DX_ACTIVE_UTILIZATION_MV,MLCVG FP Equity_DX_BROKER_SI_CON_RATIO,MLCVG FP Equity_DX_DEMAND_SUPPLY_RATIO,MLCVG FP Equity_PX_LAST
1992-01-10,,,,,,,,,,,,,,,,,,,,125.923
1992-02-05,,,,,,,,,,,,,,,,,,,,137.661
1992-02-27,,,,,,,,,,,,,,,,,,,,141.473
1992-03-19,,,,,,,,,,,,,,,,,,,,131.106
1992-04-02,,,,,,,,,,,,,,,,,,,,134.765
1992-04-03,,,,,,,,,,,,,,,,,,,,121.654
1992-04-13,,,,,,,,,,,,,,,,,,,,116.014
1992-04-14,,,,,,,,,,,,,,,,,,,,127.752
1992-04-15,,,,,,,,,,,,,,,,,,,,115.556
1992-04-16,,,,,,,,,,,,,,,,,,,,110.526
1992-04-21,,,,,,,,,,,,,,,,,,,,106.714
1992-04-22,,,,,,,,,,,,,,,,,,,,112.812
1992-04-24,,,,,,,,,,,,,,,,,,,,110.526
1992-04-27,,,,,,,,,,,,,,,,,,,,108.391
1992-05-04,,,,,,,,,,,,,,,,,,,,108.849
1992-05-05,,,,,,,,,,,,,,,,,,,,114.337
1992-05-07,,,,,,,,,,,,,,,,,,,,118.148
1992-05-11,,,,,,,,,,,,,,,,,,,,118.148
1992-05-12,,,,,,,,,,,,,,,,,,,,118.148
1992-05-14,,,,,,,,,,,,,,,,,,,,115.861
1992-05-18,,,,,,,,,,,,,,,,,,,,110.678
1992-05-22,,,,,,,,,,,,,,,,,,,,109.763
1992-05-25,,,,,,,,,,,,,,,,,,,,106.867
1992-05-27,,,,,,,,,,,,,,,,,,,,104.428
1992-06-04,,,,,,,,,,,,,,,,,,,,114.184
1992-06-05,,,,,,,,,,,,,,,,,,,,114.489
1992-06-09,,,,,,,,,,,,,,,,,,,,126.075
1992-06-12,,,,,,,,,,,,,,,,,,,,128.057
1992-06-16,,,,,,,,,,,,,,,,,,,,122.874
1992-06-17,,,,,,,,,,,,,,,,,,,,129.277
1992-06-18,,,,,,,,,,,,,,,,,,,,123.026
1992-06-19,,,,,,,,,,,,,,,,,,,,123.331
1992-06-23,,,,,,,,,,,,,,,,,,,,123.026
1992-06-24,,,,,,,,,,,,,,,,,,,,123.026
1992-06-25,,,,,,,,,,,,,,,,,,,,121.959
1992-06-29,,,,,,,,,,,,,,,,,,,,120.435
1992-06-30,,,,,,,,,,,,,,,,,,,,118.91
1992-07-06,,,,,,,,,,,,,,,,,,,,107.324
1992-07-09,,,,,,,,,,,,,,,,,,,,98.787
1992-07-10,,,,,,,,,,,,,,,,,,,,96.195
1992-07-15,,,,,,,,,,,,,,,,,,,,96.195
1992-07-16,,,,,,,,,,,,,,,,,,,,95.281
1992-07-17,,,,,,,,,,,,,,,,,,,,91.622
1992-07-20,,,,,,,,,,,,,,,,,,,,86.896
1992-07-21,,,,,,,,,,,,,,,,,,,,91.317
1992-07-22,,,,,,,,,,,,,,,,,,,,91.469
1992-07-23,,,,,,,,,,,,,,,,,,,,98.939
1992-08-20,,,,,,,,,,,,,,,,,,,,91.622
1992-09-08,,,,,,,,,,,,,,,,,,,,82.78
1992-09-09,,,,,,,,,,,,,,,,,,,,83.999
1992-09-10,,,,,,,,,,,,,,,,,,,,83.999
1992-09-14,,,,,,,,,,,,,,,,,,,,83.999
1992-09-21,,,,,,,,,,,,,,,,,,,,92.384
1992-09-22,,,,,,,,,,,,,,,,,,,,101.683
1992-09-23,,,,,,,,,,,,,,,,,,,,101.379
1992-09-28,,,,,,,,,,,,,,,,,,,,91.622
1992-09-29,,,,,,,,,,,,,,,,,,,,82.78
1992-09-30,,,,,,,,,,,,,,,,,,,,84.152
1992-10-02,,,,,,,,,,,,,,,,,,,,84.152
1992-10-05,,,,,,,,,,,,,,,,,,,,86.896
1992-10-07,,,,,,,,,,,,,,,,,,,,82.322
1992-10-08,,,,,,,,,,,,,,,,,,,,77.749
1992-10-09,,,,,,,,,,,,,,,,,,,,76.529
1992-10-12,,,,,,,,,,,,,,,,,,,,75.92
1992-10-13,,,,,,,,,,,,,,,,,,,,68.526
1992-10-14,,,,,,,,,,,,,,,,,,,,75.31
1992-10-22,,,,,,,,,,,,,,,,,,,,75.31
1992-10-29,,,,,,,,,,,,,,,,,,,,68.907
