,GAGG FP Equity_DX_SI_QTY,GAGG FP Equity_DX_SHORT_INTEREST_VALUE,GAGG FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,GAGG FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,GAGG FP Equity_DX_SI_MV,GAGG FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,GAGG FP Equity_DX_SUPPLY_SI_QTY,GAGG FP Equity_DX_BROKER_SI_QTY,GAGG FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,GAGG FP Equity_DX_BROKER_SI_QTY_ADD,GAGG FP Equity_DX_BROKER_SI_MV_ADD,GAGG FP Equity_DX_SUPPLY_SI_MV,GAGG FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,GAGG FP Equity_DX_UTILIZATION_QUANTITY,GAGG FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,GAGG FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,GAGG FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,GAGG FP Equity_DX_ACTIVE_UTILIZATION_MV,GAGG FP Equity_DX_BROKER_SI_CON_RATIO,GAGG FP Equity_DX_BROKER_SI_MARKET_SHARE_1,GAGG FP Equity_DX_DEMAND_SUPPLY_RATIO,GAGG FP Equity_PX_LAST
2017-01-24,,,,,,,,,,,,,,,,,,,,,,48.6645
2017-01-25,,,,,,,,,,,,,,,,,,,,,,48.5019
2017-01-26,,,,,,,,,,,,,,,,,,,,,,48.5781
2017-01-27,,,,,,,,,,,,,,,,,,,,,,48.554
2017-01-30,,,,,,,,,,,,,,,,,,,,,,48.7162
2017-01-31,,,,,,,,,,,,,,,,,,,,,,48.5339
2017-02-01,,,,,,,,,,,,,,,,,,,,,,48.5064
2017-02-02,,,,,,,,,,,,,,,,,,,,,,48.5324
2017-02-03,,,,,,,,,,,,,,,,,,,,,,48.6205
2017-02-06,,,,,,,,,,,,,,,,,,,,,,48.7495
2017-02-07,,,,,,,,,,,,,,,,,,,,,,48.88
2017-02-08,,,,,,,,,,,,,,,,,,,,,,49.022
2017-02-09,,,,,,,,,,,,,,,,,,,,,,48.997
2017-02-10,,,,,,,,,,,,,,,,,,,,,,49.009
2017-02-13,,,,,,,,,,,,,,,,,,,,,,49.056
2017-02-14,,,,,,,,,,,,,,,,,,,,,,49.004
2017-02-15,,,,,,,,,,,,,,,,,,,,,,48.948
2017-02-16,,,,,,,,,,,,,,,,,,,,,,48.894
2017-02-17,,,,,,,,,,,,,,,,,,,,,,49.151
2017-02-20,,,,,,,,,,,,,,,,,,,,,,49.139
2017-02-21,,,,,,,,,,,,,,,,,,,,,,49.318
2017-02-22,,,,,,,,,,,,,,,,,,,,,,49.347
2017-02-23,,,,,,,,,,,,,,,,,,,,,,49.486
2017-02-24,,,,,,,,,,,,,,,,,,,,,,49.708
2017-02-27,,,,,,,,,,,,,,,,,,,,,,49.599
2017-02-28,,,,,,,,,,,,,,,,,,,,,,49.546
2017-03-01,,,,,,,,,,,,,,,,,,,,,,49.338
2017-03-02,,,,,,,,,,,,,,,,,,,,,,49.351
2017-03-03,,,,,,,,,,,,,,,,,,,,,,49.211
2017-03-06,,,,,,,,,,,,,,,,,,,,,,49.175
2017-03-07,,,,,,,,,,,,,,,,,,,,,,49.176
2017-03-08,,,,,,,,,,,,,,,,,,,,,,49.081
2017-03-09,,,,,,,,,,,,,,,,,,,,,,48.791
2017-03-10,,,,,,,,,,,,,,,,,,,,,,48.454
2017-03-13,,,,,,,,,,,,,,,,,,,,,,48.522
2017-03-14,,,,,,,,,,,,,,,,,,,,,,48.629
2017-03-15,,,,,,,,,,,,,,,,,,,,,,48.747
2017-03-16,,,,,,,,,,,,,,,,,,,,,,48.644
2017-03-17,,,,,,,,,,,,,,,,,,,,,,48.682
2017-03-20,,,,,,,,,,,,,,,,,,,,,,48.716
2017-03-21,,,,,,,,,,,,,,,,,,,,,,48.621
2017-03-22,,,,,,,,,,,,,,,,,,,,,,48.862
2017-03-23,,,,,,,,,,,,,,,,,,,,,,48.865
2017-03-24,,,,,,,,,,,,,,,,,,,,,,48.838
2017-03-27,,,,,,,,,,,,,,,,,,,,,,48.688
2017-03-28,,,,,,,,,,,,,,,,,,,,,,48.787
