,WLN FP Equity_DX_SI_QTY,WLN FP Equity_DX_SHORT_INTEREST_VALUE,WLN FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,WLN FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,WLN FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,WLN FP Equity_DX_SI_MV,WLN FP Equity_DX_DSS,WLN FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,WLN FP Equity_DX_SUPPLY_SI_QTY,WLN FP Equity_DX_BROKER_SI_QTY,WLN FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,WLN FP Equity_DX_BROKER_SI_MV_NEW_x,WLN FP Equity_DX_SUPPLY_SI_QTY_NEW_x,WLN FP Equity_DX_SUPPLY_SI_QTY_INC_x,WLN FP Equity_DX_BROKER_SI_MV_INC_x,WLN FP Equity_DX_SUPPLY_SI_MV_NEW,WLN FP Equity_DX_BROKER_SI_QTY_ADD,WLN FP Equity_DX_BROKER_SI_QTY_NEW,WLN FP Equity_DX_SUPPLY_SI_MV_DEC,WLN FP Equity_DX_BROKER_SI_QTY_INC,WLN FP Equity_DX_SUPPLY_SI_QTY_DEC,WLN FP Equity_DX_BROKER_SI_MV_NEW_y,WLN FP Equity_DX_SUPPLY_SI_QTY_NEW_y,WLN FP Equity_DX_BROKER_SI_MV_INC_y,WLN FP Equity_DX_SUPPLY_SI_QTY_INC_y,WLN FP Equity_DX_BROKER_SI_MV_ADD,WLN FP Equity_DX_SUPPLY_SI_QTY_ADD,WLN FP Equity_DX_BROKER_SI_QTY_DEC,WLN FP Equity_DX_SUPPLY_SI_MV,WLN FP Equity_DX_BROKER_SI_MV_DEC,WLN FP Equity_DX_SUPPLY_SI_MV_RMV,WLN FP Equity_DX_BROKER_SI_MV_RMV,WLN FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,WLN FP Equity_DX_UTILIZATION_QUANTITY,WLN FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,WLN FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,WLN FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,WLN FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,WLN FP Equity_DX_ACTIVE_UTILIZATION_MV,WLN FP Equity_DX_BROKER_SI_MARKET_SHARE_2,WLN FP Equity_DX_BROKER_SI_CON_RATIO,WLN FP Equity_DX_BROKER_SI_MARKET_SHARE_1,WLN FP Equity_DX_DEMAND_SUPPLY_RATIO,WLN FP Equity_PX_LAST
2014-06-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.4
2014-06-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.4
2014-06-30,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,34490.0,572534.0,,0.57,0.0,0.0,0.0,0.0,0.0,16.6
2014-07-01,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,7043633.0,115515581.2,,115.59,0.0,,0.0,,0.0,16.4
2014-07-02,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,12323480.0,200872724.0,,201.41,0.0,,0.0,,0.0,16.3
2014-07-03,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,12948894.0,212361861.6,,211.78,0.0,,0.0,,0.0,16.4
2014-07-04,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,14820872.0,242321257.2,,242.78,0.0,,0.0,,0.0,16.35
2014-07-07,5815.0,95249.7,0.02,0.04,0.0,0.1,0.0,95249.7,5815.0,5815.0,95249.7,,,,,,5815.0,,,,,,,,,0.1,5815.0,,0.1,,,,10.29,0.04,50706.0,830564.28,,0.83,10.29,,1.0,100.0,0.0004,16.38
2014-07-08,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,0.1,,5815.0,,,,,,,5815.0,0.0,0.1,,,0.0,0.0,15001462.0,246023976.8,,245.82,0.0,,0.0,,0.0,16.4
2014-07-09,10000.0,164000.0,0.03,0.07,0.01,0.16,0.0,164000.0,10000.0,10000.0,164000.0,,,,,,10000.0,,,,,,,,,0.16,10000.0,,0.16,,,,8.55,0.07,107000.0,1754800.0,,1.75,8.55,,1.0,100.0,0.0007,16.4
2014-07-10,6945.0,113759.1,0.02,0.05,0.01,0.11,0.0,113759.1,6945.0,6945.0,113759.1,,,,,,,,0.05,,3055.0,,,,,,,3055.0,0.11,0.05,,,5.94,0.05,110055.0,1802700.9,,1.8,5.94,,1.0,100.0,0.0005,16.38
