,C40 FP Equity_DX_DSS,C40 FP Equity_PX_LAST
2005-03-02,,40.47
2005-03-03,,40.59
2005-03-04,,40.82
2005-03-07,,41.0
2005-03-08,,40.83
2005-03-09,,40.83
2005-03-10,,40.4
2005-03-11,,40.53
2005-03-14,,40.51
2005-03-15,,40.79
2005-03-16,,40.25
2005-03-17,,40.33
2005-03-18,,40.51
2005-03-21,,40.38
2005-03-22,,40.56
2005-03-23,,40.34
2005-03-24,,40.78
2005-03-29,,40.79
2005-03-30,,40.67
2005-03-31,,40.72
2005-04-01,,40.69
2005-04-04,,40.58
2005-04-05,,40.88
2005-04-06,,41.01
2005-04-07,,41.22
2005-04-08,,41.26
2005-04-11,,41.18
2005-04-12,,41.08
2005-04-13,,41.19
2005-04-14,,41.18
2005-04-15,,40.33
2005-04-18,,39.48
2005-04-19,,39.62
2005-04-20,,39.45
2005-04-21,,39.55
2005-04-22,,39.69
2005-04-25,,39.92
2005-04-26,,39.83
2005-04-27,,39.4
2005-04-28,,39.17
2005-04-29,,39.26
2005-05-02,,39.48
2005-05-03,,39.58
2005-05-04,,39.83
2005-05-05,,40.25
2005-05-06,,39.95
2005-05-09,,40.25
2005-05-10,,40.12
2005-05-11,,40.22
2005-05-12,,40.31
2005-05-13,,40.12
2005-05-16,,40.3
2005-05-17,,40.32
2005-05-18,,41.01
2005-05-19,,41.19
2005-05-20,,41.29
2005-05-23,,41.49
2005-05-24,,41.32
2005-05-25,,41.52
2005-05-26,,41.65
2005-05-27,,41.82
2005-05-30,,41.95
2005-05-31,,41.96
2005-06-01,,42.34
2005-06-02,,42.58
2005-06-03,,42.62
2005-06-06,,42.28
2005-06-07,,42.7
2005-06-08,,42.6
2005-06-09,,42.46
2005-06-10,,42.71
2005-06-13,,42.9
2005-06-14,,42.94
2005-06-15,,42.8
2005-06-16,,42.95
2005-06-17,,43.27
2005-06-20,,42.85
2005-06-21,,43.1
2005-06-22,,43.28
2005-06-23,,43.33
2005-06-24,,42.97
2005-06-27,,42.61
2005-06-28,,42.95
2005-06-29,,43.38
2005-06-30,,43.48
2005-07-01,,43.55
2005-07-04,,43.69
2005-07-05,,43.57
2005-07-06,,43.8
2005-07-07,,43.07
2005-07-08,,43.92
2005-07-11,,44.24
2005-07-12,,44.17
2005-07-13,,44.42
2005-07-14,,44.83
2005-07-15,,44.72
2005-07-18,,44.65
2005-07-19,,45.17
2005-07-20,,45.16
2005-07-21,,45.26
2005-07-22,,44.17
2005-07-25,,44.28
2005-07-26,,44.42
2005-07-27,,44.45
2005-07-28,,44.65
2005-07-29,,44.6
2005-08-01,,44.6
2005-08-02,,44.98
2005-08-03,,44.95
2005-08-04,,44.59
2005-08-05,,44.3
2005-08-08,,44.4
2005-08-09,,44.94
2005-08-10,,45.15
2005-08-11,,45.16
2005-08-12,,44.8
2005-08-15,,44.73
2005-08-16,,44.55
2005-08-17,,44.24
2005-08-18,,44.18
2005-08-19,,44.86
2005-08-22,,44.97
2005-08-23,,44.4
2005-08-24,,44.16
2005-08-25,,43.72
2005-08-26,,43.44
2005-08-29,,43.65
2005-08-30,,43.7
2005-08-31,,43.79
2005-09-01,,44.26
2005-09-02,,44.1
2005-09-05,,44.34
2005-09-06,,44.69
2005-09-07,,44.83
2005-09-08,,44.63
2005-09-09,,44.85
2005-09-12,,45.0
2005-09-13,,44.57
2005-09-14,,44.73
2005-09-15,,44.89
2005-09-16,,45.09
2005-09-19,,45.15
2005-09-20,,45.2
2005-09-21,,44.74
2005-09-22,,44.41
2005-09-23,,44.74
2005-09-26,,45.6
2005-09-27,,45.53
2005-09-28,,46.05
2005-09-29,,45.88
2005-09-30,,45.91
2005-10-03,,46.24
2005-10-04,,46.53
2005-10-05,,46.23
2005-10-06,,45.48
2005-10-07,,45.3
2005-10-10,,45.3
2005-10-12,,45.47
2005-10-13,,44.7
2005-10-14,,44.9
2005-10-17,,45.04
2005-10-18,,44.64
2005-10-19,,43.78
2005-10-20,,43.9
2005-10-21,,43.77
2005-10-24,,43.92
2005-10-25,,44.01
2005-10-26,,44.09
2005-10-27,,43.38
2005-10-28,,43.17
2005-10-31,,44.27
2005-11-01,,44.3
2005-11-02,,44.29
2005-11-03,,44.99
2005-11-04,,45.02
2005-11-07,,44.98
2005-11-08,,44.98
2005-11-09,,44.88
2005-11-10,,45.03
2005-11-11,,45.37
2005-11-14,,45.47
2005-11-15,,45.4
2005-11-16,,45.11
2005-11-17,,45.35
2005-11-18,,45.53
2005-11-21,,45.81
2005-11-22,,45.8
2005-11-23,,45.94
2005-11-24,,46.0
2005-11-25,,46.07
2005-11-28,,45.84
2005-11-29,,45.85
2005-11-30,,45.71
2005-12-01,,46.43
2005-12-02,,46.49
2005-12-05,,46.61
2005-12-06,,46.8
2005-12-07,,46.64
2005-12-08,,46.66
2005-12-09,,46.61
2005-12-12,,46.8
2005-12-13,,47.02
2005-12-14,,46.97
2005-12-15,,46.7
2005-12-16,,47.17
2005-12-19,,47.09
2005-12-20,,47.15
2005-12-21,,47.57
2005-12-22,,47.7
2005-12-23,,47.6
2005-12-27,,47.81
2005-12-28,,47.65
2005-12-29,,47.75
