,SRIE FP Equity_DX_SI_QTY,SRIE FP Equity_DX_SHORT_INTEREST_VALUE,SRIE FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,SRIE FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,SRIE FP Equity_DX_SI_MV,SRIE FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,SRIE FP Equity_DX_SUPPLY_SI_QTY,SRIE FP Equity_DX_BROKER_SI_QTY,SRIE FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,SRIE FP Equity_DX_SUPPLY_SI_QTY_INC_x,SRIE FP Equity_DX_BROKER_SI_MV_INC_x,SRIE FP Equity_DX_BROKER_SI_QTY_ADD,SRIE FP Equity_DX_SUPPLY_SI_MV_DEC,SRIE FP Equity_DX_BROKER_SI_QTY_INC,SRIE FP Equity_DX_SUPPLY_SI_QTY_DEC,SRIE FP Equity_DX_BROKER_SI_MV_INC_y,SRIE FP Equity_DX_SUPPLY_SI_QTY_INC_y,SRIE FP Equity_DX_BROKER_SI_MV_ADD,SRIE FP Equity_DX_SUPPLY_SI_QTY_ADD,SRIE FP Equity_DX_BROKER_SI_QTY_DEC,SRIE FP Equity_DX_SUPPLY_SI_MV,SRIE FP Equity_DX_BROKER_SI_MV_DEC,SRIE FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,SRIE FP Equity_DX_UTILIZATION_QUANTITY,SRIE FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,SRIE FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,SRIE FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,SRIE FP Equity_DX_ACTIVE_UTILIZATION_MV,SRIE FP Equity_DX_BROKER_SI_MARKET_SHARE_2,SRIE FP Equity_DX_BROKER_SI_CON_RATIO,SRIE FP Equity_DX_BROKER_SI_MARKET_SHARE_1,SRIE FP Equity_DX_DEMAND_SUPPLY_RATIO,SRIE FP Equity_PX_LAST
2018-04-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.4081
2018-04-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.5
2018-04-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.435
2018-04-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.4417
2018-04-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.5313
2018-04-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.5844
2018-04-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.5018
2018-04-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.6451
2018-04-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.7361
2018-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.8714
2018-05-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.9768
2018-05-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.8936
2018-05-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.9946
2018-05-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.1398
2018-05-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.1357
2018-05-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.1651
2018-05-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.3142
2018-05-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.2752
2018-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.2716
2018-05-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.2906
2018-05-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.3502
2018-05-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.4534
2018-05-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.4585
2018-05-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.5835
2018-05-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.5879
2018-05-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.3998
2018-05-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.2969
2018-05-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.2444
2018-05-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.2288
2018-05-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.93
2018-05-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.9933
2018-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.9124
2018-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0965
2018-06-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.1776
2018-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0745
2018-06-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0424
2018-06-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0303
2018-06-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.999
2018-06-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.1917
2018-06-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.1475
2018-06-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.1981
2018-06-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.4287
2018-06-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.1685
2018-06-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0667
2018-06-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.967
2018-06-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.9593
2018-06-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.8301
2018-06-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0316
2018-06-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.6757
2018-06-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.6926
2018-06-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.8771
2018-06-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.6741
2018-06-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.8476
2018-07-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.6803
2018-07-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.887
2018-07-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.9366
2018-07-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.9786
2018-07-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.054
2018-07-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.1798
2018-07-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.2726
2018-07-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.017
2018-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.188
2018-07-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.2882
2018-07-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.2144
2018-07-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.2217
2018-07-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.3236
2018-07-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.2184
2018-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.1643
2018-07-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.1106
2018-07-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.2676
2018-07-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.2253
2018-07-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.4436
2018-07-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.5167
2018-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.4689
2018-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.5166
2018-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.4376
2018-08-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.3466
2018-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.4624
2018-08-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.4066
2018-08-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.5244
2018-08-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.4294
2018-08-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.4625
2018-08-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.2263
2018-08-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.2187
2018-08-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.2388
2018-08-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.9399
2018-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.1009
2018-08-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0645
2018-08-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.1849
2018-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.2787
2018-08-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.3069
2018-08-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.3074
2018-08-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.3342
2018-08-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.4761
2018-08-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.4433
2018-08-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.5373
2018-08-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.4632
2018-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.2998
2018-09-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.281
2018-09-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.1393
2018-09-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.834
2018-09-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.7898
2018-09-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.8081
2018-09-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.9087
2018-09-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.9598
2018-09-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.1031
2018-09-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.9609
2018-09-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0194
2018-09-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0591
2018-09-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0789
2018-09-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0128
2018-09-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.2109
2018-09-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.2834
2018-09-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.194
2018-09-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.4191
2018-09-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.3673
2018-09-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.4744
2018-09-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.2769
2018-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.3659
2018-10-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.2259
2018-10-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.3538
2018-10-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.121
2018-10-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0067
2018-10-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.7384
2018-10-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.8247
2018-10-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.5077
2018-10-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.1244
2018-10-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.1066
2018-10-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.1495
2018-10-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.4072
2018-10-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.3832
2018-10-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.2233
2018-10-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.1924
2018-10-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.1317
2018-10-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.8406
2018-10-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.824
2018-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.9243
2018-10-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.696
2018-10-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.8382
2018-10-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.8484
2018-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.1726
2018-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.2745
2018-11-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.306
2018-11-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.3438
2018-11-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.2563
2018-11-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.4708
2018-11-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.5
2018-11-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.4355
2018-11-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.337
2018-11-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.4655
2018-11-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.3879
2018-11-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.2262
2018-11-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.202
2018-11-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.99
2018-11-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.8217
2018-11-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0531
2018-11-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.9003
2018-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.969
2018-11-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.2474
2018-11-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.206
2018-11-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.2456
2018-11-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.2948
2018-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.2994
2018-12-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.5613
2018-12-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.4489
2018-12-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.2
2018-12-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.5833
2018-12-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.727
2018-12-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.4647
2018-12-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.6391
2018-12-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.8964
2018-12-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.9376
2018-12-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.8173
2018-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.5725
2018-12-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.3906
2018-12-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.46
2018-12-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.1853
2018-12-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.2
2018-12-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.932
2018-12-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.8069
2018-12-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.1722
2018-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.356
2019-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.2249
2019-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0759
2019-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.5439
2019-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.4496
2019-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.6458
2019-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.8003
2019-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.8213
2019-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.8668
2019-01-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.7329
2019-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.7773
2019-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.849
2019-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.9044
2019-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.295
2019-01-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.1666
2019-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.1034
2019-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.04
2019-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.1344
2019-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.1889
2019-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0494
2019-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.1424
2019-01-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.2561
2019-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.2791
2019-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.378
2019-02-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.3952
2019-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.693
2019-02-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.6656
2019-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.3771
2019-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.3242
2019-02-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.5041
2019-02-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.5997
2019-02-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.74
2019-02-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.57
2019-02-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.8709
2019-02-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.9815
2019-02-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.87
2019-02-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0153
2019-02-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0883
2019-02-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.156
2019-02-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.1244
2019-02-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.2452
2019-02-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0578
2019-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0994
2019-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.1779
2019-03-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.2978
2019-03-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.2961
2019-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.2674
2019-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.214
2019-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0085
2019-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.1557
2019-03-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.1022
2019-03-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.2478
2019-03-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.4219
2019-03-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.6444
2019-03-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.665
2019-03-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.71
2019-03-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.5824
2019-03-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.5609
2019-03-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.2821
2019-03-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.2605
2019-03-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.4269
2019-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.45
2019-03-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.4694
2019-03-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.52
2019-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.751
2019-04-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.8414
2019-04-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0166
2019-04-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.9717
2019-04-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0087
2019-04-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.9598
