,ACE27 FP Equity_PX_LAST
2024-08-27,10.1239
2024-08-28,10.1252
2024-08-29,10.129
2024-08-30,10.128
2024-09-02,10.1187
2024-09-03,10.1336
2024-09-04,10.1492
2024-09-05,10.1517
2024-09-06,10.1738
2024-09-09,10.174
2024-09-10,10.1763
2024-09-11,10.1805
2024-09-12,10.1647
2024-09-13,10.1806
2024-09-16,10.181
2024-09-17,10.1787
2024-09-18,10.1724
2024-09-19,10.19
2024-09-20,10.1779
2024-09-23,10.2086
2024-09-24,10.2147
2024-09-25,10.2106
2024-09-26,10.2118
2024-09-27,10.2246
2024-09-30,10.2303
2024-10-01,10.2467
2024-10-02,10.2395
2024-10-03,10.24
2024-10-04,10.2193
2024-10-07,10.2095
2024-10-08,10.2163
2024-10-09,10.2136
2024-10-10,10.2168
2024-10-11,10.2149
2024-10-14,10.218
2024-10-15,10.2305
2024-10-16,10.2416
2024-10-17,10.2527
2024-10-18,10.2676
2024-10-21,10.2429
2024-10-22,10.2446
2024-10-23,10.2526
2024-10-24,10.265
2024-10-25,10.2571
2024-10-28,10.2566
2024-10-29,10.2521
2024-10-30,10.2212
2024-10-31,10.2059
2024-11-01,10.2196
2024-11-04,10.2246
2024-11-05,10.2214
2024-11-06,10.2517
2024-11-07,10.2439
2024-11-08,10.256
2024-11-11,10.2573
2024-11-12,10.2698
2024-11-13,10.2614
2024-11-14,10.2747
2024-11-15,10.2728
2024-11-18,10.2644
2024-11-19,10.265
2024-11-20,10.2561
2024-11-21,10.2658
2024-11-22,10.2827
2024-11-25,10.2905
2024-11-26,10.2863
2024-11-27,10.2894
2024-11-28,10.302
2024-11-29,10.313
2024-12-02,10.3319
2024-12-03,10.326
2024-12-04,10.3258
2024-12-05,10.3187
2024-12-06,10.3203
2024-12-09,10.3431
2024-12-10,10.3357
2024-12-11,10.3403
2024-12-12,10.3287
2024-12-13,10.3287
2024-12-16,10.3124
2024-12-17,10.3089
2024-12-18,10.3095
2024-12-19,10.2999
2024-12-20,10.3104
2024-12-23,10.3037
2024-12-24,10.3155
2024-12-27,10.3077
