,PE500 FP Equity_DX_SI_QTY,PE500 FP Equity_DX_SHORT_INTEREST_VALUE,PE500 FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,PE500 FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,PE500 FP Equity_DX_SI_MV,PE500 FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,PE500 FP Equity_DX_SUPPLY_SI_QTY,PE500 FP Equity_DX_BROKER_SI_QTY,PE500 FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,PE500 FP Equity_DX_SUPPLY_SI_QTY_INC_x,PE500 FP Equity_DX_BROKER_SI_MV_INC_x,PE500 FP Equity_DX_BROKER_SI_QTY_ADD,PE500 FP Equity_DX_SUPPLY_SI_MV_DEC,PE500 FP Equity_DX_BROKER_SI_QTY_INC,PE500 FP Equity_DX_SUPPLY_SI_QTY_DEC,PE500 FP Equity_DX_BROKER_SI_MV_INC_y,PE500 FP Equity_DX_SUPPLY_SI_QTY_INC_y,PE500 FP Equity_DX_BROKER_SI_MV_ADD,PE500 FP Equity_DX_SUPPLY_SI_QTY_ADD,PE500 FP Equity_DX_BROKER_SI_QTY_DEC,PE500 FP Equity_DX_SUPPLY_SI_MV,PE500 FP Equity_DX_BROKER_SI_MV_DEC,PE500 FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,PE500 FP Equity_DX_UTILIZATION_QUANTITY,PE500 FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,PE500 FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,PE500 FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,PE500 FP Equity_DX_ACTIVE_UTILIZATION_MV,PE500 FP Equity_DX_BROKER_SI_MARKET_SHARE_2,PE500 FP Equity_DX_BROKER_SI_CON_RATIO,PE500 FP Equity_DX_BROKER_SI_MARKET_SHARE_1,PE500 FP Equity_DX_DEMAND_SUPPLY_RATIO
2020-12-14,7000.0,166362.0,0.31,0.03,0.17,166362.0,0.0,7000.0,0.0,,,7000.0,,,,,,0.17,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2020-12-15,7000.0,165816.0,0.34,0.03,0.17,165816.0,0.0,7000.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2020-12-16,7000.0,167223.0,0.34,0.03,0.17,167223.0,0.0,7000.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2020-12-17,7000.0,166628.0,0.35,0.03,0.17,166628.0,0.0,7000.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2020-12-18,7000.0,165921.0,0.35,0.03,0.17,165921.0,0.0,7000.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2020-12-21,7000.0,164780.0,0.35,0.03,0.17,164780.0,0.0,7000.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2021-01-28,13000.0,321243.0,0.72,0.05,0.32,321243.0,0.0,13000.0,0.0,,,13000.0,,,,,,0.32,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2021-01-29,13000.0,314418.0,0.7,0.05,0.32,314418.0,0.0,13000.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2021-02-01,13000.0,318292.0,0.68,0.05,0.31,318292.0,0.0,13000.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2021-02-02,13000.0,326391.0,0.25,0.05,0.32,326391.0,0.0,13000.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
