,ADOC FP Equity_DX_SI_QTY,ADOC FP Equity_DX_SHORT_INTEREST_VALUE,ADOC FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ADOC FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ADOC FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ADOC FP Equity_DX_SI_MV,ADOC FP Equity_DX_DSS,ADOC FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ADOC FP Equity_DX_SUPPLY_SI_QTY,ADOC FP Equity_DX_BROKER_SI_QTY,ADOC FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ADOC FP Equity_DX_BROKER_SI_MV_NEW_x,ADOC FP Equity_DX_SUPPLY_SI_QTY_NEW_x,ADOC FP Equity_DX_SUPPLY_SI_QTY_INC_x,ADOC FP Equity_DX_BROKER_SI_MV_INC_x,ADOC FP Equity_DX_SUPPLY_SI_MV_NEW,ADOC FP Equity_DX_BROKER_SI_QTY_ADD,ADOC FP Equity_DX_BROKER_SI_QTY_NEW,ADOC FP Equity_DX_SUPPLY_SI_MV_DEC,ADOC FP Equity_DX_BROKER_SI_QTY_INC,ADOC FP Equity_DX_SUPPLY_SI_QTY_DEC,ADOC FP Equity_DX_BROKER_SI_MV_NEW_y,ADOC FP Equity_DX_SUPPLY_SI_QTY_NEW_y,ADOC FP Equity_DX_BROKER_SI_MV_INC_y,ADOC FP Equity_DX_SUPPLY_SI_QTY_INC_y,ADOC FP Equity_DX_BROKER_SI_MV_ADD,ADOC FP Equity_DX_SUPPLY_SI_QTY_ADD,ADOC FP Equity_DX_BROKER_SI_QTY_DEC,ADOC FP Equity_DX_SUPPLY_SI_MV,ADOC FP Equity_DX_BROKER_SI_MV_DEC,ADOC FP Equity_DX_SUPPLY_SI_MV_RMV,ADOC FP Equity_DX_BROKER_SI_MV_RMV,ADOC FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ADOC FP Equity_DX_UTILIZATION_QUANTITY,ADOC FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ADOC FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ADOC FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,ADOC FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ADOC FP Equity_DX_ACTIVE_UTILIZATION_MV,ADOC FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ADOC FP Equity_DX_BROKER_SI_CON_RATIO,ADOC FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ADOC FP Equity_DX_DEMAND_SUPPLY_RATIO,ADOC FP Equity_PX_LAST
2012-02-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.88
2012-02-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.49
2012-02-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.14
2012-02-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.1
2012-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0
2012-02-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.08
2012-02-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.27
2012-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.5
2012-02-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.5
2012-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.67
2012-03-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.8
2012-03-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.59
2012-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.48
2012-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.38
2012-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.49
2012-03-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.5
2012-03-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.58
2012-03-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.5
2012-03-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.02
2012-03-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.08
2012-03-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.9
2012-03-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.17
2012-03-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.18
2012-03-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.17
