,PSP5 FP Equity_DX_SI_QTY,PSP5 FP Equity_DX_SHORT_INTEREST_VALUE,PSP5 FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,PSP5 FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,PSP5 FP Equity_DX_SI_MV,PSP5 FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,PSP5 FP Equity_DX_SUPPLY_SI_QTY,PSP5 FP Equity_DX_BROKER_SI_QTY,PSP5 FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,PSP5 FP Equity_DX_BROKER_SI_MV_NEW_x,PSP5 FP Equity_DX_SUPPLY_SI_QTY_INC_x,PSP5 FP Equity_DX_BROKER_SI_MV_INC_x,PSP5 FP Equity_DX_BROKER_SI_QTY_ADD,PSP5 FP Equity_DX_BROKER_SI_QTY_NEW,PSP5 FP Equity_DX_SUPPLY_SI_MV_DEC,PSP5 FP Equity_DX_BROKER_SI_QTY_INC,PSP5 FP Equity_DX_SUPPLY_SI_QTY_DEC,PSP5 FP Equity_DX_BROKER_SI_MV_NEW_y,PSP5 FP Equity_DX_BROKER_SI_MV_INC_y,PSP5 FP Equity_DX_SUPPLY_SI_QTY_INC_y,PSP5 FP Equity_DX_BROKER_SI_MV_ADD,PSP5 FP Equity_DX_SUPPLY_SI_QTY_ADD,PSP5 FP Equity_DX_BROKER_SI_QTY_DEC,PSP5 FP Equity_DX_SUPPLY_SI_MV,PSP5 FP Equity_DX_BROKER_SI_MV_DEC,PSP5 FP Equity_DX_BROKER_SI_MV_RMV,PSP5 FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,PSP5 FP Equity_DX_UTILIZATION_QUANTITY,PSP5 FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,PSP5 FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,PSP5 FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,PSP5 FP Equity_DX_ACTIVE_UTILIZATION_MV,PSP5 FP Equity_DX_BROKER_SI_MARKET_SHARE_2,PSP5 FP Equity_DX_BROKER_SI_CON_RATIO,PSP5 FP Equity_DX_BROKER_SI_MARKET_SHARE_1,PSP5 FP Equity_DX_DEMAND_SUPPLY_RATIO,PSP5 FP Equity_PX_LAST
2014-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4
2014-06-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.45
2014-06-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.52
2014-06-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.53
2014-06-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.52
2014-06-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.47
2014-06-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.46
2014-06-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.42
2014-06-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.48
2014-06-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.48
2014-06-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.51
2014-06-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.58
2014-06-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.55
2014-06-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.6
2014-06-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5
2014-06-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.51
2014-06-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.51
2014-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5
2014-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.57
2014-07-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.6
2014-07-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.68
2014-07-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.68
2014-07-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.65
2014-07-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.56
