,TNO FP Equity_DX_DSS,TNO FP Equity_PX_LAST
2006-08-28,,28.16
2006-08-30,,29.09
2006-08-31,,29.24
2006-09-01,,28.82
2006-09-04,,28.84
2006-09-05,,28.59
2006-09-06,,28.52
2006-09-07,,27.84
2006-09-08,,28.0
2006-09-11,,27.88
2006-09-12,,28.68
2006-09-13,,28.95
2006-09-14,,28.66
2006-09-15,,28.79
2006-09-18,,28.56
2006-09-19,,28.34
2006-09-20,,28.8
2006-09-21,,28.95
2006-09-22,,28.58
2006-09-25,,28.49
2006-09-26,,29.02
2006-09-27,,29.18
2006-09-28,,29.29
2006-09-29,,29.25
2006-10-02,,29.13
2006-10-03,,28.68
2006-10-04,,28.96
2006-10-05,,29.18
2006-10-06,,29.23
2006-10-09,,29.22
2006-10-10,,29.62
2006-10-12,,30.18
2006-10-13,,30.4
2006-10-16,,30.39
2006-10-17,,29.92
2006-10-18,,29.94
2006-10-19,,29.64
2006-10-20,,29.74
2006-10-23,,29.95
2006-10-24,,29.92
2006-10-25,,29.79
2006-10-26,,29.86
2006-10-27,,29.8
2006-10-30,,29.6
2006-11-01,,29.87
2006-11-02,,29.48
2006-11-03,,29.43
2006-11-06,,29.78
2006-11-07,,30.18
2006-11-08,,30.05
2006-11-09,,30.18
2006-11-10,,29.82
2006-11-13,,30.08
2006-11-14,,30.08
2006-11-16,,30.67
2006-11-17,,30.5
2006-11-21,,30.9
2006-11-22,,31.07
2006-11-24,,30.61
2006-11-27,,30.03
2006-11-28,,29.64
2006-11-29,,30.01
2006-12-01,,29.29
2006-12-04,,29.66
2006-12-05,,29.86
2006-12-06,,29.79
2006-12-07,,30.15
2006-12-08,,30.04
2006-12-11,,30.34
2006-12-12,,30.33
2006-12-13,,30.5
2006-12-14,,30.5
2006-12-15,,30.71
2006-12-19,,30.56
2006-12-20,,30.65
2006-12-21,,30.63
2006-12-28,,30.81
2006-12-29,,30.85
2007-01-02,,31.22
2007-01-03,,31.53
2007-01-04,,31.43
2007-01-05,,31.05
2007-01-08,,31.19
2007-01-09,,31.3
2007-01-10,,30.8
2007-01-11,,31.5
2007-01-12,,30.99
2007-01-15,,31.22
2007-01-16,,31.42
2007-01-17,,31.38
2007-01-18,,30.95
2007-01-19,,30.96
2007-01-22,,30.68
2007-01-23,,30.06
2007-01-24,,30.32
2007-01-25,,31.14
2007-01-26,,30.93
2007-01-29,,30.89
2007-01-30,,31.06
2007-01-31,,30.75
2007-02-01,,30.92
2007-02-02,,30.52
2007-02-05,,30.71
2007-02-06,,30.56
2007-02-07,,30.84
2007-02-08,,30.79
2007-02-09,,30.72
2007-02-12,,30.63
2007-02-13,,30.49
2007-02-15,,31.04
2007-02-19,,31.18
2007-02-20,,30.97
2007-02-21,,30.86
2007-02-22,,30.77
2007-02-23,,30.96
2007-02-26,,30.93
2007-02-27,,30.07
2007-02-28,,29.73
2007-03-01,,29.45
2007-03-02,,29.4
2007-03-05,,29.18
2007-03-06,,29.15
2007-03-07,,29.19
2007-03-12,,29.67
2007-03-13,,29.42
2007-03-14,,28.87
2007-03-15,,29.15
2007-03-16,,29.39
2007-03-19,,29.75
2007-03-20,,29.75
2007-03-21,,29.88
2007-03-22,,30.54
2007-03-23,,30.45
2007-03-26,,30.17
2007-03-27,,30.09
