,MLLAB FP Equity_PX_LAST
2018-03-27,3.43
2018-07-16,3.45
2018-10-01,3.46
2018-11-15,3.47
2018-12-18,3.48
2019-02-07,3.48
2019-02-08,3.8
2019-02-11,4.02
2019-02-12,4.02
2019-02-13,4.0
2019-02-14,4.28
2019-02-15,4.64
2019-02-18,4.94
2019-02-19,5.06
2019-02-20,5.14
2019-02-21,5.201
2019-02-22,5.411
2019-02-25,6.011
2019-02-26,7.201
2019-03-06,7.3
2019-03-11,7.6
2019-03-12,7.6
2019-03-13,7.6
2019-03-15,6.0
2019-03-19,4.05
2019-03-21,4.4
2019-03-22,5.8
2019-03-25,6.349
2019-03-26,6.4
2019-03-27,7.2
2019-03-28,7.5
2019-03-29,7.5
2019-04-01,7.55
2019-04-02,7.6
2019-04-03,7.5
2019-04-04,7.6
2019-04-05,7.6
2019-04-08,7.7
2019-04-09,7.7
2019-04-11,7.55
2019-04-12,7.45
2019-04-16,6.0
2019-04-18,4.98
2019-04-23,5.45
2019-04-24,6.5
2019-04-25,6.9
2019-04-26,7.2
2019-04-29,7.15
2019-04-30,7.1
2019-05-03,4.74
2019-05-06,4.7
2019-05-07,4.7
2019-05-09,4.0
2019-05-10,4.0
2019-05-13,4.0
2019-05-15,3.0
2019-05-16,2.44
2019-05-21,1.8
2019-05-22,1.8
2019-05-29,1.9
2019-06-04,1.95
2019-06-07,2.0
2019-06-14,1.19
2019-06-17,1.3
2019-06-18,1.42
2019-06-19,1.5
2019-06-24,2.34
2019-06-25,2.8
2019-06-26,2.74
2019-07-02,2.46
2019-07-03,2.02
2019-07-04,2.1
2019-07-05,2.52
2019-07-08,2.64
2019-07-15,1.59
2019-07-16,1.65
2019-07-17,1.35
2019-07-19,1.41
2019-07-25,1.4
2019-07-31,2.56
2019-08-02,2.24
2019-09-04,1.7
2019-09-09,1.7
2019-10-03,0.6
2019-10-24,0.88
2019-10-25,0.88
2019-11-04,0.99
2019-11-06,1.29
2019-11-07,1.5
2019-11-08,1.5
2019-11-11,1.5
2019-11-13,2.0
2019-11-21,1.63
2019-11-25,2.0
2019-11-27,2.0
2019-12-02,2.0
2019-12-03,2.18
2019-12-04,2.18
2019-12-06,2.18
2019-12-10,2.8
2019-12-11,2.8
2019-12-12,3.08
2019-12-16,3.0
2019-12-24,3.0
2020-01-02,3.0
2020-02-04,3.3
2020-02-14,2.96
2020-02-17,2.9
2020-02-19,3.3
2020-02-20,3.3
2020-04-15,1.9
2020-04-27,1.9
2020-05-12,1.8
2020-05-13,1.9
2020-05-14,1.9
2020-05-15,2.0
2020-05-22,3.5
2020-05-25,3.9
2020-05-26,4.5
2020-05-29,4.0
2020-06-22,2.52
2020-06-24,3.5
2020-07-23,3.46
2020-07-24,3.5
2020-09-11,1.03
2020-09-16,1.1
2020-09-17,1.33
2020-09-18,1.46
2020-09-22,1.59
2020-09-24,1.59
2020-09-25,1.6
2020-09-28,1.59
2020-09-29,1.74
2020-09-30,1.74
2020-10-07,1.74
2020-10-08,1.58
2020-10-09,1.44
2020-10-12,1.44
2020-10-22,1.58
2020-10-28,1.58
2020-10-29,1.58
2020-11-10,1.43
2020-11-12,1.43
2020-11-16,1.16
2020-11-17,1.2
2020-11-18,1.27
2020-11-27,1.16
2020-12-02,1.6
2020-12-03,1.83
2020-12-07,1.74
2020-12-11,1.9
2020-12-23,2.1
2021-01-05,2.1
2021-01-08,2.3
2021-01-12,2.5
2021-01-14,2.5
2021-01-18,2.7
2021-01-20,2.88
2021-01-27,2.86
2021-03-16,3.0
2021-04-01,3.3
2021-04-07,3.48
2021-04-09,3.48
2021-05-03,3.38
2021-05-27,2.98
2021-06-28,2.9
2021-07-02,1.73
2021-07-06,1.91
2021-07-07,1.91
2021-07-12,2.1
2021-07-14,2.1
2021-07-22,2.48
2021-07-23,2.48
2021-07-26,2.08
2021-07-29,2.2
2021-07-30,2.2
2021-08-03,1.79
2021-08-04,2.04
2021-08-05,2.2
2021-08-06,2.2
2021-08-17,1.72
2021-08-18,2.02
