,CN1 FP Equity_DX_SI_QTY,CN1 FP Equity_DX_SHORT_INTEREST_VALUE,CN1 FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,CN1 FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,CN1 FP Equity_DX_SI_MV,CN1 FP Equity_DX_DSS,CN1 FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,CN1 FP Equity_DX_SUPPLY_SI_QTY,CN1 FP Equity_DX_BROKER_SI_QTY,CN1 FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,CN1 FP Equity_DX_BROKER_SI_MV_NEW_x,CN1 FP Equity_DX_SUPPLY_SI_QTY_NEW_x,CN1 FP Equity_DX_SUPPLY_SI_QTY_INC_x,CN1 FP Equity_DX_BROKER_SI_MV_INC_x,CN1 FP Equity_DX_SUPPLY_SI_MV_NEW,CN1 FP Equity_DX_BROKER_SI_QTY_ADD,CN1 FP Equity_DX_BROKER_SI_QTY_NEW,CN1 FP Equity_DX_SUPPLY_SI_MV_DEC,CN1 FP Equity_DX_BROKER_SI_QTY_INC,CN1 FP Equity_DX_SUPPLY_SI_QTY_DEC,CN1 FP Equity_DX_BROKER_SI_MV_NEW_y,CN1 FP Equity_DX_SUPPLY_SI_QTY_NEW_y,CN1 FP Equity_DX_BROKER_SI_MV_INC_y,CN1 FP Equity_DX_SUPPLY_SI_QTY_INC_y,CN1 FP Equity_DX_BROKER_SI_MV_ADD,CN1 FP Equity_DX_SUPPLY_SI_QTY_ADD,CN1 FP Equity_DX_BROKER_SI_QTY_DEC,CN1 FP Equity_DX_SUPPLY_SI_MV,CN1 FP Equity_DX_BROKER_SI_MV_DEC,CN1 FP Equity_DX_BROKER_SI_MV_RMV,CN1 FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,CN1 FP Equity_DX_UTILIZATION_QUANTITY,CN1 FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,CN1 FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,CN1 FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,CN1 FP Equity_DX_ACTIVE_UTILIZATION_MV,CN1 FP Equity_DX_BROKER_SI_MARKET_SHARE_2,CN1 FP Equity_DX_BROKER_SI_CON_RATIO,CN1 FP Equity_DX_BROKER_SI_MARKET_SHARE_1,CN1 FP Equity_DX_DEMAND_SUPPLY_RATIO
2010-02-19,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,5210.0,902007.3,0.9,0.0,,0.0,,0.0
2010-02-22,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,5210.0,903309.8,0.9,0.0,,0.0,,0.0
2010-02-23,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,5210.0,896276.3,0.9,0.0,,0.0,,0.0
2010-02-24,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,5210.0,897839.3,0.89,0.0,,0.0,,0.0
2010-02-25,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,5210.0,886221.1,0.88,0.0,,0.0,,0.0
2010-02-26,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,5210.0,902580.4,0.89,0.0,,0.0,,0.0
2010-03-01,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,5210.0,915970.1,0.9,0.0,,0.0,,0.0
2010-03-02,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,5210.0,920086.1,0.89,0.0,,0.0,,0.0
2010-03-03,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,5210.0,927275.8,0.9,0.0,,0.0,,0.0
2010-03-04,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,5210.0,927640.5,0.93,0.0,,0.0,,0.0
2010-03-05,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,5210.0,945406.6,0.93,0.0,,0.0,,0.0
