,ASI FP Equity_DX_SI_QTY,ASI FP Equity_DX_SHORT_INTEREST_VALUE,ASI FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ASI FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ASI FP Equity_DX_SI_MV,ASI FP Equity_DX_DSS,ASI FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ASI FP Equity_DX_SUPPLY_SI_QTY,ASI FP Equity_DX_BROKER_SI_QTY,ASI FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ASI FP Equity_DX_BROKER_SI_MV_NEW_x,ASI FP Equity_DX_SUPPLY_SI_QTY_NEW_x,ASI FP Equity_DX_SUPPLY_SI_QTY_INC_x,ASI FP Equity_DX_BROKER_SI_MV_INC_x,ASI FP Equity_DX_SUPPLY_SI_MV_NEW,ASI FP Equity_DX_BROKER_SI_QTY_ADD,ASI FP Equity_DX_BROKER_SI_QTY_NEW,ASI FP Equity_DX_SUPPLY_SI_MV_DEC,ASI FP Equity_DX_BROKER_SI_QTY_INC,ASI FP Equity_DX_SUPPLY_SI_QTY_DEC,ASI FP Equity_DX_BROKER_SI_MV_NEW_y,ASI FP Equity_DX_SUPPLY_SI_QTY_NEW_y,ASI FP Equity_DX_BROKER_SI_MV_INC_y,ASI FP Equity_DX_SUPPLY_SI_QTY_INC_y,ASI FP Equity_DX_BROKER_SI_MV_ADD,ASI FP Equity_DX_SUPPLY_SI_QTY_ADD,ASI FP Equity_DX_BROKER_SI_QTY_DEC,ASI FP Equity_DX_SUPPLY_SI_MV,ASI FP Equity_DX_BROKER_SI_MV_DEC,ASI FP Equity_DX_SUPPLY_SI_MV_RMV,ASI FP Equity_DX_BROKER_SI_MV_RMV,ASI FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ASI FP Equity_DX_UTILIZATION_QUANTITY,ASI FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ASI FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ASI FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,ASI FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ASI FP Equity_DX_ACTIVE_UTILIZATION_MV,ASI FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ASI FP Equity_DX_BROKER_SI_CON_RATIO,ASI FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ASI FP Equity_DX_DEMAND_SUPPLY_RATIO
2006-01-11,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.04,0.0,,0.0,,0.0
2006-01-18,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.04,0.0,,0.0,,0.0
2006-01-25,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.04,0.0,,0.0,,0.0
2006-02-01,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.04,0.0,,0.0,,0.0
2006-02-08,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.05,0.0,,0.0,,0.0
2006-02-15,9300.0,604498.94,0.52,0.17,0.66,,604498.94,0.0,9300.0,0.0,,,,,,9300.0,,,,,,,,,0.66,,,0.0,,,,0.0,0.0,670.0,43549.92,,0.05,0.0,,1.0,100.0,13.8806
2006-02-22,9300.0,625066.46,0.51,0.15,0.67,,625066.46,0.0,9300.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,848.0,56995.31,,0.06,0.0,,1.0,100.0,10.967
2006-03-01,12300.0,796923.9,0.69,0.2,0.91,,796923.9,0.0,12300.0,0.0,,,,0.23,,,,,3000.0,,,,0.23,,,,,0.0,,,,0.0,0.0,5146.0,333412.23,,0.0,0.0,,1.0,100.0,2.3902
2006-03-08,4545.0,280657.39,0.25,0.07,0.34,,274111.81,106.0,4439.0,6545.58,,,,,,139.0,,,,,,,,,0.01,106.0,8000.0,0.01,0.58,,,1.96,1.96,5292.0,326785.24,,0.0,0.0,2.86,0.9445,97.14,0.842
2006-03-15,4542.0,287375.43,0.24,0.07,0.34,,280858.55,103.0,4439.0,6516.88,,,,,,,,0.0,,3.0,,,,,,,,0.01,,,,1.91,1.91,5260.0,332803.78,,0.0,0.0,2.95,0.9428,97.05,0.8469
2006-03-22,4542.0,288326.19,0.28,0.07,0.34,,281787.75,103.0,4439.0,6538.44,,,0.0,,,,,,,,,,,0.0,,,,0.01,,,,1.85,1.85,5454.0,346219.95,,0.0,0.0,2.93,0.9431,97.07,0.8173
2006-03-29,10542.0,685996.34,0.64,0.16,0.77,,678968.49,2631.0,10434.0,171206.26,,,2528.0,0.25,,2495.0,,,3500.0,,,,0.25,2528.0,0.18,,,0.19,,,,38.56,38.56,4192.0,272784.73,,0.0,0.0,23.91,0.6167,74.79,1.5451
2006-04-05,11800.0,779993.17,0.73,0.18,0.87,,779993.17,0.0,11800.0,0.0,,,,0.31,,,,0.19,4000.0,2631.0,,,0.31,,,,2634.0,0.0,0.19,,,0.0,0.0,6861.0,453519.76,,0.0,0.0,,1.0,100.0,1.7199
2006-04-12,14800.0,975198.51,0.9,0.26,1.09,,975198.51,0.0,14800.0,0.0,,,,,,3000.0,,,,,,,,,0.22,,,0.0,,,,0.0,0.0,6927.0,456432.44,,0.0,0.0,19.97,0.6804,80.03,2.1366
2006-04-19,25300.0,1726929.2,1.4,0.44,1.87,,1726929.2,0.0,25300.0,0.0,,,,0.8,,,,,10500.0,,,,0.8,,,,,0.0,,,,0.0,0.0,7021.0,479239.92,,0.0,0.0,23.3,0.6426,76.7,3.6035
2006-04-26,30900.0,2050117.51,1.47,0.54,2.29,,2050117.51,0.0,30900.0,0.0,,,,0.64,,,,,8500.0,,,,0.64,,,,2900.0,0.0,0.2,,,0.0,0.0,6967.0,462238.47,,0.0,0.0,46.75,0.5021,53.25,4.4352
2006-05-03,60900.0,4101490.97,2.3,0.98,4.49,,4101490.97,0.0,60900.0,0.0,,,,2.23,,,,,30000.0,,,,2.23,,,,,0.0,,,,0.0,0.0,6893.0,464229.51,,0.0,0.0,48.14,0.5007,51.86,8.8351
2006-05-10,60900.0,4195714.41,2.35,0.98,4.49,,4195714.41,0.0,60900.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,7179.0,494598.26,,0.0,0.0,48.08,0.5007,51.92,8.4831
2006-05-17,60900.0,4122552.68,2.17,0.98,4.48,,4122552.68,0.0,60900.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,6534.0,442311.32,,0.0,0.0,48.14,0.5007,51.86,9.3205
2006-05-24,60900.0,3848750.45,2.02,0.98,4.48,,3848750.45,0.0,60900.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,6612.0,417864.33,,0.0,0.0,48.22,0.5006,51.78,9.2105
2006-05-31,61713.0,3793977.58,2.18,0.99,4.53,,3770431.59,383.0,61330.0,23545.99,,,,,,430.0,,,,,,,,,0.03,383.0,,0.03,,,,5.72,5.72,6308.0,387801.77,,0.0,0.0,47.94,0.4942,51.42,9.2233
2006-06-07,61704.0,3787808.55,2.4,0.99,4.53,,3764849.9,374.0,61330.0,22958.65,,,,,,,,0.0,,8.0,,,,,,,,0.03,,,,5.41,5.41,6547.0,401899.11,,0.48,5.41,47.92,0.4942,51.44,8.9155
2006-06-14,61686.0,3422910.57,2.95,0.99,4.51,,3403156.39,356.0,61330.0,19754.18,,,,,,,,0.0,,19.0,,,,,,,,0.03,,,,5.4,5.4,6236.0,346031.03,,0.46,5.4,48.1,0.4947,51.31,9.3577
2006-06-21,61690.0,3597180.59,3.25,0.99,4.52,,3576188.78,360.0,61330.0,20991.81,,,5.0,,,,,,,,,,,5.0,,,,0.03,,,,5.43,5.43,6275.0,365898.98,,0.46,5.43,48.04,0.4945,51.35,9.2977
2006-06-28,72603.0,4413913.08,4.33,1.17,5.18,,4390810.9,3544.0,72223.0,215458.15,,,3183.0,,,10893.0,,,,,,,,3183.0,0.78,,,0.25,,,,50.78,50.78,3434.0,208770.68,,0.0,0.0,41.95,0.3786,42.41,10.4046
2006-07-03,71516.0,4552853.56,4.44,1.15,5.07,,4527770.72,3677.0,71122.0,234085.28,,,133.0,0.03,,,,,799.0,,,,0.03,133.0,,,1900.0,0.26,0.08,,,50.63,50.63,3586.0,228292.03,,0.0,0.0,40.88,0.3756,42.9,9.848
2006-07-04,71524.0,4518211.81,4.61,1.15,5.07,,4492817.24,402.0,71122.0,25394.57,,,,,,,,0.23,,3274.0,,,,,,,,0.03,,,,5.4,5.4,7054.0,445605.2,,0.0,0.0,40.86,0.3754,42.88,9.5915
2006-07-05,68129.0,4247323.43,4.79,1.1,4.83,,4222448.82,399.0,67730.0,24874.61,,,,,,,,0.0,,3.0,,,,,,,3392.0,0.03,0.24,,,5.4,5.4,6992.0,435897.86,,0.0,0.0,42.88,0.3997,45.0,9.2178
2006-07-06,59820.0,3801184.94,4.24,0.96,4.28,,3776402.9,390.0,59430.0,24782.05,,,,,,,,0.0,,9.0,,,,,,,8300.0,0.03,0.55,,,5.4,5.4,6836.0,434384.83,,0.49,5.4,48.45,0.4933,50.84,8.2784
2006-07-07,59828.0,3740709.39,4.41,0.96,4.27,,3715824.68,398.0,59430.0,24884.71,,,8.0,,,,,,,,,,,8.0,,,,0.03,,,,5.43,5.43,6934.0,433544.14,,0.5,5.43,48.45,0.4934,50.85,8.1598
