,STK FP Equity_DX_SI_QTY,STK FP Equity_DX_SHORT_INTEREST_VALUE,STK FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,STK FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,STK FP Equity_DX_SI_MV,STK FP Equity_DX_DSS,STK FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,STK FP Equity_DX_SUPPLY_SI_QTY,STK FP Equity_DX_BROKER_SI_QTY,STK FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,STK FP Equity_DX_SUPPLY_SI_QTY_INC_x,STK FP Equity_DX_BROKER_SI_MV_INC_x,STK FP Equity_DX_BROKER_SI_QTY_ADD,STK FP Equity_DX_SUPPLY_SI_MV_DEC,STK FP Equity_DX_BROKER_SI_QTY_INC,STK FP Equity_DX_SUPPLY_SI_QTY_DEC,STK FP Equity_DX_BROKER_SI_MV_INC_y,STK FP Equity_DX_SUPPLY_SI_QTY_INC_y,STK FP Equity_DX_BROKER_SI_MV_ADD,STK FP Equity_DX_SUPPLY_SI_QTY_ADD,STK FP Equity_DX_BROKER_SI_QTY_DEC,STK FP Equity_DX_SUPPLY_SI_MV,STK FP Equity_DX_BROKER_SI_MV_DEC,STK FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,STK FP Equity_DX_UTILIZATION_QUANTITY,STK FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,STK FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,STK FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,STK FP Equity_DX_ACTIVE_UTILIZATION_MV,STK FP Equity_DX_BROKER_SI_MARKET_SHARE_2,STK FP Equity_DX_BROKER_SI_CON_RATIO,STK FP Equity_DX_BROKER_SI_MARKET_SHARE_1,STK FP Equity_DX_DEMAND_SUPPLY_RATIO
2006-08-08,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.07,0.0,,0.0,,
2006-08-09,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.25,0.0,,0.0,,
2006-08-10,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.25,0.0,,0.0,,
2006-08-11,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.27,0.0,,0.0,,
2006-08-14,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.25,0.0,,0.0,,
2006-08-15,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.25,0.0,,0.0,,
2006-08-16,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.26,0.0,,0.0,,
2006-08-17,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.27,0.0,,0.0,,
2006-08-18,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.27,0.0,,0.0,,
2006-08-21,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.27,0.0,,0.0,,
2006-08-22,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.27,0.0,,0.0,,
2006-08-23,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.27,0.0,,0.0,,
2006-08-24,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.27,0.0,,0.0,,
2006-08-25,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.26,0.0,,0.0,,
2006-08-28,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.27,0.0,,0.0,,
2006-08-29,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.27,0.0,,0.0,,
2006-08-30,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.27,0.0,,0.0,,
