,MLPLC FP Equity_PX_LAST
1992-03-11,146.808
1992-03-12,161.748
1992-03-13,178.213
1992-03-16,160.986
1992-03-17,145.436
1992-03-18,160.224
1992-03-19,176.536
1992-03-20,194.372
1992-03-23,175.621
1992-03-24,1.587
1992-03-25,143.302
1992-03-30,142.845
1992-03-31,157.327
1992-04-02,167.999
1992-04-03,185.073
1992-04-06,185.073
1992-04-27,167.694
1992-05-07,167.694
1992-05-11,167.694
1992-05-12,167.694
1992-05-13,167.694
1992-05-14,167.694
1992-05-15,167.694
1992-05-21,167.694
1992-05-25,151.382
1992-05-26,139.034
1992-06-16,141.778
1992-06-17,138.729
1992-06-18,137.204
1992-06-23,129.582
1992-06-30,129.734
1992-09-14,114.642
1992-09-15,103.665
1992-09-16,93.756
1992-09-18,93.146
1992-09-29,93.146
1992-12-22,84.152
1992-12-23,76.042
1992-12-24,68.648
1992-12-28,61.971
1992-12-29,55.934
1992-12-30,56.406
1993-01-15,62.184
1993-01-18,56.132
1993-01-19,50.674
1993-01-20,51.833
1993-01-21,50.766
1993-01-22,51.833
1993-03-09,54.119
1993-03-11,56.559
1993-04-28,62.352
1993-04-29,64.029
1993-04-30,64.029
1993-05-17,64.181
1993-06-01,70.599
1993-06-02,77.597
1993-06-03,85.219
1993-06-04,93.604
1993-06-07,102.903
1993-06-08,113.117
1993-06-09,124.398
1993-06-10,129.582
1993-06-16,131.259
1993-06-18,131.259
1993-06-23,129.429
1993-06-28,129.429
1993-07-07,116.623
1993-07-08,105.342
1993-08-11,107.019
1993-08-23,109.306
1993-08-24,120.13
1993-08-25,121.959
1993-09-17,123.941
1993-09-21,123.941
1993-09-24,136.289
1993-09-27,149.857
1993-09-28,149.4
1993-09-29,152.297
1993-09-30,152.297
1993-10-04,137.204
1993-10-05,128.819
1993-10-06,128.21
1993-10-07,129.582
1993-10-08,142.387
1993-10-12,142.692
1993-10-20,142.692
1993-10-27,152.297
1993-10-28,152.297
1993-10-29,143.302
1993-11-02,146.351
1993-11-10,149.4
1993-11-11,149.4
1993-12-03,160.071
1993-12-06,161.901
1993-12-08,179.89
1993-12-15,179.89
1993-12-16,178.365
1993-12-23,167.694
1993-12-29,167.694
1994-01-04,167.694
1994-01-05,167.846
1994-01-07,175.316
1994-01-10,175.316
1994-01-11,169.218
1994-01-14,175.316
1994-01-17,176.841
1994-01-18,194.525
1994-05-25,213.276
1994-05-26,212.819
1994-06-01,212.209
1994-06-02,216.02
1994-06-06,228.674
1994-06-07,251.541
1994-06-16,251.541
1994-06-20,259.163
1994-06-28,259.163
1994-06-29,259.163
1994-06-30,274.408
1994-07-06,268.768
1994-07-07,261.755
1994-07-25,270.597
1994-07-26,266.786
1994-07-27,266.786
1994-08-01,274.256
1994-08-02,274.256
1994-08-03,274.561
1994-08-05,275.018
1994-08-10,275.018
1994-08-11,274.561
1994-08-16,273.798
1994-08-17,274.103
1994-08-18,274.103
1994-08-22,274.103
1994-08-25,274.408
1994-08-26,274.713
1994-09-01,274.408
1994-09-02,274.408
1994-09-07,275.17
1994-09-08,274.713
1994-09-09,274.713
1994-09-13,274.408
1994-09-14,274.408
1994-09-22,274.408
1994-09-28,274.713
1994-10-05,274.408
1994-10-06,246.967
1994-10-07,271.664
1994-10-10,273.036
1994-10-12,273.036
1994-10-14,274.408
1994-10-24,273.646
1994-11-08,273.494
1994-11-09,273.341
1994-11-16,274.408
1994-11-17,266.786
1994-11-21,266.786
1994-11-23,261.45
1994-11-30,261.45
1994-12-05,261.45
1994-12-09,266.786
1994-12-12,265.261
1994-12-13,261.603
1994-12-21,262.975
1994-12-22,266.024
1994-12-27,266.786
1995-01-10,266.786
1995-01-23,274.408
1995-01-24,275.17
1995-01-25,274.408
1995-01-26,274.408
1995-02-08,276.238
1995-02-13,282.031
1995-02-24,289.653
1995-03-01,318.618
1995-03-02,321.667
1995-03-06,323.649
1995-03-07,355.968
1995-03-09,350.48
1995-03-13,350.48
1995-03-15,350.633
1995-03-17,350.633
1995-03-20,351.09
1995-03-21,350.938
1995-03-22,350.938
1995-03-23,350.938
1995-03-24,352.157
1995-03-28,351.09
1995-03-29,353.682
1995-03-30,351.09
1995-04-03,355.206
1995-04-07,358.255
1995-04-11,359.78
1995-04-13,378.074
1995-04-18,373.653
1995-04-19,373.5
1995-04-24,373.5
1995-04-25,377.921
1995-04-27,378.836
