,ALHYP FP Equity_DX_SI_QTY,ALHYP FP Equity_DX_SHORT_INTEREST_VALUE,ALHYP FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALHYP FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALHYP FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALHYP FP Equity_DX_SI_MV,ALHYP FP Equity_DX_DSS,ALHYP FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALHYP FP Equity_DX_SUPPLY_SI_QTY,ALHYP FP Equity_DX_BROKER_SI_QTY,ALHYP FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALHYP FP Equity_DX_BROKER_SI_MV_NEW_x,ALHYP FP Equity_DX_SUPPLY_SI_QTY_NEW_x,ALHYP FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALHYP FP Equity_DX_BROKER_SI_MV_INC_x,ALHYP FP Equity_DX_SUPPLY_SI_MV_NEW,ALHYP FP Equity_DX_BROKER_SI_QTY_ADD,ALHYP FP Equity_DX_BROKER_SI_QTY_NEW,ALHYP FP Equity_DX_SUPPLY_SI_MV_DEC,ALHYP FP Equity_DX_BROKER_SI_QTY_INC,ALHYP FP Equity_DX_SUPPLY_SI_QTY_DEC,ALHYP FP Equity_DX_BROKER_SI_MV_NEW_y,ALHYP FP Equity_DX_SUPPLY_SI_QTY_NEW_y,ALHYP FP Equity_DX_BROKER_SI_MV_INC_y,ALHYP FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALHYP FP Equity_DX_BROKER_SI_MV_ADD,ALHYP FP Equity_DX_SUPPLY_SI_QTY_ADD,ALHYP FP Equity_DX_BROKER_SI_QTY_DEC,ALHYP FP Equity_DX_SUPPLY_SI_MV,ALHYP FP Equity_DX_BROKER_SI_MV_DEC,ALHYP FP Equity_DX_SUPPLY_SI_MV_RMV,ALHYP FP Equity_DX_BROKER_SI_MV_RMV,ALHYP FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALHYP FP Equity_DX_UTILIZATION_QUANTITY,ALHYP FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALHYP FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALHYP FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,ALHYP FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALHYP FP Equity_DX_ACTIVE_UTILIZATION_MV,ALHYP FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALHYP FP Equity_DX_BROKER_SI_CON_RATIO,ALHYP FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALHYP FP Equity_DX_DEMAND_SUPPLY_RATIO,ALHYP FP Equity_PX_LAST
2015-06-29,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,230529.0,269718.93,,0.27,0.0,0.0,0.0,0.0,0.0,1.17
2015-06-30,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,230529.0,274329.51,,0.27,0.0,,0.0,,0.0,1.19
2015-07-01,89433.0,110002.59,0.16,8.17,0.16,0.11,0.0,88133.19,17780.0,71653.0,21869.4,,,,,,71653.0,,,,,,,,,0.09,17780.0,,0.02,,,,100.0,1.67,0.0,0.0,,0.0,100.0,11.0,0.407,60.65,0.0842,1.23
2015-07-02,292035.0,423450.75,0.54,18.8,0.54,0.36,0.0,397669.75,17780.0,274255.0,25781.0,,,,,,202602.0,,,,,,,,,0.25,,,0.02,,,,100.0,1.66,0.0,0.0,,0.0,100.0,18.89,0.4953,67.41,0.2721,1.45
2015-07-03,532035.0,771450.75,0.98,15.04,0.98,0.76,0.0,745669.75,17780.0,514255.0,25781.0,,,,,,240000.0,,,,,,,,,0.35,,,0.03,,,,100.0,1.61,0.0,0.0,,0.0,100.0,37.66,0.3814,48.0,0.4828,1.45
2015-07-06,568035.0,891814.95,1.04,11.53,1.04,0.86,0.0,879600.35,17780.0,560255.0,27914.6,,,,,,125000.0,,,,,,,,,0.2,,79000.0,0.03,0.1,,,100.0,1.61,0.0,0.0,,0.0,100.0,33.13,0.3926,52.21,0.5155,1.57
2015-07-07,564035.0,885534.95,1.12,8.93,1.03,0.88,0.0,873320.35,7780.0,556255.0,12214.6,,,,,,,,0.01,,10000.0,,,,,,,4000.0,0.01,0.01,,,100.0,0.71,0.0,0.0,,0.0,100.0,34.83,0.3816,49.91,0.5118,1.57
2015-07-08,481986.0,737438.58,0.95,6.73,0.88,0.74,0.0,720253.62,11232.0,470754.0,17184.96,,,,,,,,,,,,,,,,3452.0,85501.0,0.02,0.13,,,1.02,1.02,1090773.0,1668882.69,,1.7,1.02,23.33,0.405,57.85,0.4374,1.53
2015-07-09,556986.0,835479.0,1.1,7.48,1.02,0.84,0.0,818631.0,136232.0,545754.0,204348.0,,,,0.19,,,,,125000.0,,,,0.19,,,125000.0,50000.0,0.21,0.08,,,12.36,12.36,965773.0,1448659.5,,1.47,12.44,20.1,0.4805,65.47,0.5054,1.5
2015-07-10,895986.0,1209581.1,1.77,11.57,1.64,1.29,0.0,730017.9,520232.0,540754.0,702313.2,,,384000.0,0.02,,,,,40000.0,,,,0.02,384000.0,,,45000.0,0.78,0.08,,,100.0,47.21,0.0,0.0,,0.0,100.0,37.93,0.3251,40.0,0.8131,1.35
