,CEU2 FP Equity_DX_SI_QTY,CEU2 FP Equity_DX_SHORT_INTEREST_VALUE,CEU2 FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,CEU2 FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,CEU2 FP Equity_DX_SI_MV,CEU2 FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,CEU2 FP Equity_DX_SUPPLY_SI_QTY,CEU2 FP Equity_DX_BROKER_SI_QTY,CEU2 FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,CEU2 FP Equity_DX_SUPPLY_SI_QTY_INC_x,CEU2 FP Equity_DX_BROKER_SI_MV_INC_x,CEU2 FP Equity_DX_BROKER_SI_QTY_ADD,CEU2 FP Equity_DX_SUPPLY_SI_MV_DEC,CEU2 FP Equity_DX_BROKER_SI_QTY_INC,CEU2 FP Equity_DX_SUPPLY_SI_QTY_DEC,CEU2 FP Equity_DX_BROKER_SI_MV_INC_y,CEU2 FP Equity_DX_SUPPLY_SI_QTY_INC_y,CEU2 FP Equity_DX_BROKER_SI_MV_ADD,CEU2 FP Equity_DX_SUPPLY_SI_QTY_ADD,CEU2 FP Equity_DX_BROKER_SI_QTY_DEC,CEU2 FP Equity_DX_SUPPLY_SI_MV,CEU2 FP Equity_DX_BROKER_SI_MV_DEC,CEU2 FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,CEU2 FP Equity_DX_UTILIZATION_QUANTITY,CEU2 FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,CEU2 FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,CEU2 FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,CEU2 FP Equity_DX_ACTIVE_UTILIZATION_MV,CEU2 FP Equity_DX_BROKER_SI_MARKET_SHARE_2,CEU2 FP Equity_DX_BROKER_SI_CON_RATIO,CEU2 FP Equity_DX_BROKER_SI_MARKET_SHARE_1,CEU2 FP Equity_DX_DEMAND_SUPPLY_RATIO
2018-05-11,10000.0,603620.0,0.47,0.54,0.6,603620.0,0.0,10000.0,0.0,,,10000.0,,,,,,0.6,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2018-05-14,10000.0,604110.0,0.47,0.54,0.6,604110.0,0.0,10000.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2018-05-15,10000.0,604870.0,0.46,0.54,0.6,604870.0,0.0,10000.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2018-05-16,10000.0,606380.0,0.46,0.54,0.6,606380.0,0.0,10000.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2018-05-17,23000.0,1402954.0,1.12,1.24,1.39,1402954.0,0.0,23000.0,0.0,,0.4,6500.0,,6500.0,,0.4,,0.39,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,28.26,0.5945,71.74,0.0
2018-05-18,23000.0,1399987.0,1.13,1.24,1.4,1399987.0,0.0,23000.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,28.26,0.5945,71.74,0.0
2018-05-21,23000.0,1406772.0,1.13,1.24,1.4,1406772.0,0.0,23000.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,28.3,0.5941,71.7,0.0
2018-05-22,23000.0,1410015.0,1.14,1.24,1.41,1410015.0,0.0,23000.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,28.26,0.5945,71.74,0.0
2018-05-23,23000.0,1393616.0,1.14,1.24,1.41,1393616.0,0.0,23000.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,28.26,0.5945,71.74,0.0
2018-05-24,23000.0,1385865.0,1.14,1.24,1.39,1385865.0,0.0,23000.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,28.26,0.5945,71.74,0.0
2018-05-25,23000.0,1387015.0,1.2,1.24,1.39,1387015.0,0.0,23000.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,28.26,0.5945,71.74,0.0
2018-05-28,23000.0,1382392.0,1.2,1.24,1.39,1382392.0,0.0,23000.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,28.26,0.5945,71.74,0.0
2018-05-29,13000.0,771849.0,0.68,0.7,0.78,771849.0,0.0,13000.0,0.0,,,,,,,,,,,10000.0,0.0,0.61,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.5,50.0,0.0
2018-05-30,13000.0,773877.0,0.68,0.7,0.77,773877.0,0.0,13000.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.5,50.0,0.0
2018-05-31,24600.0,1455532.8,1.28,1.32,1.47,1455532.8,0.0,24600.0,0.0,,0.7,,,11600.0,,0.7,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.5,50.0,0.0
2018-06-01,24600.0,1472088.6,1.32,1.32,1.46,1472088.6,0.0,24600.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.5,50.0,0.0
2018-06-04,24600.0,1474917.6,1.32,1.32,1.47,1474917.6,0.0,24600.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.5,50.0,0.0
2018-06-05,24600.0,1470489.6,1.32,1.32,1.48,1470489.6,0.0,24600.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.5,50.0,0.0
2018-06-06,24600.0,1471080.0,1.32,1.32,1.47,1471080.0,0.0,24600.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.5,50.0,0.0
2018-06-07,24600.0,1467955.8,1.32,1.32,1.47,1467955.8,0.0,24600.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.5,50.0,0.0
2018-06-08,24600.0,1465446.6,1.32,1.32,1.47,1465446.6,0.0,24600.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.5,50.0,0.0
2018-06-11,24600.0,1476688.8,1.3,1.32,1.46,1476688.8,0.0,24600.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.5,50.0,0.0
