,ALHAF FP Equity_DX_SI_QTY,ALHAF FP Equity_DX_SHORT_INTEREST_VALUE,ALHAF FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALHAF FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALHAF FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALHAF FP Equity_DX_SI_MV,ALHAF FP Equity_DX_DSS,ALHAF FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALHAF FP Equity_DX_SUPPLY_SI_QTY,ALHAF FP Equity_DX_BROKER_SI_QTY,ALHAF FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALHAF FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALHAF FP Equity_DX_BROKER_SI_MV_INC_x,ALHAF FP Equity_DX_BROKER_SI_QTY_ADD,ALHAF FP Equity_DX_SUPPLY_SI_MV_DEC,ALHAF FP Equity_DX_BROKER_SI_QTY_INC,ALHAF FP Equity_DX_SUPPLY_SI_QTY_DEC,ALHAF FP Equity_DX_BROKER_SI_MV_INC_y,ALHAF FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALHAF FP Equity_DX_BROKER_SI_MV_ADD,ALHAF FP Equity_DX_SUPPLY_SI_QTY_ADD,ALHAF FP Equity_DX_BROKER_SI_QTY_DEC,ALHAF FP Equity_DX_SUPPLY_SI_MV,ALHAF FP Equity_DX_BROKER_SI_MV_DEC,ALHAF FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALHAF FP Equity_DX_UTILIZATION_QUANTITY,ALHAF FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALHAF FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALHAF FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALHAF FP Equity_DX_ACTIVE_UTILIZATION_MV,ALHAF FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALHAF FP Equity_DX_BROKER_SI_CON_RATIO,ALHAF FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALHAF FP Equity_DX_DEMAND_SUPPLY_RATIO,ALHAF FP Equity_PX_LAST
2022-02-11,0.0,,,,,0.0,,,0.0,0.0,,,,,,,,,,,,,0.0,,0.0,0.0,34300.0,,0.33,0.0,,0.0,,,
2022-02-14,0.0,0.0,,,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,34300.0,274400.0,0.33,0.0,,0.0,,0.0,8.0
2022-02-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.45
2022-02-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9
2022-02-17,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,1000000.0,7600000.0,7.9,0.0,,0.0,,0.0,7.6
2022-02-18,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,1000000.0,7700000.0,7.63,0.0,,0.0,,0.0,7.7
2022-02-21,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,1000000.0,7500000.0,7.72,0.0,,0.0,,0.0,7.5
2022-02-22,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,1000000.0,7100000.0,7.51,0.0,,0.0,,0.0,7.1
2022-02-23,13334.0,97071.52,0.03,0.41,0.03,0.09,0.0,97071.52,13334.0,13334.0,97071.52,,,13334.0,,,,,,0.09,13334.0,,0.09,,1.33,1.33,986666.0,7182928.48,7.03,1.33,,1.0,100.0,0.0133,7.28
2022-02-24,13334.0,94538.06,0.03,0.4,0.03,0.1,0.0,94538.06,13334.0,13334.0,94538.06,,,,,,,,,,,,0.1,,1.33,1.33,986666.0,6995461.94,7.27,1.33,,1.0,100.0,0.0133,7.09
2022-02-25,13334.0,95871.46,0.03,0.38,0.03,0.09,0.0,95871.46,13334.0,13334.0,95871.46,,,,,,,,,,,,0.09,,1.33,1.33,986666.0,7094128.54,6.9,1.33,,1.0,100.0,0.0133,7.19
2022-02-28,13334.0,95871.46,0.03,0.37,0.03,0.1,0.0,95871.46,13334.0,13334.0,95871.46,,,,,,,,,,,,0.1,,1.33,1.33,986666.0,7094128.54,7.11,1.33,,1.0,100.0,0.0133,7.19
2022-03-01,18479.0,131662.88,0.04,0.51,0.04,0.14,0.0,131662.88,18479.0,18479.0,131662.88,5145.0,,5145.0,,,,,5145.0,0.04,,,0.13,,1.85,1.84,981521.0,6993337.13,7.13,1.85,29.91,0.5808,70.09,0.0184,7.125
2022-03-02,18479.0,134896.7,0.04,0.5,0.04,0.13,0.0,134896.7,18479.0,18479.0,134896.7,,,,,,,,,,,,0.13,,1.85,1.84,981521.0,7165103.3,7.01,1.85,27.86,0.5981,72.14,0.0184,7.3
2022-03-03,15057.0,110819.52,0.03,0.4,0.03,0.11,0.0,110819.52,15057.0,15057.0,110819.52,,,,0.02,,3422.0,,,,,3422.0,0.11,0.02,1.51,1.5,984943.0,7249180.48,7.19,1.51,11.44,0.7973,88.56,0.015,7.36
2022-03-04,15057.0,111722.94,0.03,0.4,0.03,0.11,0.0,111722.94,15057.0,15057.0,111722.94,,,,,,,,,,,,0.11,,1.51,1.5,984943.0,7308277.06,7.34,1.51,11.44,0.7973,88.56,0.015,7.42
2022-03-07,15057.0,112024.08,0.03,0.39,0.03,0.11,0.0,112024.08,15057.0,15057.0,112024.08,,,,,,,,,,,,0.11,,1.51,1.5,984943.0,7327975.92,7.35,1.51,11.44,0.7973,88.56,0.015,7.44
2022-03-08,15057.0,115336.62,0.03,0.37,0.03,0.11,0.0,115336.62,15057.0,15057.0,115336.62,,,,,,,,,,,,0.11,,1.51,1.5,984943.0,7544663.38,7.31,1.51,11.44,0.7973,88.56,0.015,7.66
2022-03-09,28036.0,212512.88,0.06,0.68,0.06,0.22,0.0,212512.88,28036.0,28036.0,212512.88,12979.0,0.1,,,12979.0,,0.1,12979.0,,,,0.21,,2.8,2.79,971964.0,7367487.12,7.31,2.8,47.02,0.5018,52.98,0.0279,7.58
2022-03-10,26813.0,214504.0,0.06,0.61,0.06,0.2,0.0,214504.0,26313.0,26813.0,210504.0,,0.0,,0.01,500.0,1723.0,0.0,,,,1723.0,0.2,0.02,2.63,2.61,973687.0,7789496.0,7.42,2.63,48.43,0.5005,51.57,0.0266,8.0
2022-03-11,30407.0,241431.58,0.07,0.67,0.07,0.24,0.0,241431.58,26313.0,30407.0,208925.22,,0.03,,,3594.0,,0.03,,,,,0.21,,2.63,2.61,973687.0,7731074.78,7.86,2.63,45.51,0.504,54.49,0.0302,7.94
2022-03-14,18572.0,139290.0,0.04,0.39,0.04,0.15,0.0,139290.0,18072.0,18572.0,135540.0,,,,0.1,,11835.0,,,,3594.0,11835.0,0.14,0.1,1.8,1.8,985522.0,7391415.0,7.84,1.8,25.52,0.6199,74.48,0.0185,7.5
2022-03-15,33572.0,251790.0,0.08,0.66,0.08,0.26,0.0,251790.0,33072.0,33572.0,248040.0,15000.0,0.12,,,15000.0,,0.12,15000.0,,,,0.25,,3.3,3.29,970522.0,7278915.0,7.3,3.29,39.45,0.5223,60.55,0.0334,7.5
2022-03-16,32428.0,259424.0,0.07,0.6,0.07,0.24,0.0,259424.0,31928.0,32428.0,255424.0,,,,0.01,,1144.0,,,,,1144.0,0.24,0.02,3.18,3.18,971666.0,7773328.0,7.25,3.18,42.65,0.5108,57.35,0.0323,8.0
2022-03-17,18526.0,143576.5,0.04,0.34,0.04,0.15,0.0,143576.5,18026.0,18526.0,139701.5,,,,0.1,,13902.0,,,,,13902.0,0.14,0.1,1.8,1.8,985568.0,7638152.0,7.81,1.8,25.33,0.6217,74.67,0.0184,7.75
2022-03-18,33639.0,261408.67,0.08,0.61,0.08,0.28,0.0,261408.67,33139.0,33639.0,257523.17,15113.0,0.13,,,15113.0,,0.13,15113.0,,,,0.26,,3.3,3.3,970455.0,7541405.81,7.56,3.3,38.77,0.5252,61.23,0.0335,7.771
2022-03-21,33639.0,267093.66,0.08,0.6,0.08,0.26,0.0,267093.66,33139.0,33639.0,263123.66,,,,,,,,,,,,0.26,,3.3,3.3,970455.0,7705412.7,7.56,3.3,41.13,0.5157,58.87,0.0335,7.94
2022-03-22,33639.0,262787.87,0.08,0.6,0.08,0.27,0.0,262787.87,33139.0,33639.0,258881.87,,,,,,,,,,,,0.26,,3.3,3.3,970455.0,7581194.46,7.72,3.3,41.13,0.5157,58.87,0.0335,7.812
2022-03-23,20968.0,166695.6,0.05,0.37,0.05,0.16,0.0,166695.6,20468.0,20968.0,162720.6,,,,0.1,,12671.0,,,,,12671.0,0.16,0.1,2.04,2.04,983126.0,7815851.7,7.69,2.04,34.02,0.5511,65.98,0.0209,7.95
2022-03-24,20968.0,166108.5,0.05,0.37,0.05,0.17,0.0,166108.5,20468.0,20968.0,162147.5,,,,,,,,,,,,0.16,,2.04,2.04,983126.0,7788324.17,7.82,2.04,34.02,0.5511,65.98,0.0209,7.922
2022-03-25,20968.0,166548.82,0.05,0.37,0.05,0.17,0.0,166548.82,20468.0,20968.0,162577.32,,,,,,,,,,,,0.16,,2.04,2.04,983126.0,7808969.82,7.8,2.04,34.02,0.5511,65.98,0.0209,7.943
2022-03-28,20968.0,167744.0,0.05,0.37,0.05,0.17,0.0,167744.0,20468.0,20968.0,163744.0,,,,,,,,,,,,0.16,,2.04,2.04,983126.0,7865008.0,7.81,2.04,34.02,0.5511,65.98,0.0209,8.0
2022-03-29,20968.0,167303.67,0.05,0.37,0.05,0.17,0.0,167303.67,20468.0,20968.0,163314.17,,,,,,,,,,,,0.16,,2.04,2.04,983126.0,7844362.35,7.79,2.04,34.03,0.551,65.97,0.0209,7.979
2022-03-30,18472.0,145947.27,0.04,0.5,0.04,0.15,0.0,145947.27,17972.0,18472.0,141996.77,,,,0.02,,2496.0,,,,,2496.0,0.14,0.02,1.79,1.79,985622.0,7787399.42,7.83,1.79,25.11,0.6239,74.89,0.0184,7.901
