,ALDMS FP Equity_DX_SI_QTY,ALDMS FP Equity_DX_SHORT_INTEREST_VALUE,ALDMS FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALDMS FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALDMS FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALDMS FP Equity_DX_SI_MV,ALDMS FP Equity_DX_DSS,ALDMS FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALDMS FP Equity_DX_SUPPLY_SI_QTY,ALDMS FP Equity_DX_BROKER_SI_QTY,ALDMS FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALDMS FP Equity_DX_BROKER_SI_MV_NEW_x,ALDMS FP Equity_DX_SUPPLY_SI_QTY_NEW_x,ALDMS FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALDMS FP Equity_DX_BROKER_SI_MV_INC_x,ALDMS FP Equity_DX_SUPPLY_SI_MV_NEW,ALDMS FP Equity_DX_BROKER_SI_QTY_ADD,ALDMS FP Equity_DX_BROKER_SI_QTY_NEW,ALDMS FP Equity_DX_SUPPLY_SI_MV_DEC,ALDMS FP Equity_DX_BROKER_SI_QTY_INC,ALDMS FP Equity_DX_SUPPLY_SI_QTY_DEC,ALDMS FP Equity_DX_BROKER_SI_MV_NEW_y,ALDMS FP Equity_DX_SUPPLY_SI_QTY_NEW_y,ALDMS FP Equity_DX_BROKER_SI_MV_INC_y,ALDMS FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALDMS FP Equity_DX_BROKER_SI_MV_ADD,ALDMS FP Equity_DX_SUPPLY_SI_QTY_ADD,ALDMS FP Equity_DX_BROKER_SI_QTY_DEC,ALDMS FP Equity_DX_SUPPLY_SI_MV,ALDMS FP Equity_DX_BROKER_SI_MV_DEC,ALDMS FP Equity_DX_SUPPLY_SI_MV_RMV,ALDMS FP Equity_DX_BROKER_SI_MV_RMV,ALDMS FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALDMS FP Equity_DX_UTILIZATION_QUANTITY,ALDMS FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALDMS FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALDMS FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,ALDMS FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALDMS FP Equity_DX_ACTIVE_UTILIZATION_MV,ALDMS FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALDMS FP Equity_DX_BROKER_SI_CON_RATIO,ALDMS FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALDMS FP Equity_DX_DEMAND_SUPPLY_RATIO
2006-01-04,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0
2006-01-11,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0
2006-01-18,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0
2006-01-25,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0
2006-02-01,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0
2006-02-08,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0
2006-02-15,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0
2006-02-22,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0
2006-03-01,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0
2006-03-08,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.01,0.0,,0.0,,0.0
2006-03-15,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.01,0.0,,0.0,,0.0
2006-03-22,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.01,0.0,,0.0,,0.0
2006-03-29,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.01,0.0,,0.0,,0.0
2006-04-05,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.01,0.0,,0.0,,0.0
2006-04-12,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.01,0.0,,0.0,,0.0
2006-04-19,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.01,0.0,,0.0,,0.0
2006-04-26,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.01,0.0,,0.0,,0.0
2006-05-03,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.01,0.0,,0.0,,0.0
2006-05-10,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.01,0.0,,0.0,,0.0
2006-05-17,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.01,0.0,,0.0,,0.0
2006-07-04,0.0,,0.0,,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,,,0.01,0.0,,0.0,,
2006-07-05,0.0,,0.0,,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,,,0.01,0.0,,0.0,,
2006-07-06,0.0,,0.0,,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,,,0.01,0.0,,0.0,,
2006-07-07,0.0,,0.0,,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,,,0.01,0.0,,0.0,,
2006-07-10,0.0,,0.0,,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,,,0.01,0.0,,0.0,,
2006-07-11,0.0,,0.0,,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,,,0.01,0.0,,0.0,,
2006-07-12,0.0,,0.0,,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,,,0.01,0.0,,0.0,,
2006-07-13,0.0,,0.0,,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,,,0.01,0.0,,0.0,,
2006-07-14,0.0,,0.0,,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,,,0.01,0.0,,0.0,,
2006-07-17,0.0,,0.0,,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,,,0.01,0.0,,0.0,,
2006-07-18,0.0,,0.0,,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,,,0.01,0.0,,0.0,,
