,COMO FP Equity_DX_SI_QTY,COMO FP Equity_DX_SHORT_INTEREST_VALUE,COMO FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,COMO FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,COMO FP Equity_DX_SI_MV,COMO FP Equity_DX_DSS,COMO FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,COMO FP Equity_DX_SUPPLY_SI_QTY,COMO FP Equity_DX_BROKER_SI_QTY,COMO FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,COMO FP Equity_DX_BROKER_SI_MV_NEW_x,COMO FP Equity_DX_SUPPLY_SI_QTY_NEW_x,COMO FP Equity_DX_SUPPLY_SI_QTY_INC_x,COMO FP Equity_DX_BROKER_SI_MV_INC_x,COMO FP Equity_DX_SUPPLY_SI_MV_NEW,COMO FP Equity_DX_BROKER_SI_QTY_ADD,COMO FP Equity_DX_BROKER_SI_QTY_NEW,COMO FP Equity_DX_SUPPLY_SI_MV_DEC,COMO FP Equity_DX_BROKER_SI_QTY_INC,COMO FP Equity_DX_SUPPLY_SI_QTY_DEC,COMO FP Equity_DX_BROKER_SI_MV_NEW_y,COMO FP Equity_DX_SUPPLY_SI_QTY_NEW_y,COMO FP Equity_DX_BROKER_SI_MV_INC_y,COMO FP Equity_DX_SUPPLY_SI_QTY_INC_y,COMO FP Equity_DX_BROKER_SI_MV_ADD,COMO FP Equity_DX_SUPPLY_SI_QTY_ADD,COMO FP Equity_DX_BROKER_SI_QTY_DEC,COMO FP Equity_DX_SUPPLY_SI_MV,COMO FP Equity_DX_BROKER_SI_MV_DEC,COMO FP Equity_DX_SUPPLY_SI_MV_RMV,COMO FP Equity_DX_BROKER_SI_MV_RMV,COMO FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,COMO FP Equity_DX_UTILIZATION_QUANTITY,COMO FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,COMO FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,COMO FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,COMO FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,COMO FP Equity_DX_ACTIVE_UTILIZATION_MV,COMO FP Equity_DX_BROKER_SI_MARKET_SHARE_2,COMO FP Equity_DX_BROKER_SI_CON_RATIO,COMO FP Equity_DX_BROKER_SI_MARKET_SHARE_1,COMO FP Equity_DX_DEMAND_SUPPLY_RATIO
2006-04-19,1000.0,26260.0,0.01,0.01,0.03,,26260.0,0.0,1000.0,0.0,,,,,,1000.0,,,,,,,,,0.03,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2006-04-26,1000.0,25920.0,0.01,0.01,0.03,,25920.0,0.0,1000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,38222.0,990714.24,,0.0,0.0,,1.0,100.0,0.0262
2006-05-03,2000.0,51220.0,0.02,0.02,0.05,,51220.0,0.0,2000.0,0.0,,,,0.03,,,,,1000.0,,,,0.03,,,,,0.0,,,,0.0,0.0,37515.0,960759.15,,0.0,0.0,,1.0,100.0,0.0533
2006-05-10,2000.0,50400.0,0.02,0.02,0.05,,50400.0,0.0,2000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,38811.0,978037.2,,0.0,0.0,,1.0,100.0,0.0515
2006-05-17,161174.0,4059973.06,1.27,1.61,4.06,,4059973.06,0.0,161174.0,0.0,,,,,,159174.0,,,,,,,,,4.01,,,0.0,,,,0.0,0.0,39247.0,988631.93,,0.0,0.0,1.24,0.9755,98.76,4.1067
2006-05-24,182121.0,4465606.92,1.48,1.82,4.47,,4058648.48,16597.0,165524.0,406958.44,,,,0.0,,,,,4349.0,,,,0.0,,,16597.0,,0.41,,,,43.31,43.31,21724.0,532672.48,,0.0,0.0,1.21,0.9761,98.79,4.7525
2006-05-31,166463.0,4058367.94,1.46,1.66,4.05,,4058367.94,0.0,166463.0,0.0,,,,0.02,,,,0.4,939.0,16597.0,,,0.02,,,,,0.0,,,,0.0,0.0,2239.0,54586.82,,0.0,0.0,1.2,0.9763,98.8,74.347
2006-06-07,287650.0,7004277.5,3.0,2.88,7.04,,7004277.5,1115.0,287650.0,27150.25,,,,2.24,,30000.0,,,91187.0,,,,2.24,,0.73,1115.0,,0.03,,,,49.96,49.96,1117.0,27198.95,,0.0,0.0,10.43,0.8008,88.88,128.8754
2006-06-14,184031.0,4427785.86,3.0,1.84,4.43,,4427785.86,0.0,184031.0,0.0,,,,,,,,0.03,,1115.0,,,,,,,103619.0,0.0,2.7,,,0.0,0.0,2259.0,54351.54,,0.0,0.0,10.87,0.7871,88.05,81.4657
2006-06-21,22218.0,534565.08,0.41,0.22,0.54,,534565.08,217.0,22218.0,5221.02,,,,,,,,,,,,,,,,217.0,161813.0,0.01,3.89,,,9.82,9.82,1994.0,47975.64,,0.0,0.0,8.97,0.8191,90.05,10.0443
