,LACR FP Equity_DX_SI_QTY,LACR FP Equity_DX_SHORT_INTEREST_VALUE,LACR FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,LACR FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,LACR FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,LACR FP Equity_DX_SI_MV,LACR FP Equity_DX_DSS,LACR FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,LACR FP Equity_DX_SUPPLY_SI_QTY,LACR FP Equity_DX_BROKER_SI_QTY,LACR FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,LACR FP Equity_DX_BROKER_SI_MV_NEW_x,LACR FP Equity_DX_SUPPLY_SI_QTY_INC_x,LACR FP Equity_DX_BROKER_SI_MV_INC_x,LACR FP Equity_DX_BROKER_SI_QTY_ADD,LACR FP Equity_DX_BROKER_SI_QTY_NEW,LACR FP Equity_DX_SUPPLY_SI_MV_DEC,LACR FP Equity_DX_BROKER_SI_QTY_INC,LACR FP Equity_DX_SUPPLY_SI_QTY_DEC,LACR FP Equity_DX_BROKER_SI_MV_NEW_y,LACR FP Equity_DX_BROKER_SI_MV_INC_y,LACR FP Equity_DX_SUPPLY_SI_QTY_INC_y,LACR FP Equity_DX_BROKER_SI_MV_ADD,LACR FP Equity_DX_SUPPLY_SI_QTY_ADD,LACR FP Equity_DX_BROKER_SI_QTY_DEC,LACR FP Equity_DX_SUPPLY_SI_MV,LACR FP Equity_DX_BROKER_SI_MV_DEC,LACR FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,LACR FP Equity_DX_UTILIZATION_QUANTITY,LACR FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,LACR FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,LACR FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,LACR FP Equity_DX_ACTIVE_UTILIZATION_MV,LACR FP Equity_DX_BROKER_SI_MARKET_SHARE_2,LACR FP Equity_DX_BROKER_SI_CON_RATIO,LACR FP Equity_DX_BROKER_SI_MARKET_SHARE_1,LACR FP Equity_DX_DEMAND_SUPPLY_RATIO
2006-01-04,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.05,0.0,,1.0,100.0,0.0
2006-01-11,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.05,0.0,,0.0,,0.0
2006-01-18,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,,0.04,,,0.0,,0.0,0.0,0.0,0.0,0.04,0.0,,1.0,100.0,0.0
2006-01-25,0.0,0.0,0.0,0.0,0.0,0.01,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2006-12-15,0.0,0.0,0.0,0.0,0.0,0.04,,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,,0.04,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2006-12-18,0.0,0.0,0.0,0.0,0.0,0.04,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2006-12-20,0.0,0.0,0.0,0.0,0.0,0.03,,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,,0.03,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2007-01-12,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.01,0.0,,0.0,,0.0
2007-01-15,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.01,0.0,,0.0,,0.0
2007-01-16,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.01,0.0,,0.0,,0.0
