,ALAGR FP Equity_DX_SI_QTY,ALAGR FP Equity_DX_SHORT_INTEREST_VALUE,ALAGR FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALAGR FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALAGR FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALAGR FP Equity_DX_SI_MV,ALAGR FP Equity_DX_DSS,ALAGR FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALAGR FP Equity_DX_SUPPLY_SI_QTY,ALAGR FP Equity_DX_BROKER_SI_QTY,ALAGR FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALAGR FP Equity_DX_BROKER_SI_MV_NEW_x,ALAGR FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALAGR FP Equity_DX_BROKER_SI_MV_INC_x,ALAGR FP Equity_DX_BROKER_SI_QTY_ADD,ALAGR FP Equity_DX_BROKER_SI_QTY_NEW,ALAGR FP Equity_DX_SUPPLY_SI_MV_DEC,ALAGR FP Equity_DX_BROKER_SI_QTY_INC,ALAGR FP Equity_DX_SUPPLY_SI_QTY_DEC,ALAGR FP Equity_DX_BROKER_SI_MV_NEW_y,ALAGR FP Equity_DX_BROKER_SI_MV_INC_y,ALAGR FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALAGR FP Equity_DX_BROKER_SI_MV_ADD,ALAGR FP Equity_DX_SUPPLY_SI_QTY_ADD,ALAGR FP Equity_DX_BROKER_SI_QTY_DEC,ALAGR FP Equity_DX_SUPPLY_SI_MV,ALAGR FP Equity_DX_BROKER_SI_MV_DEC,ALAGR FP Equity_DX_BROKER_SI_MV_RMV,ALAGR FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALAGR FP Equity_DX_UTILIZATION_QUANTITY,ALAGR FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALAGR FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALAGR FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALAGR FP Equity_DX_ACTIVE_UTILIZATION_MV,ALAGR FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALAGR FP Equity_DX_BROKER_SI_CON_RATIO,ALAGR FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALAGR FP Equity_DX_DEMAND_SUPPLY_RATIO
2010-12-03,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,19315.0,45583.4,0.04,0.0,,0.0,,0.0
2010-12-06,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,19315.0,44617.65,0.05,0.0,,0.0,,0.0
2010-12-07,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,19315.0,44231.35,0.04,0.0,,0.0,,0.0
2010-12-08,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,19315.0,43458.75,0.04,0.0,,0.0,,0.0
2010-12-09,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,19315.0,44038.2,0.04,0.0,,0.0,,0.0
2010-12-10,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,19315.0,43072.45,0.04,0.0,,0.0,,0.0
2010-12-13,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,19315.0,42879.3,0.04,0.0,,0.0,,0.0
2010-12-14,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,19315.0,42299.85,0.04,0.0,,0.0,,0.0
2010-12-15,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,19315.0,41527.25,0.04,0.0,,0.0,,0.0
2010-12-16,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,19315.0,41334.1,0.04,0.0,,0.0,,0.0
2010-12-17,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,19315.0,41334.1,0.04,0.0,,0.0,,0.0
