,ALVAP FP Equity_DX_SI_QTY,ALVAP FP Equity_DX_SHORT_INTEREST_VALUE,ALVAP FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALVAP FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALVAP FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALVAP FP Equity_DX_SI_MV,ALVAP FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALVAP FP Equity_DX_SUPPLY_SI_QTY,ALVAP FP Equity_DX_BROKER_SI_QTY,ALVAP FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALVAP FP Equity_DX_SUPPLY_SI_MV,ALVAP FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALVAP FP Equity_DX_UTILIZATION_QUANTITY,ALVAP FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALVAP FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALVAP FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALVAP FP Equity_DX_ACTIVE_UTILIZATION_MV,ALVAP FP Equity_DX_BROKER_SI_CON_RATIO,ALVAP FP Equity_DX_DEMAND_SUPPLY_RATIO,ALVAP FP Equity_PX_LAST
2019-05-28,,,,,,,,,,,,,,,,,,,,2.12
2019-05-29,,,,,,,,,,,,,,,,,,,,2.12
2019-05-31,,,,,,,,,,,,,,,,,,,,2.3
2019-06-03,,,,,,,,,,,,,,,,,,,,2.78
2019-06-04,,,,,,,,,,,,,,,,,,,,2.81
2019-06-05,,,,,,,,,,,,,,,,,,,,2.75
2019-06-06,,,,,,,,,,,,,,,,,,,,3.01
2019-06-07,,,,,,,,,,,,,,,,,,,,3.03
2019-06-10,,,,,,,,,,,,,,,,,,,,3.15
2019-06-11,,,,,,,,,,,,,,,,,,,,3.3
2019-06-12,,,,,,,,,,,,,,,,,,,,3.63
2019-06-13,,,,,,,,,,,,,,,,,,,,3.71
2019-06-14,,,,,,,,,,,,,,,,,,,,3.73
2019-06-17,,,,,,,,,,,,,,,,,,,,3.73
2019-06-18,,,,,,,,,,,,,,,,,,,,3.89
2019-06-19,,,,,,,,,,,,,,,,,,,,4.05
2019-06-20,,,,,,,,,,,,,,,,,,,,4.15
2019-06-21,,,,,,,,,,,,,,,,,,,,4.2
2019-06-24,,,,,,,,,,,,,,,,,,,,4.25
2019-06-25,,,,,,,,,,,,,,,,,,,,4.9
2019-06-26,,,,,,,,,,,,,,,,,,,,5.5
2019-06-27,,,,,,,,,,,,,,,,,,,,6.0
2019-06-28,,,,,,,,,,,,,,,,,,,,6.35
2019-07-01,,,,,,,,,,,,,,,,,,,,7.67
2019-07-02,,,,,,,,,,,,,,,,,,,,8.0
2019-07-03,,,,,,,,,,,,,,,,,,,,8.0
2019-07-04,,,,,,,,,,,,,,,,,,,,7.8
2019-07-09,,,,,,,,,,,,,,,,,,,,4.0
2019-07-12,,,,,,,,,,,,,,,,,,,,4.2
2019-07-15,,,,,,,,,,,,,,,,,,,,4.6
2019-07-16,,,,,,,,,,,,,,,,,,,,5.05
2019-07-18,,,,,,,,,,,,,,,,,,,,6.1
2019-07-19,,,,,,,,,,,,,,,,,,,,6.1
2019-07-22,,,,,,,,,,,,,,,,,,,,6.1
2019-07-24,,,,,,,,,,,,,,,,,,,,5.05
2019-07-25,,,,,,,,,,,,,,,,,,,,5.05
2019-07-26,,,,,,,,,,,,,,,,,,,,5.05
2019-07-29,,,,,,,,,,,,,,,,,,,,5.101
2019-07-31,,,,,,,,,,,,,,,,,,,,7.69
2019-08-02,,,,,,,,,,,,,,,,,,,,5.05
2019-08-13,,,,,,,,,,,,,,,,,,,,5.05
2019-08-15,,,,,,,,,,,,,,,,,,,,5.05
2019-08-16,,,,,,,,,,,,,,,,,,,,5.049
2019-08-19,,,,,,,,,,,,,,,,,,,,5.0
2019-08-20,,,,,,,,,,,,,,,,,,,,5.15
2019-08-21,,,,,,,,,,,,,,,,,,,,5.15
2019-08-27,,,,,,,,,,,,,,,,,,,,5.79
2019-09-03,,,,,,,,,,,,,,,,,,,,5.79
2019-09-11,,,,,,,,,,,,,,,,,,,,4.01
2019-09-12,,,,,,,,,,,,,,,,,,,,4.0
2019-09-16,,,,,,,,,,,,,,,,,,,,4.4
2019-09-18,,,,,,,,,,,,,,,,,,,,3.5
2019-09-19,,,,,,,,,,,,,,,,,,,,3.5
2019-09-20,,,,,,,,,,,,,,,,,,,,3.4
2019-09-23,,,,,,,,,,,,,,,,,,,,3.5
2019-09-25,,,,,,,,,,,,,,,,,,,,3.82
2019-09-26,,,,,,,,,,,,,,,,,,,,3.97
2019-10-01,,,,,,,,,,,,,,,,,,,,2.61
2019-10-08,,,,,,,,,,,,,,,,,,,,4.4
2019-10-09,,,,,,,,,,,,,,,,,,,,4.35
2019-10-10,,,,,,,,,,,,,,,,,,,,3.251
2019-10-24,,,,,,,,,,,,,,,,,,,,4.7
2019-11-06,,,,,,,,,,,,,,,,,,,,3.27
2019-11-07,,,,,,,,,,,,,,,,,,,,3.9
2019-11-12,,,,,,,,,,,,,,,,,,,,3.999
2019-11-22,,,,,,,,,,,,,,,,,,,,3.999
2019-12-03,,,,,,,,,,,,,,,,,,,,3.999
2019-12-11,,,,,,,,,,,,,,,,,,,,3.9
2019-12-12,,,,,,,,,,,,,,,,,,,,3.9
2019-12-13,,,,,,,,,,,,,,,,,,,,3.8
2019-12-17,,,,,,,,,,,,,,,,,,,,3.7
2019-12-18,,,,,,,,,,,,,,,,,,,,3.5
2019-12-19,,,,,,,,,,,,,,,,,,,,3.4
2019-12-20,,,,,,,,,,,,,,,,,,,,3.5
2019-12-23,,,,,,,,,,,,,,,,,,,,3.3
2020-01-06,,,,,,,,,,,,,,,,,,,,3.301
2020-01-10,,,,,,,,,,,,,,,,,,,,4.0
