,BVI FP Equity_DX_SI_QTY,BVI FP Equity_DX_SHORT_INTEREST_VALUE,BVI FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,BVI FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,BVI FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,BVI FP Equity_DX_SI_MV,BVI FP Equity_DX_DSS,BVI FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,BVI FP Equity_DX_SUPPLY_SI_QTY,BVI FP Equity_DX_BROKER_SI_QTY,BVI FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,BVI FP Equity_DX_BROKER_SI_MV_NEW_x,BVI FP Equity_DX_SUPPLY_SI_QTY_NEW_x,BVI FP Equity_DX_SUPPLY_SI_QTY_INC_x,BVI FP Equity_DX_BROKER_SI_MV_INC_x,BVI FP Equity_DX_SUPPLY_SI_MV_NEW,BVI FP Equity_DX_BROKER_SI_QTY_ADD,BVI FP Equity_DX_BROKER_SI_QTY_NEW,BVI FP Equity_DX_SUPPLY_SI_MV_DEC,BVI FP Equity_DX_BROKER_SI_QTY_INC,BVI FP Equity_DX_SUPPLY_SI_QTY_DEC,BVI FP Equity_DX_BROKER_SI_MV_NEW_y,BVI FP Equity_DX_SUPPLY_SI_QTY_NEW_y,BVI FP Equity_DX_BROKER_SI_MV_INC_y,BVI FP Equity_DX_SUPPLY_SI_QTY_INC_y,BVI FP Equity_DX_BROKER_SI_MV_ADD,BVI FP Equity_DX_SUPPLY_SI_QTY_ADD,BVI FP Equity_DX_BROKER_SI_QTY_DEC,BVI FP Equity_DX_SUPPLY_SI_MV,BVI FP Equity_DX_BROKER_SI_MV_DEC,BVI FP Equity_DX_SUPPLY_SI_MV_RMV,BVI FP Equity_DX_BROKER_SI_MV_RMV,BVI FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,BVI FP Equity_DX_UTILIZATION_QUANTITY,BVI FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,BVI FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,BVI FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,BVI FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,BVI FP Equity_DX_ACTIVE_UTILIZATION_MV,BVI FP Equity_DX_BROKER_SI_MARKET_SHARE_2,BVI FP Equity_DX_BROKER_SI_CON_RATIO,BVI FP Equity_DX_BROKER_SI_MARKET_SHARE_1,BVI FP Equity_DX_DEMAND_SUPPLY_RATIO,BVI FP Equity_PX_LAST
2007-10-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.75
2007-10-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0
2007-10-25,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,37707.0,1164425.3,,1.43,0.0,,0.0,,0.0,38.21
2007-10-26,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1785239.0,58289501.8,,67.84,0.0,,0.0,,0.0,40.4
2007-10-29,100000.0,3228712.66,0.09,0.19,0.09,4.04,0.0,0.0,100000.0,0.0,3228712.66,,,,,,,,,,,,,,,,100000.0,,4.04,,,,3.29,3.29,2939073.0,94894221.95,,115.54,3.38,,1.0,100.0,0.0329,39.95
2007-10-30,100000.0,3176180.41,0.09,0.18,0.09,4.0,0.0,0.0,100000.0,0.0,3176180.41,,,,,,,,,,,,,,,,,,4.0,,,,2.93,2.93,3311815.0,105189219.28,,121.52,3.18,,1.0,100.0,0.0293,39.3
2007-10-31,183445.0,5927359.68,0.16,0.32,0.16,7.22,0.0,1162563.17,147465.0,35980.0,4764796.5,,,,,,35980.0,,,,,,,,,1.41,47465.0,,5.8,,,,3.76,3.76,3777630.0,122060409.04,,137.06,4.06,19.6,0.3733,54.46,0.0467,39.98
2007-11-01,201754.0,6522209.7,0.18,0.34,0.18,8.05,0.0,1755029.6,147465.0,54289.0,4767180.09,,,,0.73,,,,,18309.0,,,,0.73,,,,,5.9,,,,3.53,3.53,4035712.0,130464624.92,,148.79,3.82,26.67,0.3497,49.68,0.0482,40.0
2007-11-02,201754.0,6527101.35,0.18,0.34,0.18,8.08,0.0,2806646.46,147465.0,86754.0,4770755.48,,,,,,32465.0,,,,,,,,,1.33,,,5.89,,,,3.51,3.51,4058459.0,131298379.37,,149.65,3.79,26.57,0.3487,49.53,0.048,40.03
2007-11-05,201754.0,6525470.8,0.18,0.33,0.18,8.08,0.0,2805945.33,149190.0,86754.0,4825356.57,,,1725.0,,,,,,,,,,,1725.0,,,,5.97,,,,3.56,3.56,4037419.0,130585067.93,,148.92,3.86,26.56,0.3486,49.54,0.0482,40.02
2007-11-06,198445.0,6464955.97,0.17,0.33,0.17,7.97,0.0,2718477.42,149190.0,83445.0,4860322.92,,,,,,,,,,,,,,,,,3309.0,5.97,0.13,,,3.56,3.56,4044942.0,131776421.39,,149.41,3.84,25.28,0.3508,50.24,0.0473,40.31
2007-11-07,226190.0,7312165.37,0.2,0.36,0.2,9.13,0.0,2301397.29,201663.0,71190.0,6519267.89,,,,0.07,,,,0.6,1725.0,15000.0,,,0.07,,,67473.0,13980.0,8.09,0.53,,,3.02,3.02,6486972.0,209707820.79,,251.23,3.12,24.0,0.3032,44.15,0.0338,40.0
2007-11-08,230934.0,7381540.02,0.2,0.36,0.2,9.29,0.0,2427143.08,201663.0,75934.0,6445926.13,,,,0.1,,2372.0,,,2372.0,,,,0.1,,0.09,,,8.04,,,,3.03,3.03,6451303.0,206208489.2,,248.0,3.14,23.6,0.2937,43.08,0.0347,39.55
2007-11-09,249220.0,7925747.66,0.22,0.38,0.22,10.01,0.0,2996404.56,185584.0,94220.0,5901982.0,,,,0.54,,5813.0,,0.64,12473.0,16079.0,,,0.54,,0.24,,,7.33,,,,4.14,4.14,4292922.0,136524422.11,,160.15,4.38,21.73,0.2679,39.53,0.0556,39.35
2007-11-12,262260.0,8285340.09,0.23,0.4,0.23,10.4,0.0,3388566.99,167473.0,107260.0,5290821.18,,,,1.87,,,,0.71,47230.0,18111.0,,,1.87,,,,34190.0,6.58,1.44,,,3.72,3.72,4335316.0,136961669.6,,161.14,3.92,32.75,0.2972,37.83,0.0582,39.09
2007-11-13,262260.0,8266264.1,0.23,0.4,0.23,10.38,0.0,3380765.22,167473.0,107260.0,5278639.7,,,,,,,,,,,,,,,,,,6.56,,,,3.61,3.61,4469006.0,140860153.49,,165.31,3.82,32.83,0.2969,37.66,0.0566,39.0
2007-11-14,182586.0,5791882.57,0.16,0.27,0.16,6.03,0.0,1499153.11,147799.0,47260.0,4688390.41,,,,,,,,1.97,,50000.0,,,,,,30326.0,60000.0,4.62,2.38,,,3.26,3.26,4387979.0,139192813.75,,162.37,2.76,17.03,0.4597,64.64,0.0403,39.25
2007-11-15,181194.0,5659863.06,0.16,0.27,0.16,5.99,0.0,1432754.94,147799.0,45868.0,4616720.75,,,,0.02,,,,,980.0,,,,0.02,,,,2372.0,4.63,0.09,,,3.2,3.2,4464471.0,139454366.46,,165.41,2.72,17.52,0.4709,65.48,0.0393,38.65
2007-11-16,181194.0,5617395.78,0.16,0.27,0.16,7.16,0.0,2362174.54,157618.0,76194.0,4886490.1,,,,1.2,,,,,30326.0,,,,1.2,,,9819.0,,5.01,,,,3.43,3.43,4443769.0,137766202.08,,163.49,2.97,23.82,0.3821,54.92,0.0394,38.36
2007-11-19,221093.0,6720335.25,0.19,0.32,0.19,8.64,0.0,3528758.85,157618.0,116093.0,4790951.32,,,,1.87,,,,,46385.0,,,,1.87,,,,6486.0,4.9,0.26,,,3.41,3.41,4465638.0,135737379.54,,161.77,2.94,33.79,0.3493,44.4,0.0478,37.61
2007-11-20,223912.0,6675728.06,0.2,0.32,0.2,8.64,0.0,3545250.7,157618.0,118912.0,4699234.1,,,,0.36,,,,,9819.0,,,,0.36,,,,7000.0,4.8,0.28,,,3.44,3.44,4430931.0,132104087.29,,157.26,2.96,30.52,0.3384,43.52,0.0488,36.89
2007-11-21,220341.0,6446388.85,0.19,0.31,0.19,8.38,0.0,3374464.75,157618.0,115341.0,4611338.42,,,,0.19,,,,,5980.0,,,,0.19,,,,9551.0,5.79,0.37,,,3.37,3.37,4513338.0,132044112.45,,166.07,3.37,27.0,0.3373,44.02,0.0472,36.2
2007-11-22,172841.0,5053915.14,0.15,0.24,0.15,6.46,0.0,1983688.23,157618.0,67841.0,4608790.72,,,,,,,,,,,,,,,,,47500.0,5.79,1.91,,,3.37,3.37,4515001.0,132019786.44,,165.88,3.37,34.32,0.4471,57.05,0.037,36.18
2007-11-23,144569.0,4323042.58,0.13,0.2,0.13,5.27,0.0,1183230.65,135326.0,39569.0,4046649.43,,,,,,,,0.82,,22292.0,,,,,,,28272.0,4.91,1.12,,,2.82,2.82,4666018.0,139527799.96,,170.56,2.8,20.82,0.5198,68.61,0.0301,37.0
2007-11-26,184569.0,5544519.72,0.16,0.25,0.16,6.83,0.0,2390281.63,135326.0,79569.0,4065242.14,,,,0.74,,20000.0,,,20000.0,,,,0.74,,0.74,,,5.01,,,,2.82,2.82,4658796.0,139951922.13,,172.84,2.82,16.01,0.3568,54.16,0.0385,37.17
2007-11-27,229647.0,6813304.1,0.2,0.31,0.2,8.52,0.0,3698101.5,154265.0,124647.0,4576825.99,,,18939.0,1.67,,,,,45078.0,,,,1.67,18939.0,,,,5.74,,,,3.22,3.22,4630246.0,137372898.67,,171.99,3.23,32.35,0.3194,43.61,0.048,36.71
2007-11-28,224647.0,6919141.06,0.2,0.3,0.2,8.32,0.0,3839135.07,149265.0,124647.0,4597370.94,,,,,,,,0.19,,5000.0,,,,,,,,5.48,,,,3.3,3.3,4371654.0,134647205.12,,162.65,3.26,33.13,0.3309,44.12,0.0497,38.11
2007-11-29,262525.0,8170653.59,0.23,0.35,0.23,9.85,0.0,5058320.07,149265.0,162525.0,4645624.64,,,,1.39,,,,,37878.0,,,,1.39,,,,,5.62,,,,3.33,3.33,4327153.0,134675433.6,,164.29,3.31,28.0,0.2993,38.71,0.0586,38.51
2007-11-30,262525.0,8274616.73,0.23,0.35,0.23,9.99,0.0,5122681.97,149265.0,162525.0,4704735.42,,,,,,,,,,,,,,,,,,5.77,,,,3.31,3.31,4354166.0,137240471.61,,168.31,3.31,27.59,0.2992,38.53,0.0583,39.0
2007-12-03,243586.0,7579240.11,0.21,0.32,0.21,9.35,0.0,4467714.77,149265.0,143586.0,4644418.3,,,,,,,,,,,,,,,,,18939.0,5.82,0.7,,,3.32,3.32,4347018.0,135258566.56,,168.5,3.34,28.2,0.3081,41.7,0.0542,38.5
2007-12-04,296884.0,9273611.62,0.26,0.39,0.26,11.39,0.0,6149963.45,121783.0,196884.0,3804072.44,,,,2.12,,,,1.09,53298.0,27482.0,,,2.12,,,,,4.68,,,,2.71,2.71,4374215.0,136635086.58,,168.33,2.71,33.8,0.3052,36.63,0.066,38.65
2007-12-05,296884.0,9297605.44,0.26,0.39,0.26,11.39,0.0,6165875.39,114283.0,196884.0,3579035.05,,,,,,,,0.28,,7500.0,,,,,,,,4.42,,,,2.55,2.55,4375004.0,137013314.91,,169.33,2.55,33.93,0.3054,36.63,0.0661,38.75
2007-12-06,154725.0,4895588.1,0.13,0.46,0.13,5.94,0.0,1731530.51,114283.0,54725.0,3615979.93,,,,,,,,,,,,,,,,,142159.0,4.43,5.46,,,2.54,2.54,4389304.0,138880106.14,,170.56,2.53,12.61,0.4655,65.21,0.0344,39.15
2007-12-07,154725.0,5024386.46,0.13,0.52,0.13,5.97,0.0,1777085.47,114283.0,54725.0,3711112.99,,,,,,,,,,,,,,,,,,4.47,,,,2.53,2.53,4409112.0,143177137.63,,173.4,2.51,12.54,0.4692,65.54,0.0342,40.18
2007-12-10,154725.0,4970616.27,0.13,0.59,0.13,6.08,0.0,1758067.38,114283.0,54725.0,3671397.25,,,,,,,,,,,,,,,,,,4.59,,,,2.53,2.53,4407475.0,141592289.14,,176.49,2.54,12.31,0.4745,66.04,0.0342,39.75
2007-12-11,154725.0,5008130.35,0.13,0.64,0.13,6.04,0.0,1771335.81,114283.0,54725.0,3699105.91,,,,,,,,,,,,,,,,,,4.55,,,,2.57,2.57,4334373.0,140294748.65,,172.86,2.56,12.4,0.4718,65.79,0.0348,40.05
2007-12-12,159052.0,5154613.65,0.14,0.71,0.14,6.26,0.0,1913778.17,114283.0,59052.0,3703724.01,,,,0.14,,936.0,,,3391.0,,,,0.14,,0.04,,,4.58,,,,2.54,2.54,4393522.0,142386819.92,,175.88,2.54,14.14,0.4522,64.02,0.0353,40.1
2007-12-13,191552.0,6192404.17,0.17,0.91,0.17,7.57,0.0,2959650.57,114283.0,91552.0,3694487.8,,,,1.3,,,,,32500.0,,,,1.3,,,,,4.58,,,,2.52,2.52,4415201.0,142732569.23,,176.98,2.53,27.6,0.3726,52.98,0.0423,40.0
2007-12-14,191552.0,6245039.61,0.17,0.92,0.17,7.57,0.0,2984807.6,114283.0,91552.0,3725890.94,,,,,,,,,,,,,,,,,,4.58,,,,2.52,2.52,4420201.0,144108807.66,,177.55,2.51,27.6,0.3713,52.84,0.0422,40.34
2007-12-17,191552.0,6150605.45,0.17,0.93,0.17,7.59,0.0,2939672.93,114283.0,91552.0,3669550.0,,,,,,,,,,,,,,,,,,4.59,,,,2.52,2.52,4422239.0,141995109.81,,177.29,2.53,27.52,0.3717,52.92,0.0422,39.73
