,MAA FP Equity_DX_SI_QTY,MAA FP Equity_DX_SHORT_INTEREST_VALUE,MAA FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,MAA FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,MAA FP Equity_DX_SI_MV,MAA FP Equity_DX_DSS,MAA FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,MAA FP Equity_DX_SUPPLY_SI_QTY,MAA FP Equity_DX_BROKER_SI_QTY,MAA FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,MAA FP Equity_DX_BROKER_SI_MV_NEW_x,MAA FP Equity_DX_SUPPLY_SI_QTY_NEW_x,MAA FP Equity_DX_SUPPLY_SI_QTY_INC_x,MAA FP Equity_DX_BROKER_SI_MV_INC_x,MAA FP Equity_DX_SUPPLY_SI_MV_NEW,MAA FP Equity_DX_BROKER_SI_QTY_ADD,MAA FP Equity_DX_BROKER_SI_QTY_NEW,MAA FP Equity_DX_SUPPLY_SI_MV_DEC,MAA FP Equity_DX_BROKER_SI_QTY_INC,MAA FP Equity_DX_SUPPLY_SI_QTY_DEC,MAA FP Equity_DX_BROKER_SI_MV_NEW_y,MAA FP Equity_DX_SUPPLY_SI_QTY_NEW_y,MAA FP Equity_DX_BROKER_SI_MV_INC_y,MAA FP Equity_DX_SUPPLY_SI_QTY_INC_y,MAA FP Equity_DX_BROKER_SI_MV_ADD,MAA FP Equity_DX_SUPPLY_SI_QTY_ADD,MAA FP Equity_DX_BROKER_SI_QTY_DEC,MAA FP Equity_DX_SUPPLY_SI_MV,MAA FP Equity_DX_BROKER_SI_MV_DEC,MAA FP Equity_DX_BROKER_SI_MV_RMV,MAA FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,MAA FP Equity_DX_UTILIZATION_QUANTITY,MAA FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,MAA FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,MAA FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,MAA FP Equity_DX_ACTIVE_UTILIZATION_MV,MAA FP Equity_DX_BROKER_SI_MARKET_SHARE_2,MAA FP Equity_DX_BROKER_SI_CON_RATIO,MAA FP Equity_DX_BROKER_SI_MARKET_SHARE_1,MAA FP Equity_DX_DEMAND_SUPPLY_RATIO
2010-05-10,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,34400.0,3720704.0,3.75,0.0,,0.0,,0.0
2010-05-11,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,34400.0,3720360.0,3.72,0.0,,0.0,,0.0
2010-05-12,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,34400.0,3723112.0,3.72,0.0,,0.0,,0.0
2010-05-13,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,34400.0,3726896.0,3.72,0.0,,0.0,,0.0
2010-05-14,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,34400.0,3742720.0,3.73,0.0,,0.0,,0.0
2010-05-17,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,34400.0,3741688.0,3.74,0.0,,0.0,,0.0
2010-05-18,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,20700.0,2257956.0,2.25,0.0,,0.0,,0.0
2010-05-19,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,20700.0,2267271.0,2.26,0.0,,0.0,,0.0
2010-05-20,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,20700.0,2275344.0,2.27,0.0,,0.0,,0.0
2010-05-21,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,20700.0,2280105.0,2.28,0.0,,0.0,,0.0
2010-05-24,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,20700.0,2282175.0,2.28,0.0,,0.0,,0.0
2010-05-25,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,20700.0,2294595.0,2.28,0.0,,0.0,,0.0
2010-05-26,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,20700.0,2285487.0,2.29,0.0,,0.0,,0.0
2010-05-27,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,20700.0,2276172.0,2.29,0.0,,0.0,,0.0
2010-05-28,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,20700.0,2279691.0,2.28,0.0,,0.0,,0.0
2010-05-31,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,20700.0,2283831.0,2.28,0.0,,0.0,,0.0
2010-06-01,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,20700.0,2280519.0,2.28,0.0,,0.0,,0.0
2010-06-02,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,20700.0,2280312.0,2.28,0.0,,0.0,,0.0
2010-06-03,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,20700.0,2274309.0,2.28,0.0,,0.0,,0.0
2010-06-04,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,20700.0,2269548.0,2.27,0.0,,0.0,,0.0
2010-06-07,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,20700.0,2273895.0,2.27,0.0,,0.0,,0.0
2010-06-08,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,20700.0,2278242.0,2.27,0.0,,0.0,,0.0
2010-06-09,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,20700.0,2278035.0,2.28,0.0,,0.0,,0.0
2010-06-10,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,20700.0,2277621.0,2.28,0.0,,0.0,,0.0
2010-06-11,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,20700.0,2284038.0,2.28,0.0,,0.0,,0.0
2010-06-14,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,20700.0,2275758.0,2.28,0.0,,0.0,,0.0
2010-06-15,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,20700.0,2272032.0,2.28,0.0,,0.0,,0.0
2010-06-16,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,20700.0,2271204.0,2.27,0.0,,0.0,,0.0
2010-06-17,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,20700.0,2273274.0,2.27,0.0,,0.0,,0.0
2010-06-18,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,20700.0,2268720.0,2.27,0.0,,0.0,,0.0
2010-06-21,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,20700.0,2264580.0,2.27,0.0,,0.0,,0.0
2010-06-22,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,20700.0,2272653.0,2.26,0.0,,0.0,,0.0
2010-06-23,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,20700.0,2274723.0,2.27,0.0,,0.0,,0.0
2010-06-24,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,20700.0,2279484.0,2.27,0.0,,0.0,,0.0
2010-06-25,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,20700.0,2276379.0,2.29,0.0,,0.0,,0.0
2010-06-28,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,20700.0,2277414.0,2.31,0.0,,0.0,,0.0
2010-06-29,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,20700.0,2283210.0,2.32,0.0,,0.0,,0.0
2010-06-30,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,20700.0,2283624.0,2.3,0.0,,0.0,,0.0
2010-07-01,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,20700.0,2287143.0,2.28,0.0,,0.0,,0.0
2010-07-02,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,20700.0,2286729.0,2.27,0.0,,0.0,,0.0
2010-07-05,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,20700.0,2294595.0,2.27,0.0,,0.0,,0.0
2010-07-06,20000.0,2211800.0,3.45,0.39,2.31,1.0,2211800.0,0.0,20000.0,0.0,,,,,,20000.0,,,,,,,,,2.31,,,0.0,,,0.0,0.0,20700.0,2289213.0,2.25,0.0,,1.0,100.0,0.9662
2010-07-07,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,20000.0,0.0,2.31,,0.0,0.0,20700.0,2287557.0,2.29,0.0,,0.0,,0.0
2010-07-08,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,20700.0,2286729.0,2.29,0.0,,0.0,,0.0
2010-07-09,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,20700.0,2287350.0,2.29,0.0,,0.0,,0.0
2010-07-12,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,20700.0,2293560.0,2.29,0.0,,0.0,,0.0
2010-07-13,150.0,16573.5,0.03,0.0,0.02,0.0,16573.5,0.0,150.0,0.0,,,,,,150.0,,,,,,,,,0.02,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0072
2010-07-14,150.0,16545.0,0.03,0.0,0.02,0.0,16545.0,0.0,150.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0072
2010-07-15,150.0,16543.5,0.03,0.0,0.02,0.0,16543.5,0.0,150.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0072
2010-07-16,486.0,53766.18,0.1,0.01,0.05,0.0,53766.18,0.0,486.0,0.0,,,,0.04,,,,,336.0,,,,0.04,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0232
2010-07-19,486.0,53552.34,0.1,0.01,0.05,0.0,53552.34,0.0,486.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0235
2010-07-20,486.0,53625.24,0.1,0.01,0.05,0.0,53625.24,0.0,486.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0235
2010-07-21,1050.0,115941.0,0.21,0.02,0.12,0.0,115941.0,0.0,1050.0,0.0,,,,0.06,,,,,564.0,,,,0.06,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0507
2010-07-22,1050.0,115836.0,0.21,0.02,0.12,0.0,115836.0,0.0,1050.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0507
2010-07-23,1050.0,115689.0,0.21,0.02,0.12,0.0,115689.0,0.0,1050.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0507
2010-07-26,564.0,61938.48,0.18,0.01,0.06,0.0,61938.48,0.0,564.0,0.0,,,,,,,,,,,,,,,,,486.0,0.0,0.05,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0272
2010-07-27,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,564.0,0.0,0.06,,0.0,0.0,20700.0,2272032.0,2.27,0.0,,0.0,,0.0
2010-07-28,300.0,32988.0,0.09,0.01,0.03,0.0,0.0,300.0,0.0,32988.0,,,,,,,,,,,,,,,,300.0,,0.03,,,1.43,1.43,20700.0,2276172.0,2.27,1.43,,1.0,100.0,0.0143
2010-07-29,300.0,32985.0,0.05,0.01,0.03,0.0,32985.0,300.0,300.0,32985.0,,,,,,300.0,,,,,,,,,0.03,,,0.03,,,1.43,1.43,20700.0,2275965.0,2.26,1.43,,1.0,100.0,0.0143
2010-07-30,2676.0,295136.04,0.45,0.05,0.29,0.0,223998.99,945.0,2031.0,104224.05,,,645.0,,,1731.0,,,,,,,,645.0,0.19,,,0.1,,,100.0,4.37,0.0,0.0,0.0,100.0,14.77,0.7482,85.23,0.1236
2010-08-02,2676.0,294547.32,0.45,0.05,0.29,0.0,223552.17,945.0,2031.0,104016.15,,,,,,,,,,,,,,,,,,0.1,,,100.0,4.37,0.0,0.0,0.0,100.0,14.81,0.7476,85.19,0.1236
2010-08-03,2515.0,278435.65,0.42,0.04,0.28,0.0,207027.7,945.0,1870.0,104620.95,,,,,,,,,,,,,,,,,161.0,0.1,0.02,,100.0,4.37,0.0,0.0,0.0,100.0,16.05,0.7305,83.95,0.1162
2010-08-04,2515.0,278787.75,0.41,0.04,0.28,0.0,207289.5,945.0,1870.0,104753.25,,,,,,,,,,,,,,,,,,0.11,,,100.0,4.37,0.0,0.0,0.0,100.0,16.13,0.7294,83.87,0.1162
2010-08-05,2515.0,279894.35,0.39,0.04,0.28,0.0,208112.3,645.0,1870.0,71782.05,,,,,,,,0.03,,300.0,,,,,,,,0.07,,,100.0,3.02,0.0,0.0,0.0,100.0,16.15,0.7292,83.85,0.1178
2010-08-06,915.0,101995.05,0.14,0.02,0.1,0.0,30096.9,645.0,270.0,71898.15,,,,,,,,,,,,,,,,,1600.0,0.07,0.18,,3.02,3.02,20700.0,2307429.0,2.3,3.0,,1.0,100.0,0.0429
2010-08-09,745.0,83007.9,0.11,0.01,0.08,0.0,11142.0,645.0,100.0,71865.9,,,,,,,,,,,,,,,,,170.0,0.07,0.02,,3.02,3.02,20700.0,2306394.0,2.31,3.03,,1.0,100.0,0.0349
2010-08-10,645.0,71788.5,0.1,0.01,0.07,0.0,0.0,645.0,0.0,71788.5,,,,,,,,,,,,,,,,,100.0,0.07,0.01,,3.02,3.02,20700.0,2303910.0,2.31,3.03,,0.0,,0.0302
2010-08-11,645.0,72207.75,0.1,0.01,0.07,0.0,0.0,645.0,0.0,72207.75,,,,,,,,,,,,,,,,,,0.07,,,3.02,3.02,20700.0,2317365.0,2.3,3.1,,0.0,,0.0302
2010-08-12,645.0,72227.1,0.1,0.01,0.07,0.0,0.0,645.0,0.0,72227.1,,,,,,,,,,,,,,,,,,0.07,,,3.02,3.02,20700.0,2317986.0,2.32,3.03,,0.0,,0.0302
2010-08-13,645.0,72298.05,0.1,0.01,0.07,0.0,0.0,645.0,0.0,72298.05,,,,,,,,,,,,,,,,,,0.07,,,3.02,3.02,20700.0,2320263.0,2.32,3.04,,0.0,,0.0302
2010-08-16,645.0,72601.2,0.1,0.01,0.07,0.0,0.0,645.0,0.0,72601.2,,,,,,,,,,,,,,,,,,0.07,,,3.02,3.02,20700.0,2329992.0,2.32,3.0,,0.0,,0.0302
2010-08-17,645.0,72523.8,0.1,0.01,0.07,0.0,0.0,645.0,0.0,72523.8,,,,,,,,,,,,,,,,,,0.07,,,3.02,3.02,20700.0,2327508.0,2.33,3.01,,0.0,,0.0302
2010-08-18,645.0,72807.6,0.1,0.01,0.07,0.0,0.0,645.0,0.0,72807.6,,,,,,,,,,,,,,,,,,0.07,,,3.02,3.02,20700.0,2336616.0,2.33,3.03,,0.0,,0.0302
