,WAGA FP Equity_DX_SI_QTY,WAGA FP Equity_DX_SHORT_INTEREST_VALUE,WAGA FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,WAGA FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,WAGA FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,WAGA FP Equity_DX_SI_MV,WAGA FP Equity_DX_DSS,WAGA FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,WAGA FP Equity_DX_SUPPLY_SI_QTY,WAGA FP Equity_DX_BROKER_SI_QTY,WAGA FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,WAGA FP Equity_DX_SUPPLY_SI_QTY_NEW_x,WAGA FP Equity_DX_SUPPLY_SI_QTY_INC_x,WAGA FP Equity_DX_BROKER_SI_MV_INC_x,WAGA FP Equity_DX_SUPPLY_SI_MV_NEW,WAGA FP Equity_DX_BROKER_SI_QTY_ADD,WAGA FP Equity_DX_SUPPLY_SI_MV_DEC,WAGA FP Equity_DX_BROKER_SI_QTY_INC,WAGA FP Equity_DX_SUPPLY_SI_QTY_DEC,WAGA FP Equity_DX_SUPPLY_SI_QTY_NEW_y,WAGA FP Equity_DX_BROKER_SI_MV_INC_y,WAGA FP Equity_DX_SUPPLY_SI_QTY_INC_y,WAGA FP Equity_DX_BROKER_SI_MV_ADD,WAGA FP Equity_DX_SUPPLY_SI_QTY_ADD,WAGA FP Equity_DX_BROKER_SI_QTY_DEC,WAGA FP Equity_DX_SUPPLY_SI_MV,WAGA FP Equity_DX_BROKER_SI_MV_DEC,WAGA FP Equity_DX_SUPPLY_SI_MV_RMV,WAGA FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,WAGA FP Equity_DX_UTILIZATION_QUANTITY,WAGA FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,WAGA FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,WAGA FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,WAGA FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,WAGA FP Equity_DX_ACTIVE_UTILIZATION_MV,WAGA FP Equity_DX_BROKER_SI_MARKET_SHARE_2,WAGA FP Equity_DX_BROKER_SI_CON_RATIO,WAGA FP Equity_DX_BROKER_SI_MARKET_SHARE_1,WAGA FP Equity_DX_DEMAND_SUPPLY_RATIO
2021-10-28,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,555804.0,14450904.0,,14.45,0.0,,0.0,,0.0
2021-10-29,4300.0,109650.0,0.02,0.29,0.02,0.11,0.0,0.0,4300.0,0.0,109650.0,,,,,,,,,,,,,4300.0,,0.11,,,0.62,0.62,690242.0,17601171.0,,18.02,0.62,,1.0,100.0,0.0062
2021-11-01,4300.0,110510.0,0.02,0.26,0.02,0.11,0.0,110510.0,4300.0,4300.0,110510.0,,,,,4300.0,,,,,,,0.11,,,0.11,,,0.62,0.62,690242.0,17739219.4,,17.58,0.62,,1.0,100.0,0.0062
2021-11-02,4300.0,106640.0,0.02,0.25,0.02,0.12,0.0,106640.0,4300.0,4300.0,106640.0,,,,,,,,,,,,,,,0.11,,,0.62,0.62,690242.0,17118001.6,,17.63,0.62,,1.0,100.0,0.0062
2021-11-03,7162.0,185495.8,0.04,0.39,0.04,0.18,0.0,185495.8,7162.0,7162.0,185495.8,,,,,2862.0,,,,,,,0.07,2862.0,,0.18,,,1.03,1.03,690804.0,17891823.6,,17.24,1.02,38.76,0.5253,61.24,0.0103
2021-11-04,7162.0,200536.0,0.04,0.36,0.04,0.19,0.0,200536.0,7162.0,7162.0,200536.0,,,,,,,,,,,,,,,0.19,,,0.93,0.93,759635.0,21269780.0,,19.99,0.92,37.69,0.5303,62.31,0.0093
2021-11-05,7162.0,213427.6,0.04,0.34,0.04,0.2,0.0,213427.6,7162.0,7162.0,213427.6,,,,,,,,,,,,,,,0.2,,,0.94,0.94,755156.0,22503648.8,,21.36,0.93,35.99,0.5393,64.01,0.0094
2021-11-08,11603.0,324884.0,0.06,0.5,0.06,0.35,0.0,324884.0,7703.0,11603.0,215684.0,,541.0,0.15,,,,4441.0,,,0.15,541.0,,,,0.22,,,1.01,1.01,754615.0,21129220.0,,22.45,0.98,28.91,0.589,71.09,0.0152
2021-11-09,10691.0,299348.0,0.06,0.43,0.06,0.31,0.0,299348.0,9691.0,10691.0,271348.0,,3900.0,,,1000.0,0.06,,1912.0,,,3900.0,0.03,,1912.0,0.27,0.06,,1.26,1.26,758224.0,21230272.0,,21.22,1.26,14.12,0.62,76.95,0.0139
2021-11-10,14829.0,397417.2,0.08,0.58,0.08,0.43,0.0,397417.2,13829.0,14829.0,370617.2,,4138.0,0.11,,,,4138.0,,,0.11,4138.0,,,,0.39,,,1.8,1.8,754086.0,20209504.8,,21.1,1.82,36.92,0.4601,56.53,0.0193
2021-11-11,14829.0,392968.5,0.08,0.57,0.08,0.42,0.0,392968.5,13829.0,14829.0,366468.5,,,,,,,,,,,,,,,0.37,,,1.79,1.79,759690.0,20131785.0,,20.41,1.79,35.88,0.4662,57.74,0.0192
2021-11-12,10529.0,288494.6,0.06,0.4,0.06,0.28,0.0,288494.6,9529.0,10529.0,261094.6,,,,,,0.12,,4300.0,,,,,,4300.0,0.25,0.14,,1.23,1.23,763990.0,20933326.0,,20.41,1.22,38.13,0.4301,52.53,0.0136
2021-11-15,10137.0,286877.1,0.05,0.38,0.05,0.28,0.0,286877.1,9137.0,10137.0,258577.1,,3508.0,0.1,,,0.1,3508.0,3900.0,,0.1,3508.0,,,3900.0,0.25,0.11,,1.16,1.16,778161.0,22021956.3,,21.53,1.16,9.86,0.8222,90.14,0.0129
2021-11-16,7092.0,202122.0,0.04,0.26,0.04,0.2,0.0,202122.0,6092.0,7092.0,173622.0,,,,,,0.08,,3045.0,,,,,,3045.0,0.17,0.08,,0.77,0.77,781206.0,22264371.0,,22.27,0.77,14.25,0.7556,85.75,0.009
2021-11-17,7206.0,211856.4,0.04,0.26,0.04,0.21,0.0,211856.4,6206.0,7206.0,182456.4,,,0.01,,,,114.0,,,0.01,,,114.0,,0.18,,,0.79,0.79,783628.0,23038663.2,,22.5,0.78,13.87,0.761,86.13,0.0091
2021-11-18,7656.0,222024.0,0.04,0.28,0.04,0.22,0.0,222024.0,6656.0,7656.0,193024.0,,450.0,0.02,,,,450.0,,,0.02,450.0,,,,0.19,,,0.84,0.84,788242.0,22859018.0,,23.03,0.84,13.05,0.773,86.95,0.0096
2021-11-19,6699.0,188911.8,0.04,0.24,0.04,0.2,0.0,188911.8,5699.0,6699.0,160711.8,,,,,,0.03,,957.0,,,,,,957.0,0.17,0.03,,0.72,0.72,789199.0,22255411.8,,22.86,0.72,14.9,0.7464,85.1,0.0084
2021-11-22,7703.0,221846.4,0.04,0.27,0.04,0.22,0.0,221846.4,6703.0,7703.0,193046.4,,1004.0,0.02,,,,1004.0,,,0.02,1004.0,,,,0.19,,,0.84,0.84,791092.0,22783449.6,,22.5,0.84,12.94,0.7747,87.06,0.0097
2021-11-23,7703.0,223387.0,0.04,0.27,0.04,0.22,0.0,223387.0,6703.0,7703.0,194387.0,,,,,,,,,,,,,,,0.19,,,0.84,0.84,791092.0,22941668.0,,22.81,0.84,13.0,0.7739,87.0,0.0097
2021-11-24,7708.0,220448.8,0.04,0.27,0.04,0.22,0.0,220448.8,6708.0,7708.0,191848.8,,5.0,0.0,,,,5.0,,,0.0,5.0,,,,0.2,,,0.84,0.84,791097.0,22625374.2,,22.98,0.84,12.85,0.776,87.15,0.0097
2021-11-25,7708.0,220448.8,0.04,0.27,0.04,0.22,0.0,220448.8,6708.0,7708.0,191848.8,,,,,,,,,,,,,,,0.19,,,0.84,0.84,791097.0,22625374.2,,22.61,0.84,13.07,0.7728,86.93,0.0097
2021-11-26,7708.0,220448.8,0.04,0.27,0.04,0.22,0.0,220448.8,6708.0,7708.0,191848.8,,,,,,,,,,,,,,,0.19,,,0.84,0.84,791097.0,22625374.2,,22.48,0.84,13.07,0.7728,86.93,0.0097
2021-11-29,7594.0,214150.8,0.04,0.26,0.04,0.22,0.0,214150.8,6594.0,7594.0,185950.8,,,,,,0.0,,114.0,,,,,,114.0,0.19,0.0,,0.83,0.83,790983.0,22305720.6,,22.61,0.83,13.2,0.7708,86.8,0.0095
2021-11-30,10192.0,285376.0,0.05,0.35,0.05,0.29,0.0,198940.0,9192.0,7105.0,257376.0,,,,,,0.02,,489.0,,,,,3087.0,489.0,0.26,0.02,,1.15,1.15,787809.0,22058652.0,,22.1,1.15,30.29,0.4601,59.89,0.0128
2021-12-01,7105.0,197519.0,0.04,0.24,0.04,0.2,0.0,197519.0,6105.0,7105.0,169719.0,,,,,,0.09,,3087.0,,,,,,,0.17,,,0.77,0.77,790896.0,21986908.8,,22.03,0.77,14.08,0.7581,85.92,0.0089
2021-12-02,6238.0,171545.0,0.03,0.21,0.03,0.17,0.0,171545.0,5238.0,6238.0,144045.0,,,,,,0.02,,867.0,,,,,,867.0,0.15,0.02,,0.66,0.66,791763.0,21773482.5,,22.01,0.66,16.0,0.7312,84.0,0.0078
2021-12-03,6088.0,164376.0,0.03,0.2,0.03,0.17,0.0,164376.0,5088.0,6088.0,137376.0,,,,,,0.01,,150.0,,,,,,150.0,0.14,0.01,,0.64,0.64,791913.0,21381651.0,,21.72,0.64,16.4,0.7258,83.6,0.0076
2021-12-06,6051.0,163377.0,0.03,0.2,0.03,0.16,0.0,163377.0,5051.0,6051.0,136377.0,,,,,,0.0,,37.0,,,,,,37.0,0.14,0.0,,0.63,0.63,791950.0,21382650.0,,21.38,0.63,16.5,0.7244,83.5,0.0076
2021-12-07,5965.0,159265.5,0.03,0.2,0.03,0.16,0.0,159265.5,4965.0,5965.0,132565.5,,,,,,0.0,,86.0,,,,,,86.0,0.13,0.0,,0.62,0.62,792026.0,21147094.2,,21.35,0.62,16.73,0.7213,83.27,0.0075
2021-12-08,5699.0,150453.6,0.03,0.19,0.03,0.15,0.0,150453.6,4699.0,5699.0,124053.6,,,,,,0.01,,266.0,,,,,,266.0,0.12,0.01,,0.59,0.59,791968.0,20907955.2,,20.94,0.59,17.51,0.7111,82.49,0.0072
2021-12-09,5699.0,148174.0,0.03,0.32,0.03,0.15,0.0,148174.0,4699.0,5699.0,122174.0,,,,,,,,,,,,,,,0.12,,,0.59,0.59,791968.0,20591168.0,,20.9,0.59,17.55,0.7106,82.45,0.0072
2021-12-10,5629.0,146354.0,0.03,0.37,0.03,0.15,0.0,146354.0,4629.0,5629.0,120354.0,,,,,,0.0,,70.0,,,,,,70.0,0.12,0.0,,0.58,0.58,792013.0,20592338.0,,20.54,0.58,17.76,0.7078,82.24,0.0071
2021-12-13,5629.0,149168.5,0.03,0.4,0.03,0.15,0.0,149168.5,4629.0,5629.0,122668.5,,,,,,,,,,,,,,,0.12,,,0.58,0.58,791820.0,20983230.0,,20.68,0.58,17.78,0.7077,82.22,0.0071
2021-12-14,5291.0,143915.2,0.03,0.4,0.03,0.14,0.0,143915.2,4291.0,5291.0,116715.2,,,,,,0.01,,338.0,,,,,,338.0,0.11,0.01,,0.54,0.54,790401.0,21498907.2,,21.04,0.54,19.11,0.6908,80.89,0.0067
2021-12-15,5000.0,135000.0,0.03,0.4,0.03,0.13,0.0,135000.0,4000.0,5000.0,108000.0,,,,,,0.01,,291.0,,,,,,291.0,0.11,0.01,,0.5,0.5,790292.0,21337884.0,,21.44,0.5,20.51,0.6739,79.49,0.0063
2021-12-16,3846.0,105380.4,0.02,0.33,0.02,0.1,0.0,105380.4,2846.0,3846.0,77980.4,,,,,,0.03,,1154.0,,,,,,1154.0,0.08,0.03,,0.36,0.36,791446.0,21685620.4,,21.32,0.36,26.43,0.6111,73.57,0.0048
2021-12-17,3765.0,103537.5,0.02,0.3,0.02,0.1,0.0,103537.5,2765.0,3765.0,76037.5,,,,,,0.0,,81.0,,,,,,81.0,0.08,0.0,,0.35,0.35,793620.0,21824550.0,,21.84,0.35,27.22,0.6038,72.78,0.0047
2021-12-20,3636.0,96354.0,0.02,0.34,0.02,0.1,0.0,96354.0,2636.0,3636.0,69854.0,,,,,,0.0,,129.0,,,,,,129.0,0.07,0.0,,0.33,0.33,793749.0,21034348.5,,21.68,0.33,28.13,0.5957,71.87,0.0046
2021-12-21,3111.0,83997.0,0.03,0.33,0.02,0.08,0.0,83997.0,2111.0,3111.0,56997.0,,,,,,0.02,,525.0,,,,,,525.0,0.06,0.01,,0.27,0.27,794274.0,21445398.0,,21.11,0.26,32.36,0.5622,67.64,0.0039
2021-12-22,3111.0,83997.0,0.03,0.35,0.02,0.08,0.0,83997.0,2111.0,3111.0,56997.0,,,,,,,,,,,,,,,0.06,,,0.27,0.27,794274.0,21445398.0,,21.35,0.26,32.17,0.5636,67.83,0.0039
2021-12-23,2924.0,78948.0,0.03,0.34,0.02,0.08,0.0,78948.0,1924.0,2924.0,51948.0,,,,,,0.0,,187.0,,,,,,187.0,0.05,0.0,,0.24,0.24,794461.0,21450447.0,,21.45,0.24,34.27,0.5495,65.73,0.0037
2021-12-24,2879.0,76869.3,0.03,0.31,0.02,0.08,0.0,76869.3,1879.0,2879.0,50169.3,,,,,,0.0,,45.0,,,,,,45.0,0.05,0.0,,0.24,0.24,794506.0,21213310.2,,21.39,0.24,34.78,0.5463,65.22,0.0036
2021-12-27,2879.0,77157.2,0.03,0.33,0.02,0.08,0.0,77157.2,1879.0,2879.0,50357.2,,,,,,,,,,,,,,,0.05,,,0.24,0.24,794506.0,21292760.8,,21.22,0.24,34.78,0.5463,65.22,0.0036
2021-12-28,2879.0,79748.3,0.03,0.34,0.02,0.08,0.0,79748.3,1879.0,2879.0,52048.3,,,,,,,,,,,,,,,0.05,,,0.24,0.24,794506.0,22007816.2,,21.42,0.23,34.76,0.5465,65.24,0.0036
2021-12-29,2833.0,80740.5,0.03,0.34,0.01,0.08,0.0,80740.5,1833.0,2833.0,52240.5,,,,,,0.0,,46.0,,,,,,46.0,0.05,0.0,,0.23,0.23,794552.0,22644732.0,,22.04,0.23,35.63,0.5413,64.37,0.0036
2021-12-30,2674.0,75406.8,0.03,0.32,0.01,0.08,0.0,75406.8,1833.0,2674.0,51690.6,,,,,,,,,,,,,,159.0,0.05,0.0,,0.23,0.23,794552.0,22406366.4,,22.65,0.23,37.98,0.5289,62.02,0.0034
2021-12-31,1053.0,29799.9,0.01,0.13,0.01,0.03,0.0,29799.9,53.0,1053.0,1499.9,,,,,,0.05,,1780.0,,,,,,1621.0,0.0,0.05,,0.01,0.01,796332.0,22536195.6,,22.41,0.01,5.09,0.9034,94.91,0.0013
2022-01-03,1053.0,30221.1,0.01,0.13,0.01,0.03,0.0,30221.1,53.0,1053.0,1521.1,,,,,,,,,,,,,,,0.0,,,0.01,0.01,796332.0,22854728.4,,22.65,0.01,5.03,0.9045,94.97,0.0013
2022-01-04,1006.0,31186.0,0.01,0.13,0.01,0.03,0.0,31186.0,6.0,1006.0,186.0,,,,,,0.0,,47.0,,,,,,47.0,0.0,0.0,,0.0,0.0,796379.0,24687749.0,,23.16,0.0,0.59,0.9882,99.41,0.0013
2022-01-05,1000.0,30300.0,0.01,0.12,0.01,0.03,0.0,30300.0,0.0,1000.0,0.0,,,,,,0.0,,6.0,,,,,,6.0,0.0,0.0,,0.0,0.0,796385.0,24130465.5,,24.59,0.0,,1.0,100.0,0.0013
2022-01-06,1000.0,28800.0,0.01,0.11,0.01,0.03,0.0,28800.0,0.0,1000.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,796385.0,22935888.0,,23.99,0.0,,1.0,100.0,0.0013
2022-01-07,1000.0,29900.0,0.01,0.11,0.01,0.03,0.0,29900.0,0.0,1000.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,796385.0,23811911.5,,22.99,0.0,,1.0,100.0,0.0013
2022-01-10,1000.0,29100.0,0.01,0.12,0.01,0.03,0.0,29100.0,0.0,1000.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,796385.0,23174803.5,,23.56,0.0,,1.0,100.0,0.0013
2022-01-11,1949.0,56715.9,0.02,0.23,0.01,0.06,0.0,56715.9,949.0,1949.0,27615.9,,,,,949.0,,,,,,,0.03,949.0,,0.03,,,0.12,0.12,795436.0,23147187.6,,23.07,0.12,48.67,0.5004,51.33,0.0024
2022-01-12,1638.0,48321.0,0.02,0.2,0.01,0.05,0.0,48321.0,638.0,1638.0,18821.0,,,,,,0.01,,311.0,,,,,,311.0,0.02,0.01,,0.08,0.08,795747.0,23474536.5,,23.06,0.08,38.83,0.5249,61.17,0.0021
2022-01-13,1638.0,47502.0,0.02,0.2,0.01,0.05,0.0,47502.0,638.0,1638.0,18502.0,,,,,,,,,,,,,,,0.02,,,0.08,0.08,795747.0,23076663.0,,23.37,0.08,38.89,0.5247,61.11,0.0021
2022-01-14,1554.0,43822.8,0.01,0.19,0.01,0.05,0.0,43822.8,554.0,1554.0,15622.8,,,,,,0.0,,84.0,,,,,,84.0,0.02,0.0,,0.07,0.07,805434.0,22713238.8,,23.33,0.07,35.64,0.5412,64.36,0.0019
