,AINJ FP Equity_DX_SI_QTY,AINJ FP Equity_DX_SHORT_INTEREST_VALUE,AINJ FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,AINJ FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,AINJ FP Equity_DX_SI_MV,AINJ FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,AINJ FP Equity_DX_SUPPLY_SI_QTY,AINJ FP Equity_DX_BROKER_SI_QTY,AINJ FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,AINJ FP Equity_DX_SUPPLY_SI_MV,AINJ FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,AINJ FP Equity_DX_UTILIZATION_QUANTITY,AINJ FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,AINJ FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,AINJ FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,AINJ FP Equity_DX_ACTIVE_UTILIZATION_MV,AINJ FP Equity_DX_BROKER_SI_CON_RATIO,AINJ FP Equity_DX_DEMAND_SUPPLY_RATIO,AINJ FP Equity_PX_LAST
2024-07-10,,,,,,,,,,,,,,,,,,,19.3
2024-07-11,,,,,,,,,,,,,,,,,,,18.8
2024-07-12,,,,,,,,,,,,,,,,,,,18.24
2024-07-15,,,,,,,,,,,,,,,,,,,20.15
2024-07-16,,,,,,,,,,,,,,,,,,,21.72
2024-07-17,,,,,,,,,,,,,,,,,,,23.88
2024-07-18,,,,,,,,,,,,,,,,,,,23.15
2024-07-19,,,,,,,,,,,,,,,,,,,24.28
2024-07-22,,,,,,,,,,,,,,,,,,,23.86
2024-07-23,,,,,,,,,,,,,,,,,,,22.63
2024-07-24,,,,,,,,,,,,,,,,,,,23.4
2024-07-25,,,,,,,,,,,,,,,,,,,22.31
2024-07-26,,,,,,,,,,,,,,,,,,,23.67
2024-07-29,,,,,,,,,,,,,,,,,,,22.84
2024-07-30,,,,,,,,,,,,,,,,,,,22.46
2024-07-31,,,,,,,,,,,,,,,,,,,21.34
2024-08-01,,,,,,,,,,,,,,,,,,,19.41
2024-08-02,,,,,,,,,,,,,,,,,,,18.13
2024-08-05,,,,,,,,,,,,,,,,,,,13.81
2024-08-06,,,,,,,,,,,,,,,,,,,14.57
2024-08-07,,,,,,,,,,,,,,,,,,,13.95
2024-08-08,,,,,,,,,,,,,,,,,,,14.42
2024-08-09,,,,,,,,,,,,,,,,,,,15.83
2024-08-12,,,,,,,,,,,,,,,,,,,16.71
2024-08-13,,,,,,,,,,,,,,,,,,,17.14
2024-08-14,,,,,,,,,,,,,,,,,,,17.0
2024-08-15,,,,,,,,,,,,,,,,,,,16.87
2024-08-16,,,,,,,,,,,,,,,,,,,15.87
2024-08-19,,,,,,,,,,,,,,,,,,,15.93
2024-08-20,,,,,,,,,,,,,,,,,,,16.26
2024-08-21,,,,,,,,,,,,,,,,,,,16.42
2024-08-22,,,,,,,,,,,,,,,,,,,17.9
2024-08-23,,,,,,,,,,,,,,,,,,,18.7
2024-08-26,,,,,,,,,,,,,,,,,,,18.79
2024-08-27,,,,,,,,,,,,,,,,,,,18.1
2024-08-28,,,,,,,,,,,,,,,,,,,16.21
