,ABVX FP Equity_DX_SI_QTY,ABVX FP Equity_DX_SHORT_INTEREST_VALUE,ABVX FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ABVX FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ABVX FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ABVX FP Equity_DX_SI_MV,ABVX FP Equity_DX_DSS,ABVX FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ABVX FP Equity_DX_SUPPLY_SI_QTY,ABVX FP Equity_DX_BROKER_SI_QTY,ABVX FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ABVX FP Equity_DX_BROKER_SI_MV_NEW_x,ABVX FP Equity_DX_SUPPLY_SI_QTY_NEW_x,ABVX FP Equity_DX_SUPPLY_SI_QTY_INC_x,ABVX FP Equity_DX_BROKER_SI_MV_INC_x,ABVX FP Equity_DX_SUPPLY_SI_MV_NEW,ABVX FP Equity_DX_BROKER_SI_QTY_ADD,ABVX FP Equity_DX_BROKER_SI_QTY_NEW,ABVX FP Equity_DX_SUPPLY_SI_MV_DEC,ABVX FP Equity_DX_BROKER_SI_QTY_INC,ABVX FP Equity_DX_SUPPLY_SI_QTY_DEC,ABVX FP Equity_DX_BROKER_SI_MV_NEW_y,ABVX FP Equity_DX_SUPPLY_SI_QTY_NEW_y,ABVX FP Equity_DX_BROKER_SI_MV_INC_y,ABVX FP Equity_DX_SUPPLY_SI_QTY_INC_y,ABVX FP Equity_DX_BROKER_SI_MV_ADD,ABVX FP Equity_DX_SUPPLY_SI_QTY_ADD,ABVX FP Equity_DX_BROKER_SI_QTY_DEC,ABVX FP Equity_DX_SUPPLY_SI_MV,ABVX FP Equity_DX_BROKER_SI_MV_DEC,ABVX FP Equity_DX_SUPPLY_SI_MV_RMV,ABVX FP Equity_DX_BROKER_SI_MV_RMV,ABVX FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ABVX FP Equity_DX_UTILIZATION_QUANTITY,ABVX FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ABVX FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ABVX FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,ABVX FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ABVX FP Equity_DX_ACTIVE_UTILIZATION_MV,ABVX FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ABVX FP Equity_DX_BROKER_SI_CON_RATIO,ABVX FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ABVX FP Equity_DX_DEMAND_SUPPLY_RATIO
2015-06-26,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,156250.0,3281250.0,,3.28,0.0,0.0,0.0,0.0,0.0
2015-06-29,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,156250.0,3234375.0,,3.23,0.0,,0.0,,0.0
2015-06-30,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,156250.0,3171875.0,,3.17,0.0,,0.0,,0.0
2015-07-01,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,156250.0,3179687.5,,3.18,0.0,,0.0,,0.0
2015-07-02,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,156250.0,3156250.0,,3.16,0.0,,0.0,,0.0
2015-07-03,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,155845.0,3056120.45,,3.06,0.0,,0.0,,0.0
2015-07-06,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,132746.0,2624388.42,,2.62,0.0,,0.0,,0.0
2015-07-07,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,132746.0,2548723.2,,2.55,0.0,,0.0,,0.0
2015-07-08,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,132746.0,2573944.94,,2.57,0.0,,0.0,,0.0
2015-07-09,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,132746.0,2546068.28,,2.55,0.0,,0.0,,0.0
2015-07-10,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,132746.0,2550050.66,,2.55,0.0,,0.0,,0.0
2015-07-13,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,132746.0,2522174.0,,2.52,0.0,,0.0,,0.0
2015-07-14,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,132746.0,2506244.48,,2.51,0.0,,0.0,,0.0
2015-07-15,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,132746.0,2708018.4,,2.71,0.0,,0.0,,0.0
