,CEC FP Equity_DX_SI_QTY,CEC FP Equity_DX_SHORT_INTEREST_VALUE,CEC FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,CEC FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,CEC FP Equity_DX_SI_MV,CEC FP Equity_DX_DSS,CEC FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,CEC FP Equity_DX_SUPPLY_SI_QTY,CEC FP Equity_DX_BROKER_SI_QTY,CEC FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,CEC FP Equity_DX_BROKER_SI_MV_NEW_x,CEC FP Equity_DX_SUPPLY_SI_QTY_NEW_x,CEC FP Equity_DX_SUPPLY_SI_QTY_INC_x,CEC FP Equity_DX_BROKER_SI_MV_INC_x,CEC FP Equity_DX_SUPPLY_SI_MV_NEW,CEC FP Equity_DX_BROKER_SI_QTY_ADD,CEC FP Equity_DX_BROKER_SI_QTY_NEW,CEC FP Equity_DX_SUPPLY_SI_MV_DEC,CEC FP Equity_DX_BROKER_SI_QTY_INC,CEC FP Equity_DX_SUPPLY_SI_QTY_DEC,CEC FP Equity_DX_BROKER_SI_MV_NEW_y,CEC FP Equity_DX_SUPPLY_SI_QTY_NEW_y,CEC FP Equity_DX_BROKER_SI_MV_INC_y,CEC FP Equity_DX_SUPPLY_SI_QTY_INC_y,CEC FP Equity_DX_BROKER_SI_MV_ADD,CEC FP Equity_DX_SUPPLY_SI_QTY_ADD,CEC FP Equity_DX_BROKER_SI_QTY_DEC,CEC FP Equity_DX_SUPPLY_SI_MV,CEC FP Equity_DX_BROKER_SI_MV_DEC,CEC FP Equity_DX_SUPPLY_SI_MV_RMV,CEC FP Equity_DX_BROKER_SI_MV_RMV,CEC FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,CEC FP Equity_DX_UTILIZATION_QUANTITY,CEC FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,CEC FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,CEC FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,CEC FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,CEC FP Equity_DX_ACTIVE_UTILIZATION_MV,CEC FP Equity_DX_BROKER_SI_MARKET_SHARE_2,CEC FP Equity_DX_BROKER_SI_CON_RATIO,CEC FP Equity_DX_BROKER_SI_MARKET_SHARE_1,CEC FP Equity_DX_DEMAND_SUPPLY_RATIO
2006-01-04,0.0,0.0,0.0,0.0,0.11,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.11,,,,0.0,0.0,0.0,0.0,,1.24,8.14,,0.0,,0.0
2006-01-11,0.0,0.0,0.0,0.0,0.12,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.12,,,,0.0,0.0,0.0,0.0,,1.41,7.88,,0.0,,0.0
2006-01-18,55013.0,1055631.45,0.87,0.86,1.29,,959438.18,45303.0,50000.0,869308.56,,,45303.0,,,50000.0,,,,,,,,45303.0,1.17,,,1.06,,,,71.68,71.68,17901.0,343498.06,,0.42,71.68,,1.0,100.0,0.8704
2006-01-25,55006.0,1100973.09,0.76,0.75,1.31,,1000775.45,55237.0,50000.0,1105596.68,,,9934.0,,,,,,,,,,,9934.0,,,,1.32,,,,85.58,85.58,9309.0,186324.37,,0.22,85.58,,1.0,100.0,0.8522
2006-02-01,45077.0,881742.14,0.58,0.61,1.06,,782431.96,45942.0,40000.0,898662.23,,,,,,,,0.25,,9295.0,,,,,,,10000.0,1.08,0.27,,,70.71,70.71,19033.0,372300.69,,0.45,70.71,,1.0,100.0,0.6937
2006-02-08,44981.0,877261.15,0.64,0.61,1.06,,780117.07,44981.0,40000.0,877261.15,,,,,,,,0.03,,961.0,,,,,,,,1.06,,,,70.35,70.35,18954.0,369658.48,,0.45,70.35,,1.0,100.0,0.7035
2006-02-15,26999.0,523880.97,0.38,0.29,0.63,,426881.78,27093.0,22000.0,525704.92,,,,,,,,0.44,,17888.0,,,,,,,18000.0,0.63,0.44,,,42.28,42.28,36981.0,717568.87,,0.86,42.28,,1.0,100.0,0.4214
2006-02-22,29708.0,585533.19,0.53,0.32,0.72,,433611.49,29663.0,22000.0,584646.26,,,2570.0,,,,,,,,,,,2570.0,,,,0.72,,,,46.59,46.59,34006.0,670245.11,,0.83,46.59,,1.0,100.0,0.4666
2006-03-01,70969.0,1418720.47,0.76,0.67,1.7,,1259414.52,7969.0,63000.0,159305.94,,,,0.98,,,,0.53,41000.0,21694.0,,,0.98,,,,,0.19,,,,12.1,12.1,57881.0,1157082.1,,0.0,0.0,,1.0,100.0,1.0777
2006-03-08,10472.0,195057.51,0.11,0.1,0.26,,55879.73,7472.0,3000.0,139177.78,,,,,,,,0.0,,497.0,,,,,,,60000.0,0.19,1.43,,,12.28,12.28,53391.0,994491.55,,0.0,0.0,,1.0,100.0,0.1721
2006-03-15,37561.0,698701.24,0.39,0.36,0.86,,558053.23,7561.0,30000.0,140648.02,,,89.0,0.61,,,,,27000.0,,,,0.61,89.0,,,,0.17,,,,12.19,12.19,54478.0,1013387.46,,0.0,0.0,,1.0,100.0,0.6054
2006-03-22,49850.0,930183.37,0.49,0.47,1.14,,783220.0,19987.0,41974.0,372950.35,,,12426.0,,,11974.0,,,,,,,,12426.0,0.27,,,0.46,,,,26.1,26.1,56580.0,1055762.8,,0.0,0.0,28.53,0.5922,71.47,0.6511
2006-03-29,37769.0,700072.38,0.38,0.36,0.86,,556069.04,7769.0,30000.0,144003.35,,,,,,,,0.28,,12218.0,,,,,,,11974.0,0.18,0.27,,,10.24,10.24,68065.0,1261627.97,,0.0,0.0,,1.0,100.0,0.498
2006-04-05,37814.0,714662.01,0.37,0.36,0.86,,566982.08,7814.0,30000.0,147679.93,,,45.0,,,,,,,,,,,45.0,,,,0.18,,,,10.03,10.03,70097.0,1324791.43,,0.0,0.0,,1.0,100.0,0.4853
2006-04-12,67879.0,1303636.46,1.13,0.64,1.54,,1152317.91,7879.0,60000.0,151318.55,,,65.0,,,30000.0,,,,,,,,65.0,0.68,,,0.18,,,,10.07,10.07,70373.0,1351534.47,,0.0,0.0,49.87,0.5,50.13,0.8674
2006-04-19,45065.0,878154.25,0.86,0.43,1.05,,849528.74,1469.0,43596.0,28625.51,,,,,,,,0.14,,6411.0,,,,,,,16404.0,0.03,0.32,,,1.88,1.88,76546.0,1491605.36,,0.0,0.0,42.46,0.5114,57.54,0.5777
2006-04-26,53072.0,1079375.14,0.8,0.5,1.25,,995562.49,4121.0,48951.0,83812.65,,,2653.0,0.14,,,,,5355.0,,,,0.14,2653.0,,,,0.1,,,,5.11,5.11,76601.0,1557906.53,,0.0,0.0,37.41,0.5317,62.59,0.6575
2006-05-03,47410.0,955206.65,0.82,0.45,1.11,,873507.36,4055.0,43355.0,81699.28,,,,,,,,0.0,,66.0,,,,,,,5596.0,0.1,0.13,,,5.11,5.11,75348.0,1518095.56,,0.0,0.0,42.55,0.5111,57.45,0.5971
2006-05-10,43355.0,892146.01,0.82,0.41,1.02,,892146.01,0.0,43355.0,0.0,,,,,,,,0.09,,4055.0,,,,,,,,0.0,,,,0.0,0.0,81042.0,1667657.64,,0.0,0.0,42.45,0.5114,57.55,0.535
2006-05-17,43355.0,824401.7,0.75,0.41,1.01,,824401.7,0.0,43355.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,76736.0,1459146.32,,0.0,0.0,42.67,0.5107,57.33,0.565
